Team Name,Wins,Losses,Result,Division,Tournament
Barber Shop,5,4,0,Expert (4.5-5.0+),atlsummer2023
Boomballs Only,2,4,0,Expert (4.5-5.0+),atlsummer2023
Fowler/Narayan,7,1,0,Expert (4.5-5.0+),atlsummer2023
Lil guy squirts,6,2,0,Expert (4.5-5.0+),atlsummer2023
Low Key,3,3,0,Expert (4.5-5.0+),atlsummer2023
Mac and Devin Go to Spike School,3,4,0,Expert (4.5-5.0+),atlsummer2023
OF ButtBuddies,8,0,0,Expert (4.5-5.0+),atlsummer2023
Tennessee Bwoys,3,4,0,Expert (4.5-5.0+),atlsummer2023
TNT,1,6,0,Expert (4.5-5.0+),atlsummer2023
TSA,3,4,0,Expert (4.5-5.0+),atlsummer2023
Twix,2,5,0,Expert (4.5-5.0+),atlsummer2023
Wrappers Delight,0,6,0,Expert (4.5-5.0+),atlsummer2023
