Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Benihana Spice,Mind Games,Round of 32,atlts2023,"[0, 0]","[1, 1]",Expert (4.5-5.0+)
Clark Marshall,Quispe's Quties,Round of 32,atlts2023,"[2, 2]","[1, 1]",Expert (4.5-5.0+)
IDGAF,Ice Age,Round of 32,atlts2023,"[21, 21]","[19, 18]",Expert (4.5-5.0+)
*sheeeeeesh*,Breezi,Round of 32,atlts2023,"[1, 1]","[0, 0]",Expert (4.5-5.0+)
TRP Pump Pics,Mind Games,Round of 16,atlts2023,"[21, 21]","[16, 12]",Expert (4.5-5.0+)
Clark Marshall,Shake ‘n Bake,Round of 16,atlts2023,"[13, 15]","[21, 21]",Expert (4.5-5.0+)
Condensed Milk,IDGAF,Round of 16,atlts2023,"[22, 21]","[20, 18]",Expert (4.5-5.0+)
*sheeeeeesh*,Bot Cream,Round of 16,atlts2023,"[0, 0]","[1, 1]",Expert (4.5-5.0+)
TRP Pump Pics,Shake ‘n Bake,Quarter-finals,atlts2023,"[21, 21]","[16, 17]",Expert (4.5-5.0+)
Condensed Milk,Bot Cream,Quarter-finals,atlts2023,"[17, 21, 19]","[21, 15, 21]",Expert (4.5-5.0+)
TRP Pump Pics,Bot Cream,Semi-finals,atlts2023,"[1, 1]","[0, 0]",Expert (4.5-5.0+)
A/B,Dawg Walk,Final,atlts2023,"[17, 21, 21]","[21, 19, 10]",Expert (4.5-5.0+)
A/B,Terrible Serve,1st place,atlts2023,"[21, 21]","[15, 14]",Expert (4.5-5.0+)
TRP Mega Bed,Dawg Walk,1st place,atlts2023,"[15, 22, 22]","[21, 20, 24]",Expert (4.5-5.0+)
A/B,SpickyChickyBicky,3rd place,atlts2023,"[21, 21]","[13, 17]",Expert (4.5-5.0+)
Terrible Serve,Benny Boo & Jare Bear,3rd place,atlts2023,"[1, 0, 21]","[0, 1, 19]",Expert (4.5-5.0+)
Spooked👻,TRP Mega Bed,3rd place,atlts2023,"[19, 21, 18]","[21, 12, 21]",Expert (4.5-5.0+)
True Outcome,Dawg Walk,3rd place,atlts2023,"[16, 13]","[21, 21]",Expert (4.5-5.0+)
Terrible Internship Locations,SpickyChickyBicky,Semi-finals,atlts2023,"[12, 18]","[21, 21]",Expert (4.5-5.0+)
Terrible Serve,Quavo,Semi-finals,atlts2023,"[21, 19, 21]","[19, 21, 17]",Expert (4.5-5.0+)
TRP Mega Bed,LBP,Semi-finals,atlts2023,"[17, 21, 26]","[21, 11, 24]",Expert (4.5-5.0+)
True Outcome,Too Much Sandwich,Semi-finals,atlts2023,"[21, 21]","[19, 15]",Expert (4.5-5.0+)
Condensed Milk,Shake ‘n Bake,P5: Semi-finals,atlts2023,"[2, 2]","[21, 21]",Expert (4.5-5.0+)
TRP Mega Bed,Terrible Serve,P5: Final,atlts2023,"[1, 1]","[0, 0]",Expert (4.5-5.0+)
Clark Marshall,Mind Games,P9: Quarter-finals,atlts2023,"[-1, -1, -1]","[-1, -1, -1]",Expert (4.5-5.0+)
*sheeeeeesh*,IDGAF,P9: Quarter-finals,atlts2023,"[-1, -1, -1]","[-1, -1, -1]",Expert (4.5-5.0+)
Benny Boo & Jare Bear,SpickyChickyBicky,9th place,atlts2023,"[-1, -1, -1]","[-1, -1, -1]",Expert (4.5-5.0+)
True Outcome,Spooked👻,9th place,atlts2023,"[-1, -1, -1]","[-1, -1, -1]",Expert (4.5-5.0+)
Benihana Spice,Quispe's Quties,P17: Quarter-finals,atlts2023,"[-1, -1, -1]","[-1, -1, -1]",Expert (4.5-5.0+)
Ice Age,Breezi,P17: Quarter-finals,atlts2023,"[0, 1, 1]","[1, 0, 0]",Expert (4.5-5.0+)
Terrible Internship Locations,Quavo,17th place,atlts2023,"[-1, -1, -1]","[-1, -1, -1]",Expert (4.5-5.0+)
LBP,Too Much Sandwich,17th place,atlts2023,"[1, 1]","[0, 0]",Expert (4.5-5.0+)
Barber Shop,Dawg Pack,Round of 16,atlts2023,"[21, 21]","[8, 8]",Contenders (4.0)
Pocket Aces,Dirty Divers,Round of 16,atlts2023,"[14, 21, 21]","[21, 14, 16]",Contenders (4.0)
_🦧_,Dirty Dawgs,Round of 16,atlts2023,"[19, 20]","[21, 22]",Contenders (4.0)
