Team Name,Wins,Losses,Result,Division,Tournament
Barber Shop,0,6,0,Expert (4.5-5.0+),birmingham2023
Boomballs Only,0,7,0,Expert (4.5-5.0+),birmingham2023
Egg,5,3,0,Expert (4.5-5.0+),birmingham2023
Hive Mind,6,3,0,Expert (4.5-5.0+),birmingham2023
Lift Off,1,5,0,Expert (4.5-5.0+),birmingham2023
Non-Chotonian Fluids,6,2,0,Expert (4.5-5.0+),birmingham2023
ok dad,8,0,0,Expert (4.5-5.0+),birmingham2023
RIMgoku,2,5,0,Expert (4.5-5.0+),birmingham2023
Smooches,3,4,0,Expert (4.5-5.0+),birmingham2023
Sports and Bradley,6,3,0,Expert (4.5-5.0+),birmingham2023
TBR Cutting Season,4,4,0,Expert (4.5-5.0+),birmingham2023
Torres/Fleischmann,4,3,0,Expert (4.5-5.0+),birmingham2023
Boss Babies,2,2,0,Contenders (4.0),birmingham2023
Cryan,1,3,0,Contenders (4.0),birmingham2023
Hit on 4,0,3,0,Contenders (4.0),birmingham2023
Reverse Psychology,5,0,0,Contenders (4.0),birmingham2023
sAVAge,4,1,0,Contenders (4.0),birmingham2023
The cowboys,1,3,0,Contenders (4.0),birmingham2023
Well-Rounded,3,2,0,Contenders (4.0),birmingham2023
White Chicks,0,2,0,Contenders (4.0),birmingham2023
