Team Name,Wins,Losses,Result,Division,Tournament
An Educated Elephant,2,5,0,Expert (4.5-5.0+),clemsonts2023
B-Olivia,3,4,0,Expert (4.5-5.0+),clemsonts2023
Bev’d up,5,2,0,Expert (4.5-5.0+),clemsonts2023
Big Nutz LLC,0,7,0,Expert (4.5-5.0+),clemsonts2023
Bot House,8,1,0,Expert (4.5-5.0+),clemsonts2023
Dennis & Demitri,6,1,0,Expert (4.5-5.0+),clemsonts2023
Dotdotslash,0,7,0,Expert (4.5-5.0+),clemsonts2023
dumpyyyy,4,4,0,Expert (4.5-5.0+),clemsonts2023
LBP,3,4,0,Expert (4.5-5.0+),clemsonts2023
Marino’s Mistress,7,2,0,Expert (4.5-5.0+),clemsonts2023
Muhammad Curry,4,3,0,Expert (4.5-5.0+),clemsonts2023
No Allie-by,1,6,0,Expert (4.5-5.0+),clemsonts2023
Pick Pockets,6,3,0,Expert (4.5-5.0+),clemsonts2023
Presidential Thingz,5,2,0,Expert (4.5-5.0+),clemsonts2023
Pretzel Day,5,2,0,Expert (4.5-5.0+),clemsonts2023
Shredders,3,4,0,Expert (4.5-5.0+),clemsonts2023
Sisk/Yoder,2,5,0,Expert (4.5-5.0+),clemsonts2023
Spicky Chicky Bicky,4,4,0,Expert (4.5-5.0+),clemsonts2023
Sports and Brycen,5,2,0,Expert (4.5-5.0+),clemsonts2023
Spy Kids 5: Return to Mysterious Island,2,5,0,Expert (4.5-5.0+),clemsonts2023
The Bachelors,3,5,0,Expert (4.5-5.0+),clemsonts2023
Them Dawgs is Hell,1,6,0,Expert (4.5-5.0+),clemsonts2023
Tim & Greg,2,6,0,Expert (4.5-5.0+),clemsonts2023
TRP Dolphin Dive,9,0,0,Expert (4.5-5.0+),clemsonts2023
Ballzee,1,5,0,Contenders (4.0),clemsonts2023
Barber Shop,5,3,0,Contenders (4.0),clemsonts2023
Clemson Douthit F,1,6,0,Contenders (4.0),clemsonts2023
Clemson Dragons,2,6,0,Contenders (4.0),clemsonts2023
Clemson Orange,1,5,0,Contenders (4.0),clemsonts2023
Get spiked,5,3,0,Contenders (4.0),clemsonts2023
Guajillo Steak,4,3,0,Contenders (4.0),clemsonts2023
Hawt Dawgs,2,7,0,Contenders (4.0),clemsonts2023
How I Set Your Mother,6,2,0,Contenders (4.0),clemsonts2023
Micro-Soft Office,4,3,0,Contenders (4.0),clemsonts2023
midwest superiority,1,6,0,Contenders (4.0),clemsonts2023
Peach Tea and Dr. P,6,2,0,Contenders (4.0),clemsonts2023
Pepperman,0,6,0,Contenders (4.0),clemsonts2023
Ponchos,4,3,0,Contenders (4.0),clemsonts2023
Scoregasm,0,6,0,Contenders (4.0),clemsonts2023
Serious Spikers >:(,3,6,0,Contenders (4.0),clemsonts2023
Shot Clock,8,1,0,Contenders (4.0),clemsonts2023
Sicko Mode,8,0,0,Contenders (4.0),clemsonts2023
Slawbunnies,3,3,0,Contenders (4.0),clemsonts2023
Space Monkeys 🚀🐒,5,3,0,Contenders (4.0),clemsonts2023
Spike and Ikes,6,3,0,Contenders (4.0),clemsonts2023
Spike’s Hard Lemonade,4,3,0,Contenders (4.0),clemsonts2023
Taj ma balls,7,1,0,Contenders (4.0),clemsonts2023
TJ Maxx,4,3,0,Contenders (4.0),clemsonts2023
TKOs,5,3,0,Contenders (4.0),clemsonts2023
Waffle Warriors,4,3,0,Contenders (4.0),clemsonts2023
whiff & tiff?,1,5,0,Contenders (4.0),clemsonts2023
Clemson Tommy x Will,4,3,0,Advanced (3.0),clemsonts2023
Everything Bagels,5,4,0,Advanced (3.0),clemsonts2023
gamma gals,0,7,0,Advanced (3.0),clemsonts2023
LI Representatives,4,5,0,Advanced (3.0),clemsonts2023
She’s My RA,8,0,0,Advanced (3.0),clemsonts2023
Spike without the balls,3,4,0,Advanced (3.0),clemsonts2023
Turn up the AC,4,5,0,Advanced (3.0),clemsonts2023
AP Bio,3,1,0,Coed,clemsonts2023
Cagle Fan Club,6,1,0,Coed,clemsonts2023
Flugelhorn,0,3,0,Coed,clemsonts2023
Lamikula,3,2,0,Coed,clemsonts2023
Milo’s Mistress,3,2,0,Coed,clemsonts2023
Scissor Hands,0,5,0,Coed,clemsonts2023
Sp-ICEE,3,4,0,Coed,clemsonts2023
Striking Geckos,2,4,0,Coed,clemsonts2023
现在我有冰激淋 我很喜欢冰激淋,4,2,0,Coed,clemsonts2023
