Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Tim & Greg,Holy Guacamole,Round of 16,nashvillets2023,"[21, 21]","[16, 18]",Expert (4.5-5.0+)
Beard/Marshall,Whiff,Round of 16,nashvillets2023,"[21, 21]","[15, 13]",Expert (4.5-5.0+)
Ackermann/Cole,Tim & Greg,Quarter-finals,nashvillets2023,"[21, 21]","[16, 10]",Expert (4.5-5.0+)
Longland/Fowler,Beard/Marshall,Quarter-finals,nashvillets2023,"[15, 21, 20]","[21, 19, 22]",Expert (4.5-5.0+)
Ackermann/Cole,Beard/Marshall,Semi-finals,nashvillets2023,"[21, 21]","[16, 13]",Expert (4.5-5.0+)
Cold Brew🧋,Marino’s Mistress,Final,nashvillets2023,"[20, 19]","[22, 21]",Expert (4.5-5.0+)
Roundabouts,Cold Brew🧋,1st place,nashvillets2023,"[19, 21, 17]","[21, 18, 21]",Expert (4.5-5.0+)
Marino’s Mistress,Put Me in Coach,1st place,nashvillets2023,"[31, 21]","[29, 15]",Expert (4.5-5.0+)
Cold Brew🧋,Special Fajitas for Two,3rd place,nashvillets2023,"[21, 21]","[15, 14]",Expert (4.5-5.0+)
Put Me in Coach,Camp Counselors,3rd place,nashvillets2023,"[21, 21]","[11, 14]",Expert (4.5-5.0+)
Longland/Fowler,Tim & Greg,P5: Semi-finals,nashvillets2023,"[17, 0]","[21, 2]",Expert (4.5-5.0+)
Put Me in Coach,Roundabouts,P5: Final,nashvillets2023,"[0, 0]","[-1, -1]",Expert (4.5-5.0+)
Holy Guacamole,Whiff,P9: Semi-finals,nashvillets2023,"[-1, -1, -1]","[-1, -1, -1]",Expert (4.5-5.0+)
Special Fajitas for Two,Camp Counselors,P9: Final,nashvillets2023,"[-1, -1, -1]","[-1, -1, -1]",Expert (4.5-5.0+)
Holy Guacamole,Whiff,P9: Semi-finals,nashvillets2023,"[-1, -1, -1]","[-1, -1, -1]",Expert (4.5-5.0+)
Special Fajitas for Two,Camp Counselors,P9: Final,nashvillets2023,"[-1, -1, -1]","[-1, -1, -1]",Expert (4.5-5.0+)
The scrappers,The ‘Villes,Round of 16,nashvillets2023,"[21, 16, 21]","[15, 21, 15]",Contenders (4.0)
Double D,The scrappers,Quarter-finals,nashvillets2023,"[21, 21]","[6, 8]",Contenders (4.0)
Z-Tier,Polk/Illut,Quarter-finals,nashvillets2023,"[21, 19, 14]","[17, 21, 21]",Contenders (4.0)
Double D,Polk/Illut,Semi-finals,nashvillets2023,"[21, 21]","[13, 11]",Contenders (4.0)
Cave Talk,Beauty and the Beanstalk,Final,nashvillets2023,"[21, 21]","[12, 16]",Contenders (4.0)
Cave Talk,Bush and bud,1st place,nashvillets2023,"[23, 21]","[21, 14]",Contenders (4.0)
Beauty and the Beanstalk,Thick and Thin,1st place,nashvillets2023,"[21, 21]","[11, 17]",Contenders (4.0)
Bush and bud,Whataserver,3rd place,nashvillets2023,"[21, 21]","[13, 9]",Contenders (4.0)
Z-Tier,The scrappers,P5: Semi-finals,nashvillets2023,"[1, 1]","[0, 0]",Contenders (4.0)
Thick and Thin,Bush and bud,P5: Final,nashvillets2023,"[21, 21]","[18, 18]",Contenders (4.0)
