Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Quadruple Faults I Guess?,Passenger Princesses,Round of 32,gritcity2,"[18, 21, 21]","[21, 18, 18]",Advanced
We came for the buffet,little slammers,Round of 32,gritcity2,"[15, 15]","[9, 12]",Advanced
Just Joshing Around,setters of catan,Round of 32,gritcity2,"[15, 15]","[12, 10]",Advanced
Sponsored by Carmelos Tacos,Sets on the Beach,Round of 32,gritcity2,"[15, 19]","[11, 17]",Advanced
Hero’s Dose,Quadruple Faults I Guess?,Round of 16,gritcity2,"[21, 21]","[7, 12]",Advanced
We came for the buffet,Wendy’s 4 for 4,Round of 16,gritcity2,"[19, 21, 19]","[21, 19, 21]",Advanced
Boom Boys,Just Joshing Around,Round of 16,gritcity2,"[13, 17, 22]","[15, 15, 20]",Advanced
Sponsored by Carmelos Tacos,Double Fault Duo,Round of 16,gritcity2,"[21, 14, 17]","[19, 21, 21]",Advanced
Hero’s Dose,Wendy’s 4 for 4,Quarter-finals,gritcity2,"[21, 21]","[16, 0]",Advanced
Boom Boys,Double Fault Duo,Quarter-finals,gritcity2,"[18, 21, 21]","[21, 18, 12]",Advanced
Hero’s Dose,Boom Boys,Semi-finals,gritcity2,"[21, 21]","[12, 12]",Advanced
Defense is Dead(ly),Grape Boys,Final,gritcity2,"[21, 21]","[18, 18]",Advanced
Defense is Dead(ly),PSR S/T,1st place,gritcity2,"[21, 21]","[18, 16]",Advanced
Grape Boys,Golden Gate Keepers,1st place,gritcity2,"[21, 21]","[17, 19]",Advanced
Defense is Dead(ly),Spike around and find out,3rd place,gritcity2,"[21, 21]","[14, 14]",Advanced
Bottomless Breadsticks,PSR S/T,3rd place,gritcity2,"[21, 18, 16]","[18, 21, 21]",Advanced
Grape Boys,HRC Towers,3rd place,gritcity2,"[21, 22]","[16, 20]",Advanced
Big and tall,Golden Gate Keepers,3rd place,gritcity2,"[16, 15]","[21, 21]",Advanced
Dawgs Crew,Spike around and find out,Semi-finals,gritcity2,"[1, 0, 0]","[0, 1, 1]",Advanced
Bottomless Breadsticks,Big Mac,Semi-finals,gritcity2,"[15, 15]","[6, 11]",Advanced
HRC Towers,TuNga VikaYak Attacks the Court,Semi-finals,gritcity2,"[19, 15]","[17, 12]",Advanced
Big and tall,Aardvark and Beans,Semi-finals,gritcity2,"[15, 19, 15]","[6, 21, 9]",Advanced
Double Fault Duo,Wendy’s 4 for 4,P5: Semi-finals,gritcity2,[21],[0],Advanced
Golden Gate Keepers,PSR S/T,P5: Final,gritcity2,[15],[12],Advanced
We came for the buffet,Quadruple Faults I Guess?,P9: Quarter-finals,gritcity2,[0],[21],Advanced
Sponsored by Carmelos Tacos,Just Joshing Around,P9: Quarter-finals,gritcity2,[1],[0],Advanced
Quadruple Faults I Guess?,Sponsored by Carmelos Tacos,P9: Semi-finals,gritcity2,[21],[17],Advanced
Bottomless Breadsticks,HRC Towers,P9: Final,gritcity2,[21],[15],Advanced
Bottomless Breadsticks,Spike around and find out,9th place,gritcity2,[21],[14],Advanced
Big and tall,HRC Towers,9th place,gritcity2,[0],[1],Advanced
Just Joshing Around,We came for the buffet,P13: Semi-finals,gritcity2,[-1],[-1],Advanced
Big and tall,Spike around and find out,P13: Final,gritcity2,[-1],[-1],Advanced
Passenger Princesses,little slammers,P17: Quarter-finals,gritcity2,[2],[0],Advanced
setters of catan,Sets on the Beach,P17: Quarter-finals,gritcity2,[2],[1],Advanced
Passenger Princesses,setters of catan,P17: Semi-finals,gritcity2,[2],[0],Advanced
Dawgs Crew,Big Mac,17th place,gritcity2,[1],[2],Advanced
TuNga VikaYak Attacks the Court,Aardvark and Beans,17th place,gritcity2,[-1],[-1],Advanced
Sets on the Beach,little slammers,P21: Semi-finals,gritcity2,[1],[0],Advanced
Sets on the Beach,little slammers,P21: Semi-finals,gritcity2,[1],[0],Advanced
