Team Name,Wins,Losses,Result,Division,Tournament
Tostitos,9,0,1,Advanced,psr2023
Mal and Cam,8,1,2,Advanced,psr2023
Mal Make it Boom,8,1,3,Advanced,psr2023
Buctan’s,6,3,4,Advanced,psr2023
Collins/Coballes,5,2,5,Advanced,psr2023
A little Ahn the Small side,4,3,5,Advanced,psr2023
Home Depot Boys,4,3,5,Advanced,psr2023
Jam to Win,4,3,5,Advanced,psr2023
Pickpockets,2,4,9,Advanced,psr2023
Tilt Stick,2,5,9,Advanced,psr2023
HRC Towers,2,4,9,Advanced,psr2023
Asian invasion,1,5,9,Advanced,psr2023
Chalex,2,4,9,Advanced,psr2023
3rd Impostering,2,4,9,Advanced,psr2023
Brace Yourself,3,3,9,Advanced,psr2023
Athletic Weapons,1,6,9,Advanced,psr2023
Yeetdtrash,1,6,17,Advanced,psr2023
Dumb and dumber,0,7,18,Advanced,psr2023
Dawgs Crew,6,2,1,Intermediate,psr2023
Touching Grass,6,2,2,Intermediate,psr2023
Seattle Rounders,4,4,3,Intermediate,psr2023
'Bout to Get Fired,6,2,4,Intermediate,psr2023
Just Landed,1,6,5,Intermediate,psr2023
Bucks & G,0,7,5,Intermediate,psr2023
