Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Athletic Weapons,Dumb and dumber,Round of 32,psr2023,[2],[0],Advanced
Tostitos,Athletic Weapons,Round of 16,psr2023,"[21, 21]","[11, 9]",Advanced
Brace Yourself,A little Ahn the Small side,Round of 16,psr2023,"[19, 20]","[21, 22]",Advanced
Buctan’s,3rd Impostering,Round of 16,psr2023,"[1, 1, 0]","[0, 0, 0]",Advanced
Chalex,Collins/Coballes,Round of 16,psr2023,"[16, 14]","[21, 21]",Advanced
Tostitos,A little Ahn the Small side,Quarter-finals,psr2023,"[21, 21]","[15, 18]",Advanced
Buctan’s,Collins/Coballes,Quarter-finals,psr2023,"[1, 1]","[0, 0]",Advanced
Tostitos,Buctan’s,Semi-finals,psr2023,"[1, 1]","[0, 0]",Advanced
Mal and Cam,Mal Make it Boom,Final,psr2023,"[1, 1]","[0, 0]",Advanced
Mal and Cam,Jam to Win,1st place,psr2023,"[21, 21]","[18, 19]",Advanced
Mal Make it Boom,Home Depot Boys,1st place,psr2023,"[21, 21]","[16, 19]",Advanced
Mal and Cam,Tilt Stick,3rd place,psr2023,"[1, 1]","[0, 0]",Advanced
Pickpockets,Jam to Win,3rd place,psr2023,"[19, 25, 25]","[21, 23, 27]",Advanced
Mal Make it Boom,Asian invasion,3rd place,psr2023,"[21, 21]","[15, 18]",Advanced
HRC Towers,Home Depot Boys,3rd place,psr2023,"[0, 0]","[1, 1]",Advanced
Tilt Stick,Yeetdtrash,Semi-finals,psr2023,[2],[0],Advanced
Collins/Coballes,A little Ahn the Small side,P5: Semi-finals,psr2023,[-1],[-1],Advanced
Home Depot Boys,Jam to Win,P5: Final,psr2023,[-1],[-1],Advanced
Brace Yourself,Athletic Weapons,P9: Quarter-finals,psr2023,[-1],[-1],Advanced
Chalex,3rd Impostering,P9: Quarter-finals,psr2023,[-1],[-1],Advanced
Pickpockets,Tilt Stick,9th place,psr2023,[-1],[-1],Advanced
HRC Towers,Asian invasion,9th place,psr2023,[-1],[-1],Advanced
