Team Name,Wins,Losses,Result,Division,Tournament
Berry-Xu Spike Commandos,8,0,1,Expert,psrhat23
Illusionary Flow,6,3,2,Expert,psrhat23
Peng's Chucho Challengers,4,5,3,Expert,psrhat23
Celestial Symmetry,2,7,4,Expert,psrhat23
Chromatic Echo,6,3,5,Expert,psrhat23
Catalyst Storm,3,5,6,Expert,psrhat23
Astral Fusion,1,7,7,Expert,psrhat23
Synchronic Surge,10,0,1,Advanced/Intermediate,psrhat23
Equinox Fusion,7,3,2,Advanced/Intermediate,psrhat23
Ethereal Momentum,7,3,3,Advanced/Intermediate,psrhat23
Marshall Beatdown,3,7,4,Advanced/Intermediate,psrhat23
Kaleidoscope Nexus,3,6,5,Advanced/Intermediate,psrhat23
Van Wall Smashers,4,4,6,Advanced/Intermediate,psrhat23
Marvelous Mousigians: Therrin Samsters,1,7,6,Advanced/Intermediate,psrhat23
Quasar Thunder,2,7,6,Advanced/Intermediate,psrhat23
