Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Linked In,"2 Guys, 4 thighs, 6 eyes",Round of 16,seattleslam23,"[21, 21]","[19, 16]",Advanced
Tall and Small,The G and C Express,Round of 16,seattleslam23,"[26, 22]","[24, 20]",Advanced
Foote Fetish,Linked In,Quarter-finals,seattleslam23,"[21, 21]","[14, 13]",Advanced
Super Mayo’s My Bro,Tall and Small,Quarter-finals,seattleslam23,"[21, 21]","[16, 13]",Advanced
Foote Fetish,Super Mayo’s My Bro,Semi-finals,seattleslam23,"[21, 21]","[16, 14]",Advanced
Boom Boys,Level 99 Agility,Final,seattleslam23,"[21, 18, 21]","[18, 21, 18]",Advanced
Ahhhhh Yeahhhhh,Boom Boys,1st place,seattleslam23,"[16, 21, 17]","[21, 17, 21]",Advanced
Level 99 Agility,Go Gater! 🐊,1st place,seattleslam23,"[0, 1, 1]","[1, 0, 0]",Advanced
Boom Boys,Help!,3rd place,seattleslam23,"[21, 21]","[19, 13]",Advanced
Go Gater! 🐊,"1, 2, Buckle My Shoe",3rd place,seattleslam23,"[21, 21]","[16, 17]",Advanced
Tall and Small,Linked In,P5: Semi-finals,seattleslam23,[21],[18],Advanced
Go Gater! 🐊,Ahhhhh Yeahhhhh,P5: Final,seattleslam23,[-1],[-1],Advanced
"2 Guys, 4 thighs, 6 eyes",The G and C Express,P9: Semi-finals,seattleslam23,"[1, 1]","[0, 0]",Advanced
Help!,"1, 2, Buckle My Shoe",P9: Final,seattleslam23,"[19, 30, 21]","[21, 28, 19]",Advanced
█▬█ █ ▀█▀,Smith's Tea,Round of 16,seattleslam23,[11],[21],Advanced
solid play,Ball busters,Round of 16,seattleslam23,[2],[1],Advanced
Team name,TOYAHH,Round of 16,seattleslam23,[2],[1],Advanced
3 Hands,Smith's Tea,Quarter-finals,seattleslam23,[2],[0],Advanced
solid play,Team name,Quarter-finals,seattleslam23,[2],[1],Advanced
3 Hands,solid play,Semi-finals,seattleslam23,[1],[2],Advanced
The Huddle,Mario & Luigi,Final,seattleslam23,[2],[1],Advanced
The Huddle,OPP LIST: MOST WANTED,1st place,seattleslam23,[2],[0],Advanced
Mario & Luigi,Horse & Eagle,1st place,seattleslam23,[2],[0],Advanced
Here for KBBQ,OPP LIST: MOST WANTED,3rd place,seattleslam23,[2],[4],Advanced
Mario & Luigi,Cripps,3rd place,seattleslam23,[2],[0],Advanced
Horse & Eagle,Walmarsh Supercenter,3rd place,seattleslam23,[2],[0],Advanced
Team name,Smith's Tea,P5: Semi-finals,seattleslam23,[0],[2],Advanced
Horse & Eagle,OPP LIST: MOST WANTED,P5: Final,seattleslam23,[2],[1],Advanced
TOYAHH,Ball busters,P9: Quarter-finals,seattleslam23,[15],[21],Advanced
█▬█ █ ▀█▀,Ball busters,P9: Semi-finals,seattleslam23,[12],[21],Advanced
Here for KBBQ,Walmarsh Supercenter,P9: Final,seattleslam23,[-1],[-1],Advanced
Walmarsh Supercenter,Cripps,9th place,seattleslam23,[2],[1],Advanced
The Nerdnecks,The Finishers,Round of 16,seattleslam23,"[21, 21]","[8, 11]",Intermediate
Lobster Trap,I'm Drawing a Blank,Round of 16,seattleslam23,"[21, 21]","[15, 6]",Intermediate
Fire breathing dragons,Spikeghetti,Round of 16,seattleslam23,"[21, 21]","[8, 13]",Intermediate
Slammo pro,The Nerdnecks,Quarter-finals,seattleslam23,"[21, 23]","[18, 21]",Intermediate
Lobster Trap,Fire breathing dragons,Quarter-finals,seattleslam23,"[12, 16]","[21, 21]",Intermediate
Slammo pro,Fire breathing dragons,Semi-finals,seattleslam23,"[23, 18, 21]","[21, 21, 15]",Intermediate
Team Marsneak,Can't Serve,Final,seattleslam23,"[15, 13]","[21, 21]",Intermediate
Flippy Floppies,Team Marsneak,1st place,seattleslam23,"[18, 21, 18]","[21, 16, 21]",Intermediate
Can't Serve,Khoros,1st place,seattleslam23,"[21, 21]","[13, 12]",Intermediate
Flippy Floppies,asdf,3rd place,seattleslam23,"[21, 21]","[12, 15]",Intermediate
Team Marsneak,Super Smash Bros,3rd place,seattleslam23,"[21, 21]","[7, 15]",Intermediate
Can't Serve,kill shot,3rd place,seattleslam23,"[21, 21]","[5, 13]",Intermediate
Khoros,Danger Boys,3rd place,seattleslam23,"[19, 21, 21]","[21, 17, 11]",Intermediate
Lobster Trap,The Nerdnecks,P5: Semi-finals,seattleslam23,[21],[0],Intermediate
Khoros,Flippy Floppies,P5: Final,seattleslam23,[21],[16],Intermediate
Spikeghetti,I'm Drawing a Blank,P9: Quarter-finals,seattleslam23,[22],[20],Intermediate
The Finishers,Spikeghetti,P9: Semi-finals,seattleslam23,[10],[21],Intermediate
asdf,kill shot,P9: Final,seattleslam23,[20],[21],Intermediate
Super Smash Bros,asdf,9th place,seattleslam23,[24],[25],Intermediate
Danger Boys,kill shot,9th place,seattleslam23,[0],[1],Intermediate
Danger Boys,Super Smash Bros,P13: Final,seattleslam23,[0],[1],Intermediate
Danger Boys,Super Smash Bros,P13: Final,seattleslam23,[0],[1],Intermediate
