Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
The Great Spike,Tricky Blicky,Round of 32,spikeforacause,[21],[16],Advanced
Ball & Chain Gang,Roundnet AI,Round of 32,spikeforacause,[21],[19],Advanced
Boom Boys,We Are,Round of 32,spikeforacause,[21],[10],Advanced
Sather/Nataraj,"Wow, but like Owen Wilson",Round of 32,spikeforacause,[21],[23],Advanced
Bag of Beans,PSR Emerald Wave,Round of 32,spikeforacause,[16],[21],Advanced
Da Big Boys,The Great Spike,Round of 16,spikeforacause,"[21, 21]","[8, 10]",Advanced
Ball & Chain Gang,Boom Boys,Round of 16,spikeforacause,"[13, 13]","[21, 21]",Advanced
Set Theory,"Wow, but like Owen Wilson",Round of 16,spikeforacause,"[21, 21]","[14, 12]",Advanced
PSR Emerald Wave,Definitely High,Round of 16,spikeforacause,"[17, 16]","[21, 21]",Advanced
Da Big Boys,Boom Boys,Quarter-finals,spikeforacause,"[21, 21]","[15, 15]",Advanced
Set Theory,Definitely High,Quarter-finals,spikeforacause,"[19, 17]","[21, 21]",Advanced
Da Big Boys,Definitely High,Semi-finals,spikeforacause,"[21, 21]","[16, 18]",Advanced
Wesburn,Bubbles,Final,spikeforacause,"[22, 18]","[24, 21]",Advanced
Wesburn,OG Blinggo Boys,1st place,spikeforacause,"[21, 21]","[18, 14]",Advanced
Bubbles,PK Thunder,1st place,spikeforacause,"[19, 21, 21]","[21, 16, 19]",Advanced
Wesburn,Faded,3rd place,spikeforacause,"[21, 21]","[17, 14]",Advanced
@ss,OG Blinggo Boys,3rd place,spikeforacause,"[20, 21, 16]","[22, 18, 21]",Advanced
Bubbles,I’m just here,3rd place,spikeforacause,"[21, 21]","[9, 17]",Advanced
Stay Hard!!!,PK Thunder,3rd place,spikeforacause,"[16, 18]","[21, 21]",Advanced
Faded,Go easy on us,Semi-finals,spikeforacause,[29],[27],Advanced
@ss,Whiffed It,Semi-finals,spikeforacause,[21],[14],Advanced
Just here for a good time,I’m just here,Semi-finals,spikeforacause,[18],[21],Advanced
Stay Hard!!!,Be Nice or Else,Semi-finals,spikeforacause,[21],[15],Advanced
Set Theory,Boom Boys,P5: Semi-finals,spikeforacause,[1],[0],Advanced
PK Thunder,OG Blinggo Boys,P5: Final,spikeforacause,[21],[13],Advanced
Ball & Chain Gang,The Great Spike,P9: Quarter-finals,spikeforacause,[15],[13],Advanced
PSR Emerald Wave,"Wow, but like Owen Wilson",P9: Quarter-finals,spikeforacause,[21],[15],Advanced
Ball & Chain Gang,PSR Emerald Wave,P9: Semi-finals,spikeforacause,[27],[25],Advanced
Faded,I’m just here,P9: Final,spikeforacause,[14],[21],Advanced
@ss,Faded,9th place,spikeforacause,[0],[21],Advanced
Stay Hard!!!,I’m just here,9th place,spikeforacause,[16],[21],Advanced
"Wow, but like Owen Wilson",The Great Spike,P13: Semi-finals,spikeforacause,[1],[0],Advanced
Stay Hard!!!,@ss,P13: Final,spikeforacause,[-1],[-1],Advanced
Roundnet AI,We Are,P17: Round of 16,spikeforacause,[21],[13],Advanced
Tricky Blicky,Roundnet AI,P17: Quarter-finals,spikeforacause,[0],[21],Advanced
Sather/Nataraj,Bag of Beans,P17: Quarter-finals,spikeforacause,[-1],[-1],Advanced
Whiffed It,Be Nice or Else,P17: Final,spikeforacause,[0],[1],Advanced
Go easy on us,Whiffed It,17th place,spikeforacause,[0],[1],Advanced
Just here for a good time,Be Nice or Else,17th place,spikeforacause,[1],[2],Advanced
Just here for a good time,Go easy on us,P21: Final,spikeforacause,[-1],[-1],Advanced
Ja Ja Ding Dong,Spikeaholics,Round of 16,spikeforacause,[16],[21],Intermediate
Sets on the Beach,Org of Uncommonly Crazy Hedgehogs (OUCH),Round of 16,spikeforacause,[21],[14],Intermediate
Godzilla,GGs,Round of 16,spikeforacause,[21],[13],Intermediate
The Mac Daddy's,Spikeaholics,Quarter-finals,spikeforacause,"[21, 21]","[14, 16]",Intermediate
Sets on the Beach,Godzilla,Quarter-finals,spikeforacause,"[21, 21]","[17, 19]",Intermediate
The Mac Daddy's,Sets on the Beach,Semi-finals,spikeforacause,"[16, 18]","[21, 21]",Intermediate
Power Set,KB24,Final,spikeforacause,"[17, 21, 21]","[21, 17, 12]",Intermediate
Power Set,Cal Poly Squad,1st place,spikeforacause,"[21, 21]","[14, 13]",Intermediate
Team name,KB24,1st place,spikeforacause,"[21, 17, 11]","[17, 21, 21]",Intermediate
Cal Poly Squad,Pump it up,3rd place,spikeforacause,[21],[17],Intermediate
KB24,The I5 Drive,3rd place,spikeforacause,[21],[16],Intermediate
Godzilla,Spikeaholics,P5: Semi-finals,spikeforacause,[25],[24],Intermediate
Team name,Cal Poly Squad,P5: Final,spikeforacause,[21],[14],Intermediate
GGs,Org of Uncommonly Crazy Hedgehogs (OUCH),P9: Quarter-finals,spikeforacause,[21],[0],Intermediate
Ja Ja Ding Dong,GGs,P9: Semi-finals,spikeforacause,[0],[21],Intermediate
Pump it up,The I5 Drive,P9: Final,spikeforacause,[21],[0],Intermediate
