Team Name,Wins,Losses,Result,Division,Tournament
CRO rimmer season,9,0,1,Challenger,rotcwaterloo
Chris Brown,7,2,2,Challenger,rotcwaterloo
CRO Bummerland,3,6,3,Challenger,rotcwaterloo
CRO Indi Partners,3,6,4,Challenger,rotcwaterloo
Full Swing,5,3,5,Challenger,rotcwaterloo
CRO Jungle Juice,7,1,6,Challenger,rotcwaterloo
Kool Aid Jammers,6,2,7,Challenger,rotcwaterloo
CRO Pocket Aces,3,5,7,Challenger,rotcwaterloo
TJ’s Bar and Grill,7,2,9,Challenger,rotcwaterloo
Brampton Bros,6,3,10,Challenger,rotcwaterloo
Nem Stardust,5,3,11,Challenger,rotcwaterloo
PB & J,6,2,11,Challenger,rotcwaterloo
FCR BHAD Boys,5,3,13,Challenger,rotcwaterloo
Bet,4,3,14,Challenger,rotcwaterloo
Short + Sweet,3,4,14,Challenger,rotcwaterloo
Till We Spike Again,3,5,14,Challenger,rotcwaterloo
FCR Left-overs,4,5,17,Challenger,rotcwaterloo
FCR Cold Cut Combo,4,4,18,Challenger,rotcwaterloo
Brezra,3,5,19,Challenger,rotcwaterloo
Balls Up,2,6,20,Challenger,rotcwaterloo
Can't wait to shave,2,5,21,Challenger,rotcwaterloo
FADERADE,2,5,21,Challenger,rotcwaterloo
Latin' Fever 🕺,3,5,23,Challenger,rotcwaterloo
NEM Tenacity,1,8,24,Challenger,rotcwaterloo
FURY: REVENGE TOUR 😈,0,6,25,Challenger,rotcwaterloo
Guinness/Kassabian,1,5,25,Challenger,rotcwaterloo
HEAVY HITTERS 🤏🏻,10,1,1,Women’s,rotcwaterloo
"Lois,Ma,Mommy",7,4,2,Women’s,rotcwaterloo
Miss Rick,9,2,3,Women’s,rotcwaterloo
Novy/Roman,7,4,4,Women’s,rotcwaterloo
Smash or Pass,5,5,5,Women’s,rotcwaterloo
Love At First Spike,3,6,6,Women’s,rotcwaterloo
The Manatees,2,7,6,Women’s,rotcwaterloo
✨ Spikeball Chic ✨,3,8,6,Women’s,rotcwaterloo
Spike Wazowski,0,9,9,Women’s,rotcwaterloo
Los Kid Cutty,7,0,1,Advanced,rotcwaterloo
Team Noble,4,4,2,Advanced,rotcwaterloo
Team Reach,5,2,3,Advanced,rotcwaterloo
BRUTAL!,4,3,4,Advanced,rotcwaterloo
Los Patos,4,3,5,Advanced,rotcwaterloo
Brett Bros,3,4,6,Advanced,rotcwaterloo
The Dogwater Brother’s,3,5,7,Advanced,rotcwaterloo
Rec Bros,4,3,8,Advanced,rotcwaterloo
Can Take Pancake,1,5,9,Advanced,rotcwaterloo
Double Faulters,0,6,10,Advanced,rotcwaterloo
