Team Name,Wins,Losses,Result,Division,Tournament
U.S.Eh,14,0,1,Challenger,rotcwindsor2023
CAL,13,2,2,Challenger,rotcwindsor2023
Milk Men,9,6,3,Challenger,rotcwindsor2023
NEMpire,8,7,4,Challenger,rotcwindsor2023
FCR BHAD Boys,8,7,5,Challenger,rotcwindsor2023
Candy,8,6,6,Challenger,rotcwindsor2023
CRO guru goblins,10,4,7,Challenger,rotcwindsor2023
JQ^2,5,10,8,Challenger,rotcwindsor2023
Till We Spike Again,4,11,9,Challenger,rotcwindsor2023
FCR Cold Cut Combo,6,8,10,Challenger,rotcwindsor2023
Cheat Right,3,11,11,Challenger,rotcwindsor2023
On Y Va,3,11,12,Challenger,rotcwindsor2023
The Utilities,3,11,13,Challenger,rotcwindsor2023
Ball Enthusiasts,6,5,0,Intermediate,rotcwindsor2023
FCR Sombrebros,8,2,0,Intermediate,rotcwindsor2023
Grand master Olga,4,5,0,Intermediate,rotcwindsor2023
McRibs,2,8,0,Intermediate,rotcwindsor2023
Naaron,3,6,0,Intermediate,rotcwindsor2023
Skinny Queens,7,4,0,Intermediate,rotcwindsor2023
Spike what?,0,9,0,Intermediate,rotcwindsor2023
THE BOYS,11,0,0,Intermediate,rotcwindsor2023
The Steve and Joe show,3,5,0,Intermediate,rotcwindsor2023
