Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Sensei & his grasshopper,Exponentially Average,Round of 16,rotcyork,"[21, 21]","[19, 14]",Challenger
Trippy Bois,Stinky Hinder 💩💨😵,Round of 16,rotcyork,"[20, 16]","[22, 21]",Challenger
BRO Big Dawgs,Milk Men,Round of 16,rotcyork,"[24, 20, 21]","[22, 22, 18]",Challenger
im the biggest bird 🦅,FCR ICEBERGS,Round of 16,rotcyork,"[21, 21]","[13, 16]",Challenger
Sensei & his grasshopper,Stinky Hinder 💩💨😵,Quarter-finals,rotcyork,"[21, 21]","[15, 12]",Challenger
BRO Big Dawgs,im the biggest bird 🦅,Quarter-finals,rotcyork,"[21, 15, 21]","[14, 21, 16]",Challenger
Sensei & his grasshopper,BRO Big Dawgs,Semi-finals,rotcyork,"[21, 24, 21]","[19, 26, 14]",Challenger
The DAWGS,Full Swing,Final,rotcyork,"[24, 21]","[22, 16]",Challenger
The DAWGS,CRO Jungle Juice,1st place,rotcyork,"[21, 21]","[14, 13]",Challenger
Full Swing,surprise!,1st place,rotcyork,"[21, 21]","[17, 17]",Challenger
The DAWGS,FCR Bologna Serves,3rd place,rotcyork,"[21, 21]","[15, 13]",Challenger
CRO Jungle Juice,Tripod Hinder,3rd place,rotcyork,"[24, 21]","[22, 10]",Challenger
Full Swing,GDM Early Investors,3rd place,rotcyork,"[21, 21]","[15, 10]",Challenger
surprise!,W's Only,3rd place,rotcyork,"[21, 18, 21]","[16, 21, 15]",Challenger
im the biggest bird 🦅,Stinky Hinder 💩💨😵,P5: Semi-finals,rotcyork,[-1],[0],Challenger
surprise!,CRO Jungle Juice,P5: Final,rotcyork,[21],[19],Challenger
Trippy Bois,Exponentially Average,P9: Quarter-finals,rotcyork,"[-1, -1, -1]","[-1, -1, -1]",Challenger
FCR ICEBERGS,Milk Men,P9: Quarter-finals,rotcyork,"[0, 2, 2]","[2, 0, 0]",Challenger
FCR Bologna Serves,GDM Early Investors,P9: Final,rotcyork,[-1],[0],Challenger
Tripod Hinder,FCR Bologna Serves,9th place,rotcyork,"[20, -1, -1]","[22, 0, -1]",Challenger
W's Only,GDM Early Investors,9th place,rotcyork,"[17, -1]","[21, 0]",Challenger
W's Only,Tripod Hinder,P13: Final,rotcyork,[-1],[-1],Challenger
W's Only,Tripod Hinder,P13: Final,rotcyork,[-1],[-1],Challenger
Smash or Pass,Gotta catch them balls,Round of 16,rotcyork,"[19, 24, 19]","[21, 22, 21]",Advanced
1-800-GOT-JUNK,Gotta catch them balls,Quarter-finals,rotcyork,"[1, 1]","[0, 0]",Advanced
FCR WWJD,Scoot Troop,Quarter-finals,rotcyork,"[21, 21]","[15, 17]",Advanced
1-800-GOT-JUNK,FCR WWJD,Semi-finals,rotcyork,"[1, 1]","[0, 0]",Advanced
Underdawgs,Buzzcut szn,Final,rotcyork,"[22, 21]","[20, 16]",Advanced
Cheungle,Underdawgs,1st place,rotcyork,"[1, 0, 0]","[0, 1, 1]",Advanced
Fresh Prince,Buzzcut szn,1st place,rotcyork,"[1, 0, 0]","[0, 1, 1]",Advanced
Scoot Troop,Gotta catch them balls,P5: Semi-finals,rotcyork,[1],[0],Advanced
Fresh Prince,Cheungle,P5: Final,rotcyork,[1],[0],Advanced
Core,FCR VIPERS,Round of 16,rotcyork,"[1, 1]","[0, 0]",Intermediate/Beginner
Salted caramel ice caps,A&T Slayers,Round of 16,rotcyork,"[21, 21]","[12, 16]",Intermediate/Beginner
Spike-a-delic,Core,Quarter-finals,rotcyork,"[1, 1]","[0, 0]",Intermediate/Beginner
The J Team,Salted caramel ice caps,Quarter-finals,rotcyork,"[24, 21, 21]","[26, 10, 14]",Intermediate/Beginner
Spike-a-delic,The J Team,Semi-finals,rotcyork,"[1, 1]","[0, 0]",Intermediate/Beginner
Blitz,Sugar Babies,Final,rotcyork,"[0, 0]","[1, 1]",Intermediate/Beginner
Blitz,No Trick Ponies,1st place,rotcyork,"[21, 21]","[7, 10]",Intermediate/Beginner
Sugar Babies,SpikeLoo,1st place,rotcyork,"[29, 21]","[27, 16]",Intermediate/Beginner
A team,No Trick Ponies,3rd place,rotcyork,"[1, 0, 0]","[0, 1, 1]",Intermediate/Beginner
SpikeLoo,Fun Netters,3rd place,rotcyork,"[21, 20, 21]","[19, 22, 13]",Intermediate/Beginner
Salted caramel ice caps,Core,P5: Semi-finals,rotcyork,[1],[0],Intermediate/Beginner
SpikeLoo,No Trick Ponies,P5: Final,rotcyork,[-1],[-1],Intermediate/Beginner
FCR VIPERS,A&T Slayers,P9: Semi-finals,rotcyork,[1],[0],Intermediate/Beginner
A team,Fun Netters,P9: Final,rotcyork,[1],[0],Intermediate/Beginner
FCR VIPERS,A&T Slayers,P9: Semi-finals,rotcyork,[1],[0],Intermediate/Beginner
A team,Fun Netters,P9: Final,rotcyork,[1],[0],Intermediate/Beginner
