Team Name,Wins,Losses,Result,Division,Tournament
Insystem,9,2,1,Premier 5.0+,columbus2023
Bad Combo,8,3,2,Premier 5.0+,columbus2023
Judgment Day,10,1,3,Premier 5.0+,columbus2023
Rogue,8,3,4,Premier 5.0+,columbus2023
Kingdom Come,7,2,5,Premier 5.0+,columbus2023
Assistive Touch,5,4,5,Premier 5.0+,columbus2023
TRP Spotless,6,3,5,Premier 5.0+,columbus2023
Critical Hit,6,3,5,Premier 5.0+,columbus2023
Glizzy Gladiators,10,1,9,Premier 5.0+,columbus2023
MIDDS,4,7,9,Premier 5.0+,columbus2023
Bot House,6,4,9,Premier 5.0+,columbus2023
Tube Steaks,3,7,9,Premier 5.0+,columbus2023
GFD Evasive Maneuvers,7,2,13,Premier 5.0+,columbus2023
Mermaid Sparkle,4,5,13,Premier 5.0+,columbus2023
Profit Boost,3,6,13,Premier 5.0+,columbus2023
Coastal Beans,2,7,13,Premier 5.0+,columbus2023
moist,6,3,17,Premier 5.0+,columbus2023
Autonomous,8,1,17,Premier 5.0+,columbus2023
Justin's Side Hoes,7,1,17,Premier 5.0+,columbus2023
Sparky Sparky Boom Men,7,1,17,Premier 5.0+,columbus2023
PBR Dap & Snap,5,3,17,Premier 5.0+,columbus2023
GFD Shorter & Taller,7,1,17,Premier 5.0+,columbus2023
GFD Breakfast Balls,5,4,17,Premier 5.0+,columbus2023
CRO Fall Damage,7,2,17,Premier 5.0+,columbus2023
CRO 7s Coming,5,3,25,Premier 5.0+,columbus2023
Hilltop,1,7,25,Premier 5.0+,columbus2023
❤️ For Dolores ✝️,5,3,25,Premier 5.0+,columbus2023
Boat Carriers,0,8,25,Premier 5.0+,columbus2023
Jersey Boyz,5,3,25,Premier 5.0+,columbus2023
TBD,4,4,25,Premier 5.0+,columbus2023
Bergman/Wilkins,5,3,25,Premier 5.0+,columbus2023
mexican food,6,2,25,Premier 5.0+,columbus2023
Super Awesome Spikers,7,4,33,Premier 5.0+,columbus2023
We Move,7,4,34,Premier 5.0+,columbus2023
Risky Business,7,4,35,Premier 5.0+,columbus2023
Kenough,6,5,36,Premier 5.0+,columbus2023
Muscle Daddies 💪🏽,5,4,37,Premier 5.0+,columbus2023
Highly Flammable ⚠️,4,5,37,Premier 5.0+,columbus2023
American Spikers League,2,7,37,Premier 5.0+,columbus2023
GFD Wishy Washy,6,3,37,Premier 5.0+,columbus2023
CRO backdoor?,5,4,41,Premier 5.0+,columbus2023
W(ee)NYR Dawgs,2,6,41,Premier 5.0+,columbus2023
GFD Rowgah,4,4,41,Premier 5.0+,columbus2023
Clark/Porter,4,4,41,Premier 5.0+,columbus2023
GFD Italian Buffet,3,5,41,Premier 5.0+,columbus2023
upstairs don’t want it,2,6,41,Premier 5.0+,columbus2023
BoilerBirds,1,7,41,Premier 5.0+,columbus2023
PBR Sleepy in Seattle,5,4,41,Premier 5.0+,columbus2023
The Friend Bros,1,7,49,Premier 5.0+,columbus2023
Tossup,2,6,49,Premier 5.0+,columbus2023
GFD Cleveland Cowboys,1,6,49,Premier 5.0+,columbus2023
GFD Undeterred,0,7,49,Premier 5.0+,columbus2023
Defected,3,4,49,Premier 5.0+,columbus2023
Limitless Faith,3,4,49,Premier 5.0+,columbus2023
GFD Pecan Pralines,2,5,49,Premier 5.0+,columbus2023
JJ Dr. Jackal and Mr. Fried,0,7,49,Premier 5.0+,columbus2023
bang,2,5,49,Premier 5.0+,columbus2023
Project Roundnet,4,3,49,Premier 5.0+,columbus2023
Donner & Blitzen,3,4,49,Premier 5.0+,columbus2023
CRO Jungle Juice,0,7,49,Premier 5.0+,columbus2023
Glitch,3,4,49,Premier 5.0+,columbus2023
Wilson/U’Wren,0,7,49,Premier 5.0+,columbus2023
GFD MUNCHERS,0,8,49,Premier 5.0+,columbus2023
Hart/Garcea,1,7,49,Premier 5.0+,columbus2023
TWINZ,10,0,1,Women's Advanced 4.0+,columbus2023
2k•,5,5,2,Women's Advanced 4.0+,columbus2023
Veggie Tales,6,4,3,Women's Advanced 4.0+,columbus2023
11:1,8,2,4,Women's Advanced 4.0+,columbus2023
Feller/Pierson,2,6,5,Women's Advanced 4.0+,columbus2023
Funsies Forsuresies,6,2,5,Women's Advanced 4.0+,columbus2023
Outside Voices,7,1,5,Women's Advanced 4.0+,columbus2023
Space Monkeys 🚀🐒,7,1,5,Women's Advanced 4.0+,columbus2023
BIG BEAVERS,6,3,9,Women's Advanced 4.0+,columbus2023
GFD Spice Girls,5,4,9,Women's Advanced 4.0+,columbus2023
Little Miss Spikeball,6,5,9,Women's Advanced 4.0+,columbus2023
Loopy Juice,3,7,9,Women's Advanced 4.0+,columbus2023
Age Gap,3,5,13,Women's Advanced 4.0+,columbus2023
TechNo Mercy,3,6,13,Women's Advanced 4.0+,columbus2023
Dinger,3,5,13,Women's Advanced 4.0+,columbus2023
One Hit Wonder,5,3,13,Women's Advanced 4.0+,columbus2023
Janey/Yubi,2,6,17,Women's Advanced 4.0+,columbus2023
Frenemies,1,7,17,Women's Advanced 4.0+,columbus2023
GFD: I think you should leave,0,8,19,Women's Advanced 4.0+,columbus2023
Wawa mafia,0,8,19,Women's Advanced 4.0+,columbus2023
Narayan/Pinsonneault,10,0,1,Contender 4.5+,columbus2023
Renaissance,6,3,2,Contender 4.5+,columbus2023
Bremner/Semke,8,1,3,Contender 4.5+,columbus2023
1more,7,2,4,Contender 4.5+,columbus2023
Tornado Cuts,8,1,5,Contender 4.5+,columbus2023
Green text messages,7,3,6,Contender 4.5+,columbus2023
TNT 🧨,6,2,7,Contender 4.5+,columbus2023
Get Milked,5,3,7,Contender 4.5+,columbus2023
Bert & Ernie,4,2,9,Contender 4.5+,columbus2023
Score check?,4,2,9,Contender 4.5+,columbus2023
Land Dolphins,4,2,9,Contender 4.5+,columbus2023
Closed on Sundays,5,1,9,Contender 4.5+,columbus2023
Rotato Potato,3,3,9,Contender 4.5+,columbus2023
Too Much Sandwich,3,3,9,Contender 4.5+,columbus2023
Blind Squirrel,4,2,9,Contender 4.5+,columbus2023
Sons of Kenneth,4,2,9,Contender 4.5+,columbus2023
