Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Beast Mode,Force-Toé,Round of 16,coupeestivale,"[1, 1]","[0, 0]",Premier 5.0+
The Fence,Beast Mode,Quarter-finals,coupeestivale,"[21, 21]","[15, 18]",Premier 5.0+
Mario & Donkey Kong,The Prince,Quarter-finals,coupeestivale,"[18, 18]","[21, 21]",Premier 5.0+
The Fence,The Prince,Semi-finals,coupeestivale,"[13, 21, 19]","[21, 17, 21]",Premier 5.0+
Mathieu/Pilon,Gimme Paradise,Final,coupeestivale,"[14, 21, 22]","[21, 14, 20]",Premier 5.0+
Mathieu/Pilon,Josh & Phil,1st place,coupeestivale,"[21, 21]","[4, 15]",Premier 5.0+
Gimme Paradise,Pole Position,1st place,coupeestivale,"[21, 15, 21]","[14, 21, 15]",Premier 5.0+
Mario & Donkey Kong,Beast Mode,P5: Semi-finals,coupeestivale,[0],[1],Premier 5.0+
Pole Position,Josh & Phil,P5: Final,coupeestivale,[21],[19],Premier 5.0+
NON MERCI✌️,Les Coccinelles,Round of 32,coupeestivale,"[15, 15]","[11, 11]",Contender 4.5+
Groovy Goofies,Juicy Dragons,Round of 32,coupeestivale,"[15, 15]","[13, 9]",Contender 4.5+
Net-flicks and Chill,Les Chacals,Round of 32,coupeestivale,"[15, 15]","[10, 10]",Contender 4.5+
Beauty and the Beast,RPP district,Round of 32,coupeestivale,"[15, 15]","[8, 8]",Contender 4.5+
Falcon Punch,Qc Classic King Size,Round of 32,coupeestivale,"[15, 15]","[10, 10]",Contender 4.5+
Alerte UV,Les vidanges,Round of 32,coupeestivale,"[15, 13, 15]","[10, 15, 10]",Contender 4.5+
Yoshi et Waluigi,Les chevilles molles,Round of 32,coupeestivale,"[15, 15]","[13, 11]",Contender 4.5+
No gravity,NON MERCI✌️,Round of 16,coupeestivale,"[21, 21]","[15, 15]",Contender 4.5+
Groovy Goofies,Net-flicks and Chill,Round of 16,coupeestivale,"[21, 21]","[12, 16]",Contender 4.5+
Beauty and the Beast,Falcon Punch,Round of 16,coupeestivale,"[20, 16]","[22, 21]",Contender 4.5+
Alerte UV,Yoshi et Waluigi,Round of 16,coupeestivale,"[15, 16]","[21, 21]",Contender 4.5+
No gravity,Groovy Goofies,Quarter-finals,coupeestivale,"[25, 18]","[27, 21]",Contender 4.5+
Falcon Punch,Yoshi et Waluigi,Quarter-finals,coupeestivale,"[0, 1, 1]","[1, 0, 0]",Contender 4.5+
Groovy Goofies,Falcon Punch,Semi-finals,coupeestivale,"[19, 21, 25]","[21, 19, 27]",Contender 4.5+
Stinky Hinder 💩💨😵,Quick Hands,Final,coupeestivale,"[0, 0]","[1, 1]",Contender 4.5+
420 Spike,Stinky Hinder 💩💨😵,1st place,coupeestivale,"[21, 15, 18]","[17, 21, 21]",Contender 4.5+
Serverless,Quick Hands,1st place,coupeestivale,"[0, 0]","[1, 1]",Contender 4.5+
420 Spike,Les P'tits Loups,3rd place,coupeestivale,"[21, 23, 21]","[15, 25, 11]",Contender 4.5+
No clutch,Stinky Hinder 💩💨😵,3rd place,coupeestivale,"[19, 30]","[21, 32]",Contender 4.5+
Serverless,Les plongeurs,3rd place,coupeestivale,"[16, 21, 23]","[21, 15, 21]",Contender 4.5+
Goal Digger,Quick Hands,3rd place,coupeestivale,"[16, 15]","[21, 21]",Contender 4.5+
Short and Sweet,Les P'tits Loups,Semi-finals,coupeestivale,"[20, 15, 13]","[18, 17, 15]",Contender 4.5+
No clutch,Fromage Cottage,Semi-finals,coupeestivale,"[15, 15]","[13, 7]",Contender 4.5+
Stinky Hinder 💩💨😵,Gosselin/Juteau,Semi-finals,coupeestivale,"[15, 15]","[12, 8]",Contender 4.5+
