Team Name,Wins,Losses,Result,Division,Tournament
Finocchachurch,8,0,1,5.0+ Premier (Open),ers23ct
The Prince,8,1,2,5.0+ Premier (Open),ers23ct
MIDDS,7,1,3,5.0+ Premier (Open),ers23ct
Hilltop,6,2,4,5.0+ Premier (Open),ers23ct
Pleasant People,7,2,5,5.0+ Premier (Open),ers23ct
Bingu!,6,3,6,5.0+ Premier (Open),ers23ct
Dinomite,5,3,7,5.0+ Premier (Open),ers23ct
Profit Boost,5,2,7,5.0+ Premier (Open),ers23ct
Fockey Jongens,5,4,9,5.0+ Premier (Open),ers23ct
Maichen/Ulrich,5,4,10,5.0+ Premier (Open),ers23ct
Okay,4,4,11,5.0+ Premier (Open),ers23ct
Slow Jamz,5,3,11,5.0+ Premier (Open),ers23ct
Body No Worky,3,4,13,5.0+ Premier (Open),ers23ct
Parked and wrecked,4,3,13,5.0+ Premier (Open),ers23ct
Just Joshin,3,4,13,5.0+ Premier (Open),ers23ct
LL Cheezin,2,5,13,5.0+ Premier (Open),ers23ct
Old Hope,5,4,17,5.0+ Premier (Open),ers23ct
Cabbage Merchants,3,5,18,5.0+ Premier (Open),ers23ct
Tank Engines,2,5,19,5.0+ Premier (Open),ers23ct
White Lotus Roundnet,4,4,19,5.0+ Premier (Open),ers23ct
Low Expectations,2,7,21,5.0+ Premier (Open),ers23ct
Second Servings,1,6,21,5.0+ Premier (Open),ers23ct
NYC LemonLight,1,6,21,5.0+ Premier (Open),ers23ct
Shock Value,0,7,21,5.0+ Premier (Open),ers23ct
Royal Flush,1,6,25,5.0+ Premier (Open),ers23ct
Sports Mode,0,7,26,5.0+ Premier (Open),ers23ct
AiDaniel,9,0,1,4.5+ Contender (Open),ers23ct
Full Circle,7,1,2,4.5+ Contender (Open),ers23ct
Happy Heffalumps,7,1,3,4.5+ Contender (Open),ers23ct
All hail Plankton,7,2,4,4.5+ Contender (Open),ers23ct
Out spin the pocket,6,2,5,4.5+ Contender (Open),ers23ct
Get it don’t hit it!,6,3,5,4.5+ Contender (Open),ers23ct
Fresh Cuts,4,3,5,4.5+ Contender (Open),ers23ct
Milk,5,2,5,4.5+ Contender (Open),ers23ct
Second Wave,6,1,9,4.5+ Contender (Open),ers23ct
Lanky Boys,3,3,9,4.5+ Contender (Open),ers23ct
Clayton and Evan Party Time,5,2,9,4.5+ Contender (Open),ers23ct
Congressional Claps,3,2,9,4.5+ Contender (Open),ers23ct
Freight Train Roundnet 🚂🚂🦍🦍,3,3,9,4.5+ Contender (Open),ers23ct
Poppa Cap,5,4,9,4.5+ Contender (Open),ers23ct
Beef Supreme,5,2,9,4.5+ Contender (Open),ers23ct
Amen Brother,3,5,9,4.5+ Contender (Open),ers23ct
Ball Bustasaurus,4,3,17,4.5+ Contender (Open),ers23ct
Ball Fondlers,3,4,17,4.5+ Contender (Open),ers23ct
Thanks Noah,3,4,19,4.5+ Contender (Open),ers23ct
Phil Sho close to you right now 🎶,2,3,19,4.5+ Contender (Open),ers23ct
LL Cool Jay,3,3,21,4.5+ Contender (Open),ers23ct
Men's Rimnastics Team,6,3,22,4.5+ Contender (Open),ers23ct
The Last Dance,4,4,23,4.5+ Contender (Open),ers23ct
Put It in My Hand,4,4,24,4.5+ Contender (Open),ers23ct
CEOs of Spikeball,4,4,25,4.5+ Contender (Open),ers23ct
Shuijiao/睡觉,3,5,26,4.5+ Contender (Open),ers23ct
ZK Spikes,2,7,27,4.5+ Contender (Open),ers23ct
Jam Ranch,2,5,28,4.5+ Contender (Open),ers23ct
hakuna matata,2,5,28,4.5+ Contender (Open),ers23ct
Those Guys,1,6,30,4.5+ Contender (Open),ers23ct
LFE Hotdoggers,2,5,30,4.5+ Contender (Open),ers23ct
I-C-U-P,0,5,30,4.5+ Contender (Open),ers23ct
Borderline Misconduct,2,4,30,4.5+ Contender (Open),ers23ct
CRA Spichael Rimscati,1,5,30,4.5+ Contender (Open),ers23ct
Wonder Balls,0,5,30,4.5+ Contender (Open),ers23ct
GTCOMS,0,6,36,4.5+ Contender (Open),ers23ct
CRA gold beagles akimbo,0,6,36,4.5+ Contender (Open),ers23ct
Boost Maidens,9,0,1,4.0 Open Advanced,ers23ct
Spiked Cocktails,6,1,2,4.0 Open Advanced,ers23ct
out of pocket,6,3,3,4.0 Open Advanced,ers23ct
Crentis,4,3,4,4.0 Open Advanced,ers23ct
Dirty Mike and the Boys,5,4,5,4.0 Open Advanced,ers23ct
Loopy Juice,5,4,6,4.0 Open Advanced,ers23ct
Rickie's Army,7,2,7,4.0 Open Advanced,ers23ct
SKEV,5,4,8,4.0 Open Advanced,ers23ct
Set it and Forget it,6,3,9,4.0 Open Advanced,ers23ct
Serve-ivors of the Fittest,3,6,10,4.0 Open Advanced,ers23ct
High Caliber Option,3,5,11,4.0 Open Advanced,ers23ct
Death Saves,2,4,11,4.0 Open Advanced,ers23ct
Riff raff,2,6,13,4.0 Open Advanced,ers23ct
Ball Fondlers,0,5,14,4.0 Open Advanced,ers23ct
Spade Serve,0,7,14,4.0 Open Advanced,ers23ct
Crunch on my Lunch III,1,7,14,4.0 Open Advanced,ers23ct
Serious George,8,0,1,3.0 Open Intermediate,ers23ct
Aceholes,5,4,2,3.0 Open Intermediate,ers23ct
Big Dogs,7,1,3,3.0 Open Intermediate,ers23ct
King Jizzy,5,3,4,3.0 Open Intermediate,ers23ct
M3SM,4,3,5,3.0 Open Intermediate,ers23ct
Pickpocketers,3,4,5,3.0 Open Intermediate,ers23ct
Tones and I,4,2,5,3.0 Open Intermediate,ers23ct
Junkyard Dogs,3,4,5,3.0 Open Intermediate,ers23ct
Hot Hands,1,6,9,3.0 Open Intermediate,ers23ct
Timothy and Himothy,1,5,10,3.0 Open Intermediate,ers23ct
Swifties,0,5,10,3.0 Open Intermediate,ers23ct
Itsy Bitsy Spikers,1,5,10,3.0 Open Intermediate,ers23ct
Seattle Seamen,9,0,1,2.0 Open Matinee (Beginner),ers23ct
Dick Van Spike,8,1,2,2.0 Open Matinee (Beginner),ers23ct
Ball Slappers,7,2,3,2.0 Open Matinee (Beginner),ers23ct
Ex-Roommates,6,3,4,2.0 Open Matinee (Beginner),ers23ct
Redepmtion Roundnet,6,2,5,2.0 Open Matinee (Beginner),ers23ct
Syd&Moi,5,3,6,2.0 Open Matinee (Beginner),ers23ct
The Frogs,4,4,7,2.0 Open Matinee (Beginner),ers23ct
