Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Cabbage Merchants,LL Cheezin,Round of 32,ers23ct,"[13, 21, 14]","[21, 13, 21]",5.0+ Premier (Open)
Slow Jamz,NYC LemonLight,Round of 32,ers23ct,"[21, 18, 21]","[15, 21, 16]",5.0+ Premier (Open)
Bingu!,Royal Flush,Round of 32,ers23ct,"[24, 21]","[22, 15]",5.0+ Premier (Open)
White Lotus Roundnet,Fockey Jongens,Round of 32,ers23ct,"[24, 21, 21]","[26, 16, 23]",5.0+ Premier (Open)
Just Joshin,Second Servings,Round of 32,ers23ct,"[19, 24, 21]","[21, 22, 15]",5.0+ Premier (Open)
MIDDS,LL Cheezin,Round of 16,ers23ct,"[21, 21]","[18, 16]",5.0+ Premier (Open)
Slow Jamz,Bingu!,Round of 16,ers23ct,"[14, 15]","[21, 21]",5.0+ Premier (Open)
Profit Boost,Fockey Jongens,Round of 16,ers23ct,"[21, 21]","[12, 9]",5.0+ Premier (Open)
Just Joshin,Finocchachurch,Round of 16,ers23ct,"[16, 12]","[21, 21]",5.0+ Premier (Open)
MIDDS,Bingu!,Quarter-finals,ers23ct,"[21, 21]","[13, 17]",5.0+ Premier (Open)
Profit Boost,Finocchachurch,Quarter-finals,ers23ct,"[16, 21]","[21, 23]",5.0+ Premier (Open)
MIDDS,Finocchachurch,Semi-finals,ers23ct,"[16, 21, 14]","[21, 14, 21]",5.0+ Premier (Open)
Hilltop,The Prince,Final,ers23ct,"[22, 16]","[24, 21]",5.0+ Premier (Open)
Hilltop,Dinomite,1st place,ers23ct,"[21, 21]","[15, 15]",5.0+ Premier (Open)
The Prince,Pleasant People,1st place,ers23ct,"[22, 21]","[20, 11]",5.0+ Premier (Open)
Hilltop,Okay,3rd place,ers23ct,"[21, 21]","[15, 13]",5.0+ Premier (Open)
Parked and wrecked,Dinomite,3rd place,ers23ct,"[9, 18]","[21, 21]",5.0+ Premier (Open)
The Prince,Maichen/Ulrich,3rd place,ers23ct,"[21, 21]","[13, 15]",5.0+ Premier (Open)
Body No Worky,Pleasant People,3rd place,ers23ct,"[17, 13]","[21, 21]",5.0+ Premier (Open)
Okay,Old Hope,Semi-finals,ers23ct,"[17, 21, 21]","[21, 17, 16]",5.0+ Premier (Open)
Parked and wrecked,Sports Mode,Semi-finals,ers23ct,"[21, 21]","[10, 19]",5.0+ Premier (Open)
Dinomite,Low Expectations,Semi-finals,ers23ct,"[21, 21]","[15, 16]",5.0+ Premier (Open)
Maichen/Ulrich,Tank Engines,Semi-finals,ers23ct,"[21, 21]","[11, 18]",5.0+ Premier (Open)
Body No Worky,Shock Value,Semi-finals,ers23ct,"[24, 21]","[22, 12]",5.0+ Premier (Open)
Profit Boost,Bingu!,P5: Semi-finals,ers23ct,[0],[1],5.0+ Premier (Open)
Pleasant People,Dinomite,P5: Final,ers23ct,[21],[18],5.0+ Premier (Open)
Slow Jamz,LL Cheezin,P9: Quarter-finals,ers23ct,[1],[0],5.0+ Premier (Open)
Just Joshin,Fockey Jongens,P9: Quarter-finals,ers23ct,[0],[1],5.0+ Premier (Open)
Slow Jamz,Fockey Jongens,P9: Semi-finals,ers23ct,[20],[22],5.0+ Premier (Open)
Okay,Maichen/Ulrich,P9: Final,ers23ct,[0],[1],5.0+ Premier (Open)
Parked and wrecked,Okay,9th place,ers23ct,[17],[21],5.0+ Premier (Open)
