Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Liquid Wrench,Scrambled Legs,Quarter-finals,ers23md,"[15, 10]","[21, 21]",4.0+ Women's Advanced
Stef and Abby,Scrambled Legs,Semi-finals,ers23md,"[21, 21]","[15, 16]",4.0+ Women's Advanced
Goofy Goobers,whiff & tiff?,Final,ers23md,"[19, 10]","[21, 21]",4.0+ Women's Advanced
Goofy Goobers,Women in STEM,1st place,ers23md,"[21, 21]","[14, 16]",4.0+ Women's Advanced
whiff & tiff?,Sets and the City,1st place,ers23md,"[21, 21]","[12, 12]",4.0+ Women's Advanced
Sets and the City,Women in STEM,P5: Final,ers23md,[-1],[-1],4.0+ Women's Advanced
Sets and the City,Women in STEM,P5: Final,ers23md,[-1],[-1],4.0+ Women's Advanced
High Def,AZR Rice Babes,Round of 32,ers23md,[19],[21],5.0+ Premier (Open)
PBR You gotta give,Sufficiently Sauced,Round of 32,ers23md,[21],[19],5.0+ Premier (Open)
PBR: Lesser Washington Roundnet,Nic & Kevin,Round of 32,ers23md,[21],[17],5.0+ Premier (Open)
Bags are Packed,AZR Rice Babes,Round of 16,ers23md,"[21, 21]","[9, 15]",5.0+ Premier (Open)
Khaki Shorts,"LL Porkroll, Egg, & Cheesesteak",Round of 16,ers23md,"[21, 21]","[12, 18]",5.0+ Premier (Open)
Profit Boost,PBR You gotta give,Round of 16,ers23md,"[21, 21]","[15, 9]",5.0+ Premier (Open)
PBR: Lesser Washington Roundnet,TRP palate cleanser,Round of 16,ers23md,"[12, 16]","[21, 21]",5.0+ Premier (Open)
Bags are Packed,Khaki Shorts,Quarter-finals,ers23md,"[16, 21, 21]","[21, 16, 11]",5.0+ Premier (Open)
Profit Boost,TRP palate cleanser,Quarter-finals,ers23md,"[20, 13]","[22, 21]",5.0+ Premier (Open)
Bags are Packed,TRP palate cleanser,Semi-finals,ers23md,"[19, 14]","[21, 21]",5.0+ Premier (Open)
Model/Finocchi,TRPee Golden Shower,Final,ers23md,"[16, 21, 21]","[21, 19, 14]",5.0+ Premier (Open)
Model/Finocchi,Glizzy Gladiators,1st place,ers23md,"[21, 21]","[19, 15]",5.0+ Premier (Open)
Bot House,TRPee Golden Shower,1st place,ers23md,"[30, 21]","[32, 23]",5.0+ Premier (Open)
Model/Finocchi,Dirty soda spike lee,3rd place,ers23md,"[21, 21]","[15, 14]",5.0+ Premier (Open)
Glizzy Gladiators,Eternal Atake,3rd place,ers23md,"[21, 21]","[18, 18]",5.0+ Premier (Open)
Bot House,PBR Dap & Snap,3rd place,ers23md,"[21, 21]","[16, 14]",5.0+ Premier (Open)
VBR Stingray,TRPee Golden Shower,3rd place,ers23md,"[16, 18]","[21, 21]",5.0+ Premier (Open)
Dirty soda spike lee,Nittany Nation,Semi-finals,ers23md,[21],[19],5.0+ Premier (Open)
