Team Name,Wins,Losses,Result,Division,Tournament
Big Budis,7,0,1,4.0 Open Advanced,ers23nova
Is there dairy in that?,4,4,2,4.0 Open Advanced,ers23nova
Wet Fleece,5,3,3,4.0 Open Advanced,ers23nova
Big Time Roundnet,4,2,4,4.0 Open Advanced,ers23nova
Paul Gobrial,5,2,5,4.0 Open Advanced,ers23nova
Pho Kings,5,2,5,4.0 Open Advanced,ers23nova
Rogo bros,3,4,7,4.0 Open Advanced,ers23nova
Le Pass Down,2,4,7,4.0 Open Advanced,ers23nova
Knights of the Night,4,4,9,4.0 Open Advanced,ers23nova
Spike It Like It's Hot,3,5,10,4.0 Open Advanced,ers23nova
Sushi Roll,1,4,11,4.0 Open Advanced,ers23nova
The Slammin' Vandys,1,4,11,4.0 Open Advanced,ers23nova
Whiff Wizards,3,3,13,4.0 Open Advanced,ers23nova
Simply Bad,0,6,13,4.0 Open Advanced,ers23nova
Royalty,7,0,1,4.0+ Women's Advanced,ers23nova
angst,5,2,2,4.0+ Women's Advanced,ers23nova
Veggie Tales,6,3,3,4.0+ Women's Advanced,ers23nova
Goofy Goobers,3,6,4,4.0+ Women's Advanced,ers23nova
Liz and Lourna,3,5,5,4.0+ Women's Advanced,ers23nova
Last Minute,0,8,6,4.0+ Women's Advanced,ers23nova
Quick Draw,9,0,1,4.5+ Contender (Open),ers23nova
CRO Jungle Juice,8,1,2,4.5+ Contender (Open),ers23nova
silva stokes,8,2,3,4.5+ Contender (Open),ers23nova
BUTTER,6,3,4,4.5+ Contender (Open),ers23nova
"All Gas, No Brakes",9,1,5,4.5+ Contender (Open),ers23nova
Williamsburg Roundnet,5,4,6,4.5+ Contender (Open),ers23nova
55 BURGERS 55 FRIES 55 TACOS 55 PIES,4,4,7,4.5+ Contender (Open),ers23nova
ball of duty,4,4,7,4.5+ Contender (Open),ers23nova
Castores,4,3,9,4.5+ Contender (Open),ers23nova
Maybe this time it’ll be… Different,3,4,9,4.5+ Contender (Open),ers23nova
Bernard/Narayan,5,1,9,4.5+ Contender (Open),ers23nova
River rats,3,3,9,4.5+ Contender (Open),ers23nova
Contender? Hardly know her,3,3,9,4.5+ Contender (Open),ers23nova
Silly Geese,5,1,9,4.5+ Contender (Open),ers23nova
Katz/Felty,4,2,15,4.5+ Contender (Open),ers23nova
Balloon Knots,3,5,15,4.5+ Contender (Open),ers23nova
*Not* Rookie SZN,7,3,17,4.5+ Contender (Open),ers23nova
Electric Sense,4,4,18,4.5+ Contender (Open),ers23nova
Molenheide Munchkins,4,4,19,4.5+ Contender (Open),ers23nova
Quarter Pounder with Cheese,2,6,19,4.5+ Contender (Open),ers23nova
TRP VT B3,3,4,21,4.5+ Contender (Open),ers23nova
Hero Team 32,2,6,21,4.5+ Contender (Open),ers23nova
Celestino/Field,1,6,21,4.5+ Contender (Open),ers23nova
Fjordy boys,4,3,21,4.5+ Contender (Open),ers23nova
Just Daudelin Around,2,6,25,4.5+ Contender (Open),ers23nova
Blue fog,1,5,26,4.5+ Contender (Open),ers23nova
The 410,1,5,26,4.5+ Contender (Open),ers23nova
RoHo,2,4,26,4.5+ Contender (Open),ers23nova
Buckets,1,8,26,4.5+ Contender (Open),ers23nova
Judy Hopps Fans,0,7,30,4.5+ Contender (Open),ers23nova
Sloppy Steaks,1,6,30,4.5+ Contender (Open),ers23nova
TRP Spotless,8,0,1,5.0+ Premier (Open),ers23nova
Bot House,8,1,2,5.0+ Premier (Open),ers23nova
TRP Volley Dawgs,7,1,3,5.0+ Premier (Open),ers23nova
Autonomous,5,4,4,5.0+ Premier (Open),ers23nova
Profit Boost,6,1,5,5.0+ Premier (Open),ers23nova
GFD Shorter & Taller,5,2,5,5.0+ Premier (Open),ers23nova
Frag/Cummings,5,3,5,5.0+ Premier (Open),ers23nova
Jersey Boyz,5,2,5,5.0+ Premier (Open),ers23nova
Eternal Atake,5,2,9,5.0+ Premier (Open),ers23nova
PBR Mikey & Mackey,2,4,9,5.0+ Premier (Open),ers23nova
Homemade Dynamite,4,1,9,5.0+ Premier (Open),ers23nova
Project Roundnet,3,3,9,5.0+ Premier (Open),ers23nova
BD Energy,4,2,9,5.0+ Premier (Open),ers23nova
Chandler is my handler,2,4,9,5.0+ Premier (Open),ers23nova
Boat Carriers,5,2,9,5.0+ Premier (Open),ers23nova
Slapped,2,4,9,5.0+ Premier (Open),ers23nova
Easily Trafficked,3,5,17,5.0+ Premier (Open),ers23nova
Limitless Faith,2,4,18,5.0+ Premier (Open),ers23nova
The Whole Bag,1,5,18,5.0+ Premier (Open),ers23nova
PBR Jared Almon,2,4,18,5.0+ Premier (Open),ers23nova
VBR CeeDeez 💿,2,5,18,5.0+ Premier (Open),ers23nova
GwR Night nighT,2,5,18,5.0+ Premier (Open),ers23nova
CNU Mustard Packets,1,5,23,5.0+ Premier (Open),ers23nova
Nittany Nation,2,5,23,5.0+ Premier (Open),ers23nova
LL Unfinished Business,1,6,25,5.0+ Premier (Open),ers23nova
Martin/Garrett,1,6,25,5.0+ Premier (Open),ers23nova
Tazzmires,0,7,25,5.0+ Premier (Open),ers23nova
Wet Fleece,2,0,1,2.0-3.0 Open Intermediate,ers23nova
Spike It Like It's Hot,1,1,2,2.0-3.0 Open Intermediate,ers23nova
Le Pass Down,1,1,3,2.0-3.0 Open Intermediate,ers23nova
Simply Bad,0,2,4,2.0-3.0 Open Intermediate,ers23nova
