Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
The Slammin' Vandys,Le Pass Down,Round of 16,ers23nova,"[21, 16]","[23, 21]",4.0 Open Advanced
Paul Gobrial,Spike It Like It's Hot,Round of 16,ers23nova,"[21, 21]","[15, 15]",4.0 Open Advanced
Whiff Wizards,Is there dairy in that?,Round of 16,ers23nova,"[0, 0]","[1, 1]",4.0 Open Advanced
Big Time Roundnet,Le Pass Down,Quarter-finals,ers23nova,"[21, 21]","[11, 16]",4.0 Open Advanced
Paul Gobrial,Is there dairy in that?,Quarter-finals,ers23nova,"[21, 18, 15]","[16, 21, 21]",4.0 Open Advanced
Big Time Roundnet,Is there dairy in that?,Semi-finals,ers23nova,"[0, 0]","[1, 1]",4.0 Open Advanced
Big Budis,Wet Fleece,Final,ers23nova,"[21, 25]","[19, 23]",4.0 Open Advanced
Big Budis,Rogo bros,1st place,ers23nova,"[22, 23]","[20, 21]",4.0 Open Advanced
Pho Kings,Wet Fleece,1st place,ers23nova,"[12, 15]","[21, 21]",4.0 Open Advanced
Rogo bros,Sushi Roll,3rd place,ers23nova,"[21, 21]","[16, 18]",4.0 Open Advanced
Pho Kings,Simply Bad,3rd place,ers23nova,"[21, 21]","[14, 9]",4.0 Open Advanced
Wet Fleece,Knights of the Night,3rd place,ers23nova,"[21, 21]","[14, 16]",4.0 Open Advanced
Paul Gobrial,Le Pass Down,P5: Semi-finals,ers23nova,"[15, 23, 21]","[21, 21, 14]",4.0 Open Advanced
Pho Kings,Rogo bros,P5: Final,ers23nova,"[21, 21]","[15, 15]",4.0 Open Advanced
Whiff Wizards,Spike It Like It's Hot,P9: Quarter-finals,ers23nova,"[-2, -2]","[0, 0]",4.0 Open Advanced
The Slammin' Vandys,Spike It Like It's Hot,P9: Semi-finals,ers23nova,"[0, 0]","[1, 1]",4.0 Open Advanced
Sushi Roll,Knights of the Night,P9: Final,ers23nova,"[0, 0]","[2, 2]",4.0 Open Advanced
Knights of the Night,Simply Bad,9th place,ers23nova,"[19, 21, 21]","[21, 14, 11]",4.0 Open Advanced
Electric Sense,ball of duty,Round of 32,ers23nova,"[17, 19]","[21, 21]",4.5+ Contender (Open)
BUTTER,Blue fog,Round of 32,ers23nova,"[1, 1]","[0, 0]",4.5+ Contender (Open)
Fjordy boys,Maybe this time it’ll be… Different,Round of 32,ers23nova,"[19, 17]","[21, 21]",4.5+ Contender (Open)
CRO Jungle Juice,Quarter Pounder with Cheese,Round of 32,ers23nova,"[21, 21]","[14, 18]",4.5+ Contender (Open)
River rats,RoHo,Round of 32,ers23nova,"[1, 0, 1]","[0, 1, 0]",4.5+ Contender (Open)
Williamsburg Roundnet,The 410,Round of 32,ers23nova,"[21, 21]","[9, 7]",4.5+ Contender (Open)
Bernard/Narayan,Celestino/Field,Round of 32,ers23nova,"[21, 21]","[13, 17]",4.5+ Contender (Open)
Katz/Felty,ball of duty,Round of 16,ers23nova,"[23, 19]","[25, 21]",4.5+ Contender (Open)
BUTTER,Maybe this time it’ll be… Different,Round of 16,ers23nova,"[21, 21]","[11, 16]",4.5+ Contender (Open)
CRO Jungle Juice,River rats,Round of 16,ers23nova,"[21, 21]","[9, 15]",4.5+ Contender (Open)
Williamsburg Roundnet,Bernard/Narayan,Round of 16,ers23nova,"[1, 0, 1]","[0, 1, 0]",4.5+ Contender (Open)
ball of duty,BUTTER,Quarter-finals,ers23nova,"[15, 11]","[21, 21]",4.5+ Contender (Open)
CRO Jungle Juice,Williamsburg Roundnet,Quarter-finals,ers23nova,"[17, 21, 21]","[21, 19, 16]",4.5+ Contender (Open)
BUTTER,CRO Jungle Juice,Semi-finals,ers23nova,"[13, 20]","[21, 22]",4.5+ Contender (Open)
silva stokes,Quick Draw,Final,ers23nova,"[16, 21, 18]","[21, 15, 21]",4.5+ Contender (Open)
