Team Name,Wins,Losses,Result,Division,Tournament
Zwaffle everyone,8,0,1,Open Gold/Premier,etsprague2023
Never Cold🌡️,7,1,2,Open Gold/Premier,etsprague2023
Paindrops,7,2,3,Open Gold/Premier,etsprague2023
Rainbow Warriors,5,3,4,Open Gold/Premier,etsprague2023
[SUI] Rimle/Peter,5,4,5,Open Gold/Premier,etsprague2023
Czech this swede,5,3,6,Open Gold/Premier,etsprague2023
Cedric & Julian,5,4,7,Open Gold/Premier,etsprague2023
Stadtaffen,4,5,8,Open Gold/Premier,etsprague2023
RBZ Capri Sons,5,4,9,Open Gold/Premier,etsprague2023
RCB Spikeleeks,5,4,10,Open Gold/Premier,etsprague2023
RCB Drü,6,2,11,Open Gold/Premier,etsprague2023
gLim of POP,3,6,12,Open Gold/Premier,etsprague2023
Double Bang,3,6,13,Open Gold/Premier,etsprague2023
Beeks/Elbourne,5,3,14,Open Gold/Premier,etsprague2023
RCG Powerline,4,4,15,Open Gold/Premier,etsprague2023
nerds in disguise,3,6,16,Open Gold/Premier,etsprague2023
Kuba/Frederik,4,4,17,Open Gold/Premier,etsprague2023
LTTL RNDNT,6,3,18,Open Gold/Premier,etsprague2023
AS TELGRUC,4,4,19,Open Gold/Premier,etsprague2023
Pierre Feuille Victor,3,5,20,Open Gold/Premier,etsprague2023
Tac Tac,3,5,21,Open Gold/Premier,etsprague2023
Sayyed/Gunneson,1,7,22,Open Gold/Premier,etsprague2023
Czecky,1,6,23,Open Gold/Premier,etsprague2023
The untouchable,1,6,23,Open Gold/Premier,etsprague2023
Bürkle/Kandula,0,6,25,Open Gold/Premier,etsprague2023
Willy Wonka,9,1,1,Open Contender,etsprague2023
Boe Jondi,9,1,2,Open Contender,etsprague2023
Serve & Chill,9,1,3,Open Contender,etsprague2023
Ingo Ingo Ingo Ingolstaaadt,7,3,4,Open Contender,etsprague2023
Cheerful Chickens,8,2,5,Open Contender,etsprague2023
P'tits Loups,7,2,6,Open Contender,etsprague2023
die herzige bärtige,8,2,7,Open Contender,etsprague2023
Gemmathi & Let's Jo,7,3,8,Open Contender,etsprague2023
Norlyk/Linnet,8,2,9,Open Contender,etsprague2023
Flatshot,6,4,10,Open Contender,etsprague2023
The Blitz,6,3,11,Open Contender,etsprague2023
"halo, halo, palma?",5,5,12,Open Contender,etsprague2023
Dudine/Zanellato,7,3,13,Open Contender,etsprague2023
RCB Presidenziale,6,4,14,Open Contender,etsprague2023
Toulouse or not Toulouse,5,5,15,Open Contender,etsprague2023
Bonschlonzo,6,4,16,Open Contender,etsprague2023
Spikeghetti,8,2,17,Open Contender,etsprague2023
Uncle Pear,6,4,18,Open Contender,etsprague2023
Imbm & Pimpampel,7,3,19,Open Contender,etsprague2023
Avatar: The Last Boomballer,5,5,20,Open Contender,etsprague2023
Will call high above knees,5,5,21,Open Contender,etsprague2023
Gilmore/Pang,6,4,22,Open Contender,etsprague2023
Golden Derby,4,6,23,Open Contender,etsprague2023
R-UNIT,3,7,24,Open Contender,etsprague2023
Spike me daddy,7,3,25,Open Contender,etsprague2023
Hareilim,5,5,26,Open Contender,etsprague2023
BreakAUD,5,5,27,Open Contender,etsprague2023
Mattia Marco,3,6,28,Open Contender,etsprague2023
Boomball only,3,6,29,Open Contender,etsprague2023
Incrediballers,3,5,30,Open Contender,etsprague2023
"LSF ""Sensei""",4,4,30,Open Contender,etsprague2023
To Ps Announced,2,7,30,Open Contender,etsprague2023
RBZ Article 14,5,4,33,Open Contender,etsprague2023
The Healthies,4,4,33,Open Contender,etsprague2023
It's Called Soccer,4,6,35,Open Contender,etsprague2023
ultra Instinct,4,5,36,Open Contender,etsprague2023
RBZ Tocco Italiano,4,5,37,Open Contender,etsprague2023
Dodecaphonicals,3,6,38,Open Contender,etsprague2023
Rage Cage,3,7,39,Open Contender,etsprague2023
(RS) Szymański / Frydrych,2,6,40,Open Contender,etsprague2023
Magister's task,4,4,41,Open Contender,etsprague2023
The Rim Callers,2,6,42,Open Contender,etsprague2023
RCG Weak Circle,1,5,42,Open Contender,etsprague2023
Aura Effect,2,5,42,Open Contender,etsprague2023
RD PaulJaner,2,6,42,Open Contender,etsprague2023
Wolves Gang,2,6,46,Open Contender,etsprague2023
RCZ Terradillos Rahm,1,6,46,Open Contender,etsprague2023
Shir&Sendik,2,6,46,Open Contender,etsprague2023
Fajitas,3,5,49,Open Contender,etsprague2023
pimpelprague,2,6,50,Open Contender,etsprague2023
Flames🔥,2,6,51,Open Contender,etsprague2023
SHK Leftovers,0,8,52,Open Contender,etsprague2023
"Change later, Hope we can",0,7,53,Open Contender,etsprague2023
Y-Pad,9,0,1,Open Advanced,etsprague2023
Push&Puller,8,1,2,Open Advanced,etsprague2023
Tinklininkai,8,2,3,Open Advanced,etsprague2023
Rimsalabim,6,4,4,Open Advanced,etsprague2023
SilverBackServers,7,3,5,Open Advanced,etsprague2023
Met een zetje in het netje,6,4,6,Open Advanced,etsprague2023
Team Anderthal,3,6,7,Open Advanced,etsprague2023
Cactus spikers 🌵,3,6,7,Open Advanced,etsprague2023
Gorillas 🦍,7,3,9,Open Advanced,etsprague2023
RU Sonics 🦔,3,7,10,Open Advanced,etsprague2023
Leapin' Llamas!,3,6,11,Open Advanced,etsprague2023
I BoBz,2,7,12,Open Advanced,etsprague2023
Bacon and Bean,1,8,13,Open Advanced,etsprague2023
POL RS,0,9,14,Open Advanced,etsprague2023
towerful,8,0,1,Women's Advanced,etsprague2023
tiramisu,7,2,2,Women's Advanced,etsprague2023
Inès and Julia,7,1,3,Women's Advanced,etsprague2023
Curly Fries,6,2,4,Women's Advanced,etsprague2023
Okie Dokie,7,1,5,Women's Advanced,etsprague2023
Haie in Lederhosn,6,3,6,Women's Advanced,etsprague2023
ruj,5,3,7,Women's Advanced,etsprague2023
Vertigo,4,4,8,Women's Advanced,etsprague2023
Sbecca Lecca,6,3,9,Women's Advanced,etsprague2023
Butter Set,5,4,10,Women's Advanced,etsprague2023
Bad-ball,4,5,11,Women's Advanced,etsprague2023
ITA- Berlanda/Orlandini,4,5,12,Women's Advanced,etsprague2023
Las Marias,5,4,13,Women's Advanced,etsprague2023
