Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
The untouchable,[SUI] Rimle/Peter,Round of 32,etsprague2023,"[15, 18]","[21, 21]",Open Gold/Premier
LTTL RNDNT,Double Bang,Round of 32,etsprague2023,"[19, 23]","[21, 25]",Open Gold/Premier
Paindrops,Bürkle/Kandula,Round of 32,etsprague2023,"[1, 1]","[0, 0]",Open Gold/Premier
AS TELGRUC,RBZ Capri Sons,Round of 32,etsprague2023,"[19, 21, 18]","[21, 19, 21]",Open Gold/Premier
Cedric & Julian,Tac Tac,Round of 32,etsprague2023,"[21, 21]","[16, 9]",Open Gold/Premier
RCB Drü,[SUI] Rimle/Peter,Round of 16,etsprague2023,"[18, 19]","[21, 21]",Open Gold/Premier
Double Bang,Paindrops,Round of 16,etsprague2023,"[14, 13]","[21, 21]",Open Gold/Premier
Never Cold🌡️,RBZ Capri Sons,Round of 16,etsprague2023,"[21, 21]","[18, 17]",Open Gold/Premier
Cedric & Julian,RCG Powerline,Round of 16,etsprague2023,"[29, 21]","[27, 19]",Open Gold/Premier
[SUI] Rimle/Peter,Paindrops,Quarter-finals,etsprague2023,"[26, 17]","[28, 21]",Open Gold/Premier
Never Cold🌡️,Cedric & Julian,Quarter-finals,etsprague2023,"[21, 22, 21]","[19, 24, 18]",Open Gold/Premier
Paindrops,Never Cold🌡️,Semi-finals,etsprague2023,"[17, 16]","[21, 21]",Open Gold/Premier
Zwaffle everyone,Rainbow Warriors,Final,etsprague2023,"[21, 25, 21]","[19, 27, 19]",Open Gold/Premier
Zwaffle everyone,Czech this swede,1st place,etsprague2023,"[21, 17, 21]","[16, 21, 15]",Open Gold/Premier
Stadtaffen,Rainbow Warriors,1st place,etsprague2023,"[21, 29, 33]","[19, 31, 35]",Open Gold/Premier
Zwaffle everyone,gLim of POP,3rd place,etsprague2023,"[21, 21]","[14, 19]",Open Gold/Premier
nerds in disguise,Czech this swede,3rd place,etsprague2023,"[21, 18, 20]","[19, 21, 22]",Open Gold/Premier
Beeks/Elbourne,Stadtaffen,3rd place,etsprague2023,"[19, 13]","[21, 21]",Open Gold/Premier
RCB Spikeleeks,Rainbow Warriors,3rd place,etsprague2023,"[18, 16]","[21, 21]",Open Gold/Premier
