Team Name,Wins,Losses,Result,Division,Tournament
Kingdom Come,7,1,1,Premier 5.0,heatwavevi
TRP Sauucy,7,2,2,Premier 5.0,heatwavevi
HM01,7,2,3,Premier 5.0,heatwavevi
Second Bullet,6,3,4,Premier 5.0,heatwavevi
Lazy,5,2,5,Premier 5.0,heatwavevi
Cerebral Drizzle,4,2,5,Premier 5.0,heatwavevi
Kyan Pepper,5,2,5,Premier 5.0,heatwavevi
Serveball Semites,5,2,5,Premier 5.0,heatwavevi
Pocket Aces,3,5,9,Premier 5.0,heatwavevi
Fringe premier,1,4,9,Premier 5.0,heatwavevi
PROUD FATHERS,1,4,9,Premier 5.0,heatwavevi
Quality Service,2,3,9,Premier 5.0,heatwavevi
Buzzer Beaters,1,6,9,Premier 5.0,heatwavevi
Let’s go golfing,3,5,9,Premier 5.0,heatwavevi
BenDu Over,1,6,9,Premier 5.0,heatwavevi
Watermelon,2,5,9,Premier 5.0,heatwavevi
PORKCHOP,0,6,17,Premier 5.0,heatwavevi
To be decided,9,0,1,Contender 4.5,heatwavevi
Horns Down,7,2,2,Contender 4.5,heatwavevi
Lemme Cook,5,4,3,Contender 4.5,heatwavevi
Kibby Tipps,5,4,4,Contender 4.5,heatwavevi
Just Alright,4,2,5,Contender 4.5,heatwavevi
Let Him Cook 👨‍🍳,5,1,5,Contender 4.5,heatwavevi
Hot head🤬,3,3,5,Contender 4.5,heatwavevi
Rice Cakes,5,1,5,Contender 4.5,heatwavevi
Hash Slinging Slashers,2,3,9,Contender 4.5,heatwavevi
dirtybills,0,5,9,Contender 4.5,heatwavevi
AP spikeball,1,4,9,Contender 4.5,heatwavevi
Quick Shift,1,5,9,Contender 4.5,heatwavevi
Over the Hedge,1,4,9,Contender 4.5,heatwavevi
joro,1,4,9,Contender 4.5,heatwavevi
GTC,2,3,9,Contender 4.5,heatwavevi
Wobble Bobble Boys,0,6,9,Contender 4.5,heatwavevi
Underserved,10,0,1,Advanced 4.0,heatwavevi
Schlö boys,8,2,2,Advanced 4.0,heatwavevi
Short Shawties,6,4,3,Advanced 4.0,heatwavevi
The BrOreos,6,4,4,Advanced 4.0,heatwavevi
Bing Chilling,2,6,5,Advanced 4.0,heatwavevi
OSM,1,7,5,Advanced 4.0,heatwavevi
Bachelor Bros,3,5,5,Advanced 4.0,heatwavevi
AMOGUS,0,8,5,Advanced 4.0,heatwavevi
Pocket Monsters,4,1,1,Women's 4.0,heatwavevi
Lydia/Raylyn,3,2,2,Women's 4.0,heatwavevi
caprisun kids,2,2,3,Women's 4.0,heatwavevi
sus kids,0,4,0,Women's 4.0,heatwavevi
Little Bear,0,0,0,Co-Ed,heatwavevi
