Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
PORKCHOP,Buzzer Beaters,Round of 32,heatwavevi,"[0, 0]","[1, 1]",Premier 5.0
TRP Sauucy,Buzzer Beaters,Round of 16,heatwavevi,"[21, 21]","[13, 16]",Premier 5.0
Quality Service,Cerebral Drizzle,Round of 16,heatwavevi,"[17, 21, 14]","[21, 16, 21]",Premier 5.0
Lazy,PROUD FATHERS,Round of 16,heatwavevi,"[21, 19, 21]","[17, 21, 16]",Premier 5.0
Fringe premier,Second Bullet,Round of 16,heatwavevi,"[15, 18]","[21, 21]",Premier 5.0
TRP Sauucy,Cerebral Drizzle,Quarter-finals,heatwavevi,"[21, 21]","[16, 15]",Premier 5.0
Lazy,Second Bullet,Quarter-finals,heatwavevi,"[19, 21]","[21, 23]",Premier 5.0
TRP Sauucy,Second Bullet,Semi-finals,heatwavevi,"[21, 28]","[16, 26]",Premier 5.0
HM01,Kingdom Come,Final,heatwavevi,"[15, 21, 18]","[21, 17, 21]",Premier 5.0
HM01,Serveball Semites,1st place,heatwavevi,"[21, 21]","[19, 18]",Premier 5.0
Kingdom Come,Kyan Pepper,1st place,heatwavevi,"[21, 21]","[17, 16]",Premier 5.0
HM01,Pocket Aces,3rd place,heatwavevi,"[21, 21]","[16, 16]",Premier 5.0
Watermelon,Serveball Semites,3rd place,heatwavevi,"[16, 16]","[21, 21]",Premier 5.0
Kingdom Come,BenDu Over,3rd place,heatwavevi,"[21, 21]","[14, 17]",Premier 5.0
Let’s go golfing,Kyan Pepper,3rd place,heatwavevi,"[13, 20]","[21, 22]",Premier 5.0
Lazy,Cerebral Drizzle,P5: Semi-finals,heatwavevi,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0
Kyan Pepper,Serveball Semites,P5: Final,heatwavevi,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0
Quality Service,Buzzer Beaters,P9: Quarter-finals,heatwavevi,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0
Fringe premier,PROUD FATHERS,P9: Quarter-finals,heatwavevi,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0
Pocket Aces,Let’s go golfing,P9: Final,heatwavevi,"[1, 1]","[0, 0]",Premier 5.0
Watermelon,Pocket Aces,9th place,heatwavevi,"[-1, -1]","[0, 0]",Premier 5.0
Let’s go golfing,BenDu Over,9th place,heatwavevi,"[0, 0]","[-1, -1]",Premier 5.0
BenDu Over,Watermelon,P13: Final,heatwavevi,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0
Let Him Cook 👨‍🍳,Wobble Bobble Boys,Round of 16,heatwavevi,"[21, 21]","[17, 17]",Contender 4.5
GTC,Kibby Tipps,Round of 16,heatwavevi,"[19, 16]","[21, 21]",Contender 4.5
Just Alright,joro,Round of 16,heatwavevi,"[21, 26]","[15, 24]",Contender 4.5
Horns Down,Over the Hedge,Round of 16,heatwavevi,"[21, 1]","[13, 0]",Contender 4.5
Let Him Cook 👨‍🍳,Kibby Tipps,Quarter-finals,heatwavevi,"[0, 0]","[1, 1]",Contender 4.5
Just Alright,Horns Down,Quarter-finals,heatwavevi,"[19, 17]","[21, 21]",Contender 4.5
Kibby Tipps,Horns Down,Semi-finals,heatwavevi,"[0, 0]","[1, 1]",Contender 4.5
Lemme Cook,To be decided,Final,heatwavevi,"[0, 0]","[1, 1]",Contender 4.5
Rice Cakes,Lemme Cook,1st place,heatwavevi,"[0, 0]","[1, 1]",Contender 4.5
To be decided,Hot head🤬,1st place,heatwavevi,"[1, 1]","[0, 0]",Contender 4.5
Rice Cakes,dirtybills,3rd place,heatwavevi,"[21, 21]","[14, 14]",Contender 4.5
Hash Slinging Slashers,Lemme Cook,3rd place,heatwavevi,"[21, 19, 17]","[19, 21, 21]",Contender 4.5
To be decided,Quick Shift,3rd place,heatwavevi,"[21, 21]","[15, 17]",Contender 4.5
Hot head🤬,AP spikeball,3rd place,heatwavevi,"[21, 1]","[15, 0]",Contender 4.5
Just Alright,Let Him Cook 👨‍🍳,P5: Semi-finals,heatwavevi,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5
Hot head🤬,Rice Cakes,P5: Final,heatwavevi,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5
GTC,Wobble Bobble Boys,P9: Quarter-finals,heatwavevi,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5
Over the Hedge,joro,P9: Quarter-finals,heatwavevi,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5
Hash Slinging Slashers,dirtybills,9th place,heatwavevi,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5
AP spikeball,Quick Shift,9th place,heatwavevi,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5
Underserved,AMOGUS,Quarter-finals,heatwavevi,"[21, 21]","[8, 10]",Advanced 4.0
Short Shawties,Bachelor Bros,Quarter-finals,heatwavevi,"[21, 21]","[19, 19]",Advanced 4.0
Underserved,Short Shawties,Semi-finals,heatwavevi,"[21, 21]","[7, 14]",Advanced 4.0
Schlö boys,The BrOreos,Final,heatwavevi,"[21, 21]","[10, 11]",Advanced 4.0
Schlö boys,OSM,1st place,heatwavevi,"[21, 21]","[8, 11]",Advanced 4.0
The BrOreos,Bing Chilling,1st place,heatwavevi,"[21, 21]","[17, 15]",Advanced 4.0
Bachelor Bros,AMOGUS,P5: Semi-finals,heatwavevi,"[-1, -1, -1]","[-1, -1, -1]",Advanced 4.0
Bing Chilling,OSM,P5: Final,heatwavevi,"[-1, -1, -1]","[-1, -1, -1]",Advanced 4.0
Bachelor Bros,AMOGUS,P5: Semi-finals,heatwavevi,"[-1, -1, -1]","[-1, -1, -1]",Advanced 4.0
Bing Chilling,OSM,P5: Final,heatwavevi,"[-1, -1, -1]","[-1, -1, -1]",Advanced 4.0
