Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Dad and Sun,Pruett/Bingham,Round of 32,long-island-classic-2023,"[21, 28, 33]","[23, 26, 31]",Premier (5.0+)
PBR Pickle Boys,Jake & Charles,Round of 32,long-island-classic-2023,"[19, 21, 18]","[21, 12, 21]",Premier (5.0+)
Project Roundnet,LL Rookies,Round of 32,long-island-classic-2023,"[21, 21]","[16, 16]",Premier (5.0+)
True,Pocket Rockets,Round of 32,long-island-classic-2023,"[21, 17, 20]","[12, 21, 22]",Premier (5.0+)
Fernandez/Kornfeld,Pickle Juice,Round of 32,long-island-classic-2023,"[21, 17, 21]","[17, 21, 15]",Premier (5.0+)
RVA Spike,Dad and Sun,Round of 16,long-island-classic-2023,"[21, 21]","[18, 12]",Premier (5.0+)
Jake & Charles,Project Roundnet,Round of 16,long-island-classic-2023,"[19, 16]","[21, 21]",Premier (5.0+)
Sweet Nothings,Pocket Rockets,Round of 16,long-island-classic-2023,"[23, 21]","[21, 10]",Premier (5.0+)
Fernandez/Kornfeld,White Lotus Roundnet,Round of 16,long-island-classic-2023,"[21, 21]","[14, 19]",Premier (5.0+)
RVA Spike,Project Roundnet,Quarter-finals,long-island-classic-2023,"[16, 21, 21]","[21, 13, 16]",Premier (5.0+)
Sweet Nothings,Fernandez/Kornfeld,Quarter-finals,long-island-classic-2023,"[21, 21]","[17, 17]",Premier (5.0+)
RVA Spike,Sweet Nothings,Semi-finals,long-island-classic-2023,"[28, 21]","[26, 19]",Premier (5.0+)
Guachos,M. Model / R. Santiago,Final,long-island-classic-2023,"[21, 21]","[16, 18]",Premier (5.0+)
Lazy Bots,Guachos,1st place,long-island-classic-2023,"[21, 19, 19]","[15, 21, 21]",Premier (5.0+)
Jersey Boyz,M. Model / R. Santiago,1st place,long-island-classic-2023,"[21, 22, 17]","[18, 24, 21]",Premier (5.0+)
Lazy Bots,We Serve,3rd place,long-island-classic-2023,"[21, 21]","[10, 11]",Premier (5.0+)
Goodnow/Ulrich,Guachos,3rd place,long-island-classic-2023,"[15, 15]","[21, 21]",Premier (5.0+)
Jersey Boyz,Driver’s License,3rd place,long-island-classic-2023,"[23, 21]","[21, 15]",Premier (5.0+)
Endurance,M. Model / R. Santiago,3rd place,long-island-classic-2023,"[12, 12]","[21, 21]",Premier (5.0+)
We Serve,Rowland’Sweeney,Semi-finals,long-island-classic-2023,"[21, 21]","[18, 16]",Premier (5.0+)
Free On Mach,Goodnow/Ulrich,Semi-finals,long-island-classic-2023,"[17, 17]","[21, 21]",Premier (5.0+)
Guachos,PBR ELBROS,Semi-finals,long-island-classic-2023,"[21, 21]","[12, 16]",Premier (5.0+)
Dummy wide son,Driver’s License,Semi-finals,long-island-classic-2023,"[18, 20]","[21, 22]",Premier (5.0+)
