Team Name,Wins,Losses,Result,Division,Tournament
Rogue,11,0,1,Premier 5.0+,philadelphia2023
Critical Hit,8,3,2,Premier 5.0+,philadelphia2023
Judgment Day,10,1,3,Premier 5.0+,philadelphia2023
TRP Spotless,7,4,4,Premier 5.0+,philadelphia2023
Bot House,8,1,5,Premier 5.0+,philadelphia2023
Mermaid Sparkle,5,4,5,Premier 5.0+,philadelphia2023
Bad Combo,7,2,5,Premier 5.0+,philadelphia2023
Kingdom Come,5,4,5,Premier 5.0+,philadelphia2023
Hilltop,5,4,9,Premier 5.0+,philadelphia2023
Profit Boost,3,6,9,Premier 5.0+,philadelphia2023
MIDDS,5,4,9,Premier 5.0+,philadelphia2023
GFD Evasive Maneuvers,8,1,9,Premier 5.0+,philadelphia2023
Boat Carriers,3,6,13,Premier 5.0+,philadelphia2023
Cigar Boys,1,8,13,Premier 5.0+,philadelphia2023
Eternal Atake,7,2,13,Premier 5.0+,philadelphia2023
CRO Fall Damage,7,2,13,Premier 5.0+,philadelphia2023
Project Roundnet,6,2,17,Premier 5.0+,philadelphia2023
Meateerballs,7,1,17,Premier 5.0+,philadelphia2023
Hot n Ready,6,2,17,Premier 5.0+,philadelphia2023
Autonomous,5,3,17,Premier 5.0+,philadelphia2023
Pantalons de pyj,1,7,17,Premier 5.0+,philadelphia2023
Duncan and Aidan,6,2,17,Premier 5.0+,philadelphia2023
GFD Shorter & Taller,5,3,17,Premier 5.0+,philadelphia2023
Homemade Dynamite,7,1,17,Premier 5.0+,philadelphia2023
The Prince,6,2,25,Premier 5.0+,philadelphia2023
What’s cooking good looking,6,2,25,Premier 5.0+,philadelphia2023
TRP Mammoth,1,7,25,Premier 5.0+,philadelphia2023
Limitless Faith,4,4,25,Premier 5.0+,philadelphia2023
Tube Steaks,1,7,25,Premier 5.0+,philadelphia2023
Meatballs,5,3,25,Premier 5.0+,philadelphia2023
Sunday Special,4,4,25,Premier 5.0+,philadelphia2023
Lazy,5,3,25,Premier 5.0+,philadelphia2023
True,9,2,33,Premier 5.0+,philadelphia2023
Asioneer,7,4,34,Premier 5.0+,philadelphia2023
Butter Me Up,4,7,35,Premier 5.0+,philadelphia2023
ya tu sabe,4,7,36,Premier 5.0+,philadelphia2023
Death by a Thousand Cuts,4,5,37,Premier 5.0+,philadelphia2023
Rimi Olimpiskais,5,4,37,Premier 5.0+,philadelphia2023
Jelly,6,3,37,Premier 5.0+,philadelphia2023
Gnarly,4,5,37,Premier 5.0+,philadelphia2023
Nelson Mattdela,2,6,41,Premier 5.0+,philadelphia2023
Wills/Wilson,3,5,41,Premier 5.0+,philadelphia2023
Handsome Man Fans,4,4,41,Premier 5.0+,philadelphia2023
Fa(s)t 🧌,3,5,41,Premier 5.0+,philadelphia2023
Global Citizens,4,4,41,Premier 5.0+,philadelphia2023
CRO Weather Nerfed,1,7,41,Premier 5.0+,philadelphia2023
Might Not Show,2,6,41,Premier 5.0+,philadelphia2023
Bev’d Up,3,5,41,Premier 5.0+,philadelphia2023
Buchanan/Dantowitz,3,4,49,Premier 5.0+,philadelphia2023
Quick Draw,3,4,49,Premier 5.0+,philadelphia2023
Ricky & Charles,1,6,49,Premier 5.0+,philadelphia2023
Water Boiz,1,6,49,Premier 5.0+,philadelphia2023
Yucky Duckies,1,6,49,Premier 5.0+,philadelphia2023
PBR Sleepy in Seattle,1,6,49,Premier 5.0+,philadelphia2023
CRO Reverse Funnel,2,5,49,Premier 5.0+,philadelphia2023
Come and Go,4,3,49,Premier 5.0+,philadelphia2023
Carter/Ulrich,1,6,49,Premier 5.0+,philadelphia2023
MLR Nardo Wicks,3,4,49,Premier 5.0+,philadelphia2023
High on Spike,1,6,49,Premier 5.0+,philadelphia2023
LL Unfinished Business,0,7,49,Premier 5.0+,philadelphia2023
The 64th Team,2,5,49,Premier 5.0+,philadelphia2023
Jersey Boyz,4,3,49,Premier 5.0+,philadelphia2023
Nittany Nation,1,6,49,Premier 5.0+,philadelphia2023
Do2,0,7,49,Premier 5.0+,philadelphia2023
VV Munchkins,7,3,1,Women's Advanced 4.0+,philadelphia2023
Royalty,9,1,2,Women's Advanced 4.0+,philadelphia2023
angst,5,5,3,Women's Advanced 4.0+,philadelphia2023
Tea Time,3,7,4,Women's Advanced 4.0+,philadelphia2023
Phan/Raber,7,1,5,Women's Advanced 4.0+,philadelphia2023
THE BOYS,6,2,5,Women's Advanced 4.0+,philadelphia2023
Ruach,7,1,5,Women's Advanced 4.0+,philadelphia2023
Space Monkeys 🚀🐒,5,3,5,Women's Advanced 4.0+,philadelphia2023
Sharing is Caring,6,2,9,Women's Advanced 4.0+,philadelphia2023
Blind Date,3,5,9,Women's Advanced 4.0+,philadelphia2023
Loopy Juice,5,3,9,Women's Advanced 4.0+,philadelphia2023
Your Mom,0,7,12,Women's Advanced 4.0+,philadelphia2023
:-D,2,5,12,Women's Advanced 4.0+,philadelphia2023
Cheesin,0,8,14,Women's Advanced 4.0+,philadelphia2023
Tessa & Lyd,2,6,14,Women's Advanced 4.0+,philadelphia2023
Juice,0,8,14,Women's Advanced 4.0+,philadelphia2023
Let's Eat,10,0,1,Contender 4.5+,philadelphia2023
Low Blows,8,2,2,Contender 4.5+,philadelphia2023
W'S ONLY,9,1,3,Contender 4.5+,philadelphia2023
Fried Pork,8,2,4,Contender 4.5+,philadelphia2023
Old Hope,7,2,5,Contender 4.5+,philadelphia2023
Wild Westchester Sharpshooters,8,1,5,Contender 4.5+,philadelphia2023
elo hell,7,2,7,Contender 4.5+,philadelphia2023
Falck - Drew,5,4,7,Contender 4.5+,philadelphia2023
D1 A Squad,4,3,9,Contender 4.5+,philadelphia2023
Body Shots,5,2,9,Contender 4.5+,philadelphia2023
Contender? Hardly know her,5,2,9,Contender 4.5+,philadelphia2023
Home Field Advantage,5,2,9,Contender 4.5+,philadelphia2023
Under 200,6,1,9,Contender 4.5+,philadelphia2023
Gauntlet,5,2,9,Contender 4.5+,philadelphia2023
Slam squad,4,3,9,Contender 4.5+,philadelphia2023
Shrute farms,5,2,9,Contender 4.5+,philadelphia2023
icedT,4,3,17,Contender 4.5+,philadelphia2023
Cold Cuts 🥶,4,3,17,Contender 4.5+,philadelphia2023
Ligma Lemons,5,2,17,Contender 4.5+,philadelphia2023
Buchanan/Wallace,3,3,17,Contender 4.5+,philadelphia2023
TRP VT B3,3,3,17,Contender 4.5+,philadelphia2023
Caniac Combo,3,3,17,Contender 4.5+,philadelphia2023
Hokie Spikes,3,3,17,Contender 4.5+,philadelphia2023
The Golden Horde,3,3,17,Contender 4.5+,philadelphia2023
Happy Heffalumps,4,2,17,Contender 4.5+,philadelphia2023
Fresh Cuts,5,1,17,Contender 4.5+,philadelphia2023
55 BURGERS 55 FRIES 55 TACOS 55 PIES,4,2,17,Contender 4.5+,philadelphia2023
Spikeburgh,4,3,17,Contender 4.5+,philadelphia2023
Cooked,5,2,17,Contender 4.5+,philadelphia2023
Gabay/Narayan,3,4,17,Contender 4.5+,philadelphia2023
Kleenex Box,4,3,17,Contender 4.5+,philadelphia2023
Poo no Pee,3,4,17,Contender 4.5+,philadelphia2023
Lunge Damage,6,3,33,Contender 4.5+,philadelphia2023
Twin Towers,6,4,34,Contender 4.5+,philadelphia2023
My 600lbs Life,4,4,35,Contender 4.5+,philadelphia2023
Hali Boys,5,4,35,Contender 4.5+,philadelphia2023
Harold and Kumar,3,5,37,Contender 4.5+,philadelphia2023
peanut,3,5,37,Contender 4.5+,philadelphia2023
Wacky,3,5,37,Contender 4.5+,philadelphia2023
Gimme Dat,3,5,37,Contender 4.5+,philadelphia2023
Electric Sense,4,5,41,Contender 4.5+,philadelphia2023
Balloon Knots,3,4,42,Contender 4.5+,philadelphia2023
The Boys,2,5,42,Contender 4.5+,philadelphia2023
Tidal Wave,2,5,42,Contender 4.5+,philadelphia2023
Thunder Buddies,2,4,42,Contender 4.5+,philadelphia2023
Keener’s Presidential Cabinet,3,5,42,Contender 4.5+,philadelphia2023
Bread Winners,2,6,47,Contender 4.5+,philadelphia2023
Z&B,2,6,47,Contender 4.5+,philadelphia2023
New England Hikers,1,5,49,Contender 4.5+,philadelphia2023
Chaos Wizards,1,5,49,Contender 4.5+,philadelphia2023
Put It in My Hand,1,5,49,Contender 4.5+,philadelphia2023
2 Blue 2 Fog,1,5,49,Contender 4.5+,philadelphia2023
Falcon Filet,0,6,49,Contender 4.5+,philadelphia2023
American Gorilla,0,6,49,Contender 4.5+,philadelphia2023
Spike Ballaz,0,6,49,Contender 4.5+,philadelphia2023
Lunchtime Hustlers,0,6,49,Contender 4.5+,philadelphia2023
Ball Fondlers,0,6,49,Contender 4.5+,philadelphia2023
FHA loners,0,6,49,Contender 4.5+,philadelphia2023
Jesus is King,0,6,49,Contender 4.5+,philadelphia2023
Pocket Rockets,0,6,49,Contender 4.5+,philadelphia2023
3 Nuts,1,6,0,Advanced 4.0,philadelphia2023
5am Homies,8,0,0,Advanced 4.0,philadelphia2023
Block Party,0,5,0,Advanced 4.0,philadelphia2023
Dongers,7,1,0,Advanced 4.0,philadelphia2023
Drexel Digs,5,3,0,Advanced 4.0,philadelphia2023
Electric cake,5,2,0,Advanced 4.0,philadelphia2023
Elegant Aces - Siena,3,5,0,Advanced 4.0,philadelphia2023
Front Pocket,4,3,0,Advanced 4.0,philadelphia2023
Golden Dragons,4,3,0,Advanced 4.0,philadelphia2023
It Has Pockets!,1,5,0,Advanced 4.0,philadelphia2023
Knights of the Roundnet (Siena),6,2,0,Advanced 4.0,philadelphia2023
Low Expectations,4,2,0,Advanced 4.0,philadelphia2023
MBR Hope,0,6,0,Advanced 4.0,philadelphia2023
More Chune,2,3,0,Advanced 4.0,philadelphia2023
Pickleball Plattinum,5,1,0,Advanced 4.0,philadelphia2023
Pulchritudinous Callipygians,7,1,0,Advanced 4.0,philadelphia2023
Receive These Balls,4,2,0,Advanced 4.0,philadelphia2023
RitalinLover_02,1,4,0,Advanced 4.0,philadelphia2023
Shanghai Sharks - Siena,2,5,0,Advanced 4.0,philadelphia2023
Soft Clutch,1,6,0,Advanced 4.0,philadelphia2023
Spikebool,3,3,0,Advanced 4.0,philadelphia2023
Spikological Warfare,4,2,0,Advanced 4.0,philadelphia2023
Sunday Spikes,1,4,0,Advanced 4.0,philadelphia2023
THE GOOBERS,1,5,0,Advanced 4.0,philadelphia2023
The Untouchaballs,3,3,0,Advanced 4.0,philadelphia2023
Spikalogians,8,0,1,Intermediate 3.0,philadelphia2023
Scandinavian Salmon,7,1,2,Intermediate 3.0,philadelphia2023
Gaels II,7,1,3,Intermediate 3.0,philadelphia2023
Super Smash Bros,6,2,4,Intermediate 3.0,philadelphia2023
The Viper,6,1,5,Intermediate 3.0,philadelphia2023
Baguette Gang,5,2,5,Intermediate 3.0,philadelphia2023
Counter Spike,6,3,5,Intermediate 3.0,philadelphia2023
Large Hossery,4,4,5,Intermediate 3.0,philadelphia2023
Alpha and Omega,6,3,9,Intermediate 3.0,philadelphia2023
(Insert Team Name Here),5,4,10,Intermediate 3.0,philadelphia2023
Gaels III,3,6,11,Intermediate 3.0,philadelphia2023
Suckulents,4,5,12,Intermediate 3.0,philadelphia2023
Gaels I,3,4,13,Intermediate 3.0,philadelphia2023
"2 girls, 1 net",3,4,13,Intermediate 3.0,philadelphia2023
Vienna Mustangs,3,4,13,Intermediate 3.0,philadelphia2023
Ball Handlers,2,5,13,Intermediate 3.0,philadelphia2023
Beamer Ball,3,4,17,Intermediate 3.0,philadelphia2023
Spikey spikey,3,4,17,Intermediate 3.0,philadelphia2023
Swingers,4,4,19,Intermediate 3.0,philadelphia2023
Swifties,1,7,20,Intermediate 3.0,philadelphia2023
Doodle Bob,2,5,21,Intermediate 3.0,philadelphia2023
Wasted Talent,2,4,22,Intermediate 3.0,philadelphia2023
Whitty n Kiddy,1,5,22,Intermediate 3.0,philadelphia2023
4TheKing,1,7,22,Intermediate 3.0,philadelphia2023
Sauce,0,6,25,Intermediate 3.0,philadelphia2023
"Gabraham Lincoln, Nebraska",9,1,1,Mixed Advanced 4.0+,philadelphia2023
TRP subtle,7,1,2,Mixed Advanced 4.0+,philadelphia2023
Woopsie Doopsie,6,2,3,Mixed Advanced 4.0+,philadelphia2023
Golden Hour,5,3,4,Mixed Advanced 4.0+,philadelphia2023
Hinkle/Pierson,5,1,5,Mixed Advanced 4.0+,philadelphia2023
Rogue Monkeys 🥷🏻🐒,6,2,5,Mixed Advanced 4.0+,philadelphia2023
GFD supporters,4,3,5,Mixed Advanced 4.0+,philadelphia2023
Little Bear,5,1,5,Mixed Advanced 4.0+,philadelphia2023
My Shiny Teeth and Me,3,3,9,Mixed Advanced 4.0+,philadelphia2023
Yellow Ball Fever,4,1,9,Mixed Advanced 4.0+,philadelphia2023
Princess,3,3,9,Mixed Advanced 4.0+,philadelphia2023
piggyback 🐷,3,3,9,Mixed Advanced 4.0+,philadelphia2023
Living Water,3,3,9,Mixed Advanced 4.0+,philadelphia2023
Avec Dream,2,4,9,Mixed Advanced 4.0+,philadelphia2023
Lazy Links,4,2,9,Mixed Advanced 4.0+,philadelphia2023
BraChill,3,4,9,Mixed Advanced 4.0+,philadelphia2023
Giraffelant,2,4,17,Mixed Advanced 4.0+,philadelphia2023
Jumbo Shrimp,4,3,17,Mixed Advanced 4.0+,philadelphia2023
nice shwing,1,4,17,Mixed Advanced 4.0+,philadelphia2023
Breakup Sets,1,4,17,Mixed Advanced 4.0+,philadelphia2023
FlawLyss Touches,1,5,17,Mixed Advanced 4.0+,philadelphia2023
LMT,1,5,17,Mixed Advanced 4.0+,philadelphia2023
smoooth ice,0,5,17,Mixed Advanced 4.0+,philadelphia2023
Dreckspatzen,1,5,17,Mixed Advanced 4.0+,philadelphia2023
Connor and Kate,1,6,17,Mixed Advanced 4.0+,philadelphia2023
Wet Noodles,0,6,17,Mixed Advanced 4.0+,philadelphia2023
Tank,6,1,1,Mixed Intermediate 2.0-3.0,philadelphia2023
