Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Bavaria meets Texas,LTTL RNDNT,Round of 32,stockholm,"[14, 24]","[21, 26]",Open Gold/Premier
Hokus Boom,Babbel Boys,Round of 32,stockholm,"[9, 0]","[13, 1]",Open Gold/Premier
Eisenträger/Siemer,LTTL RNDNT,Round of 16,stockholm,"[21, 21]","[19, 13]",Open Gold/Premier
Machine slayers,TWO SWEDES,Round of 16,stockholm,"[22, 19, 21]","[20, 21, 19]",Open Gold/Premier
Mathieu/Pilon,Babbel Boys,Round of 16,stockholm,"[21, 21]","[14, 12]",Open Gold/Premier
Roundnet Orléans,Serve Boomers,Round of 16,stockholm,"[26, 18, 25]","[24, 21, 27]",Open Gold/Premier
Eisenträger/Siemer,Machine slayers,Quarter-finals,stockholm,"[21, 21]","[17, 17]",Open Gold/Premier
Mathieu/Pilon,Serve Boomers,Quarter-finals,stockholm,"[21, 21]","[16, 12]",Open Gold/Premier
Eisenträger/Siemer,Mathieu/Pilon,Semi-finals,stockholm,"[21, 21]","[16, 19]",Open Gold/Premier
Les Machiines,RCG Powerline,Final,stockholm,"[22, 22, 17]","[20, 24, 21]",Open Gold/Premier
Les Machiines,Scott/Wout,1st place,stockholm,"[21, 21]","[14, 17]",Open Gold/Premier
Pump up the Jam,RCG Powerline,1st place,stockholm,"[19, 16]","[21, 21]",Open Gold/Premier
Les Machiines,Never Cold🌡️,3rd place,stockholm,"[21, 21]","[17, 17]",Open Gold/Premier
Perplexing Zwambo,Scott/Wout,3rd place,stockholm,"[11, 15]","[21, 21]",Open Gold/Premier
Pump up the Jam,Pierre Feuille Victor,3rd place,stockholm,"[21, 21]","[18, 15]",Open Gold/Premier
nerds in disguise,RCG Powerline,3rd place,stockholm,"[21, 24, 19]","[17, 26, 21]",Open Gold/Premier
Setters of Catan,Never Cold🌡️,Semi-finals,stockholm,"[14, 17]","[21, 21]",Open Gold/Premier
Pierre Feuille Victor,Cobra Spike,Semi-finals,stockholm,"[27, 28]","[25, 26]",Open Gold/Premier
Serve Boomers,Machine slayers,P5: Semi-finals,stockholm,"[25, 21]","[23, 17]",Open Gold/Premier
Pump up the Jam,Scott/Wout,P5: Final,stockholm,"[21, 1]","[12, 0]",Open Gold/Premier
TWO SWEDES,LTTL RNDNT,P9: Quarter-finals,stockholm,"[19, 16]","[21, 21]",Open Gold/Premier
Roundnet Orléans,Babbel Boys,P9: Quarter-finals,stockholm,"[15, 15]","[10, 8]",Open Gold/Premier
LTTL RNDNT,Roundnet Orléans,P9: Semi-finals,stockholm,"[18, 21, 14]","[21, 18, 21]",Open Gold/Premier
Never Cold🌡️,nerds in disguise,P9: Final,stockholm,"[14, 0]","[21, 1]",Open Gold/Premier
Perplexing Zwambo,Never Cold🌡️,9th place,stockholm,"[15, 0]","[21, 1]",Open Gold/Premier
nerds in disguise,Pierre Feuille Victor,9th place,stockholm,"[21, 1]","[14, 0]",Open Gold/Premier
Babbel Boys,TWO SWEDES,P13: Semi-finals,stockholm,"[0, 0]","[1, 1]",Open Gold/Premier
Pierre Feuille Victor,Perplexing Zwambo,P13: Final,stockholm,"[21, 1]","[17, 0]",Open Gold/Premier
Bavaria meets Texas,Hokus Boom,P17: Semi-finals,stockholm,"[1, 1]","[0, 0]",Open Gold/Premier
Setters of Catan,Cobra Spike,P17: Final,stockholm,"[19, 21, 14]","[21, 16, 21]",Open Gold/Premier
Bavaria meets Texas,Hokus Boom,P17: Semi-finals,stockholm,"[1, 1]","[0, 0]",Open Gold/Premier
Setters of Catan,Cobra Spike,P17: Final,stockholm,"[19, 21, 14]","[21, 16, 21]",Open Gold/Premier
