Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Cha Cha Slide,Beard/Broekema,Round of 64,thepeopleschampionship,"[0, 0]","[1, 1]",Premier
Tickle Me Elmo,CRO u up?,Round of 64,thepeopleschampionship,"[21, 21]","[17, 12]",Premier
Arledge/Hobart,Munch,Round of 64,thepeopleschampionship,"[15, 21, 18]","[21, 19, 21]",Premier
Pneumatic💥,Beard/Broekema,Round of 32,thepeopleschampionship,"[21, 21]","[17, 9]",Premier
Basketball Purity,Skill Issue,Round of 32,thepeopleschampionship,"[21, 21, 19]","[23, 14, 21]",Premier
GFD Evasive Maneuvers,CRO Fieldhousers,Round of 32,thepeopleschampionship,"[21, 21]","[11, 19]",Premier
Glitch,Blind Spot,Round of 32,thepeopleschampionship,"[21, 19, 18]","[16, 21, 21]",Premier
Critical Hit,Tickle Me Elmo,Round of 32,thepeopleschampionship,"[21, 21]","[11, 10]",Premier
Primal,GFD Birthday Sets (formerly GET CAKED),Round of 32,thepeopleschampionship,"[20, 16]","[22, 21]",Premier
CRO Sam Sucks,Josh/Nick,Round of 32,thepeopleschampionship,"[21, 21]","[17, 19]",Premier
Munch,Kingdom Come,Round of 32,thepeopleschampionship,"[12, 9]","[21, 21]",Premier
Pneumatic💥,Skill Issue,Round of 16,thepeopleschampionship,"[21, 21]","[12, 15]",Premier
GFD Evasive Maneuvers,Blind Spot,Round of 16,thepeopleschampionship,"[22, 16, 21]","[20, 21, 15]",Premier
Critical Hit,GFD Birthday Sets (formerly GET CAKED),Round of 16,thepeopleschampionship,"[21, 21]","[14, 13]",Premier
CRO Sam Sucks,Kingdom Come,Round of 16,thepeopleschampionship,"[16, 16]","[21, 21]",Premier
Pneumatic💥,GFD Evasive Maneuvers,Quarter-finals,thepeopleschampionship,"[21, 21]","[18, 11]",Premier
Critical Hit,Kingdom Come,Quarter-finals,thepeopleschampionship,"[19, 21, 25]","[21, 15, 23]",Premier
Pneumatic💥,Critical Hit,Semi-finals,thepeopleschampionship,"[19, 18]","[21, 21]",Premier
Rogue,Swamp Donkeys,Final,thepeopleschampionship,"[21, 21]","[14, 19]",Premier
Rogue,Profit Boost,1st place,thepeopleschampionship,"[21, 21]","[19, 15]",Premier
Bart Harley Jarvis,Swamp Donkeys,1st place,thepeopleschampionship,"[21, 20, 19]","[18, 22, 21]",Premier
Rogue,Daddy is always right,3rd place,thepeopleschampionship,"[21, 21]","[13, 13]",Premier
Nebs,Profit Boost,3rd place,thepeopleschampionship,"[16, 16]","[21, 21]",Premier
