Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Gumbies,Rain or Shine,Round of 32,tograndslam2023,"[0, 0]","[1, 1]",Expert 5.0+
Lazier,Bizzy Bizzy,Round of 32,tograndslam2023,"[21, 21]","[14, 18]",Expert 5.0+
Stay Brown,AZR Rice Babes,Round of 32,tograndslam2023,"[21, 21]","[19, 15]",Expert 5.0+
WySpike Synergy,Premier Rizz,Round of 32,tograndslam2023,"[19, 21, 21]","[21, 12, 12]",Expert 5.0+
Jesus Swept.,Ankle Issues,Round of 32,tograndslam2023,"[21, 21]","[18, 19]",Expert 5.0+
Dialed,David GOONzales,Round of 32,tograndslam2023,"[1, 0, 1]","[0, 1, 0]",Expert 5.0+
Woooooo,stinky,Round of 32,tograndslam2023,"[21, 21]","[19, 17]",Expert 5.0+
Muscle Mommy,Rain or Shine,Round of 16,tograndslam2023,"[21, 21]","[16, 13]",Expert 5.0+
Lazier,Stay Brown,Round of 16,tograndslam2023,"[1, 1]","[0, 0]",Expert 5.0+
WySpike Synergy,Jesus Swept.,Round of 16,tograndslam2023,"[21, 19, 21]","[13, 21, 18]",Expert 5.0+
Dialed,Woooooo,Round of 16,tograndslam2023,"[0, 0]","[1, 1]",Expert 5.0+
Muscle Mommy,Lazier,Quarter-finals,tograndslam2023,"[21, 21]","[19, 18]",Expert 5.0+
WySpike Synergy,Woooooo,Quarter-finals,tograndslam2023,"[18, 37]","[21, 39]",Expert 5.0+
Muscle Mommy,Woooooo,Semi-finals,tograndslam2023,"[21, 21]","[17, 19]",Expert 5.0+
Three Crowns,Taylor and Xande,Final,tograndslam2023,"[21, 16, 21]","[18, 21, 19]",Expert 5.0+
Cigar Boys,Three Crowns,1st place,tograndslam2023,"[18, 18]","[21, 21]",Expert 5.0+
Taylor and Xande,Endgame,1st place,tograndslam2023,"[21, 21, 23]","[23, 19, 21]",Expert 5.0+
Cigar Boys,Bad Habit,3rd place,tograndslam2023,"[21, 21]","[16, 14]",Expert 5.0+
Prophecy,Three Crowns,3rd place,tograndslam2023,"[21, 19, 20]","[18, 21, 22]",Expert 5.0+
Taylor and Xande,Acing John Choi is the best feeling,3rd place,tograndslam2023,"[1, 1]","[0, 0]",Expert 5.0+
skill issue,Endgame,3rd place,tograndslam2023,"[17, 13]","[21, 21]",Expert 5.0+
Rhoad work,Bad Habit,Semi-finals,tograndslam2023,"[19, 19]","[21, 21]",Expert 5.0+
Prophecy,Orange Dream,Semi-finals,tograndslam2023,"[21, 21]","[17, 12]",Expert 5.0+
Three Crowns,In Due Time,Semi-finals,tograndslam2023,"[21, 21]","[18, 14]",Expert 5.0+
Taylor and Xande,Acing Ethan and Matt is the best,Semi-finals,tograndslam2023,"[1, 1]","[0, 0]",Expert 5.0+
Acing John Choi is the best feeling,Royal Flush,Semi-finals,tograndslam2023,"[21, 20, 24]","[16, 22, 22]",Expert 5.0+
skill issue,Dylan,Semi-finals,tograndslam2023,"[21, 21]","[16, 17]",Expert 5.0+
Endgame,Capobianco/Sandberg,Semi-finals,tograndslam2023,"[21, 21]","[16, 13]",Expert 5.0+
WySpike Synergy,Lazier,P5: Semi-finals,tograndslam2023,"[-1, -1, -1]","[-1, -1, -1]",Expert 5.0+
Endgame,Cigar Boys,P5: Final,tograndslam2023,"[-1, -1, -1]","[-1, -1, -1]",Expert 5.0+
Stay Brown,Rain or Shine,P9: Quarter-finals,tograndslam2023,"[-1, -1, -1]","[-1, -1, -1]",Expert 5.0+
Dialed,Jesus Swept.,P9: Quarter-finals,tograndslam2023,"[14, 21, 19]","[21, 11, 21]",Expert 5.0+
Bad Habit,skill issue,P9: Final,tograndslam2023,"[-1, -1, -1]","[-1, -1, -1]",Expert 5.0+
Prophecy,Bad Habit,9th place,tograndslam2023,"[-1, -1]","[0, 0]",Expert 5.0+
skill issue,Acing John Choi is the best feeling,9th place,tograndslam2023,"[0, 0]","[-1, -1]",Expert 5.0+
Acing John Choi is the best feeling,Prophecy,P13: Final,tograndslam2023,"[-1, -1, -1]","[-1, -1, -1]",Expert 5.0+
Bizzy Bizzy,AZR Rice Babes,P17: Round of 16,tograndslam2023,"[-1, -1, -1]","[-1, -1, -1]",Expert 5.0+
Ankle Issues,Premier Rizz,P17: Round of 16,tograndslam2023,"[-1, -1, -1]","[-1, -1, -1]",Expert 5.0+
David GOONzales,stinky,P17: Round of 16,tograndslam2023,"[-1, -1, -1]","[-1, -1, -1]",Expert 5.0+
Gumbies,AZR Rice Babes,P17: Quarter-finals,tograndslam2023,"[-1, -1, -1]","[-1, -1, -1]",Expert 5.0+
Royal Flush,Dylan,17th place,tograndslam2023,"[19, 21, 21]","[21, 19, 16]",Expert 5.0+
Orange Dream,In Due Time,19th place,tograndslam2023,"[-1, -1, -1]","[-1, -1, -1]",Expert 5.0+
Royal Flush,Acing Ethan and Matt is the best,19th place,tograndslam2023,"[1, 1]","[0, 0]",Expert 5.0+
Dylan,Capobianco/Sandberg,19th place,tograndslam2023,"[21, 21]","[13, 18]",Expert 5.0+
