Team Name,Wins,Losses,Result,Division,Tournament
Mathieu/Pilon,9,2,1,Premier 5.0+,coupeestivale
The Prince,7,4,2,Premier 5.0+,coupeestivale
Gimme Paradise,7,4,3,Premier 5.0+,coupeestivale
The Fence,7,4,4,Premier 5.0+,coupeestivale
Pole Position,7,4,5,Premier 5.0+,coupeestivale
Beast Mode,4,8,6,Premier 5.0+,coupeestivale
Josh & Phil,3,8,7,Premier 5.0+,coupeestivale
Mario & Donkey Kong,5,6,8,Premier 5.0+,coupeestivale
Force-Toé,0,9,9,Premier 5.0+,coupeestivale
Quick Hands,9,1,1,Contender 4.5+,coupeestivale
Falcon Punch,7,3,2,Contender 4.5+,coupeestivale
Groovy Goofies,8,2,3,Contender 4.5+,coupeestivale
Stinky Hinder 💩💨😵,7,3,4,Contender 4.5+,coupeestivale
Yoshi et Waluigi,8,2,5,Contender 4.5+,coupeestivale
Serverless,6,2,6,Contender 4.5+,coupeestivale
420 Spike,7,2,7,Contender 4.5+,coupeestivale
No gravity,6,3,8,Contender 4.5+,coupeestivale
Beauty and the Beast,7,2,9,Contender 4.5+,coupeestivale
Les plongeurs,6,4,10,Contender 4.5+,coupeestivale
Net-flicks and Chill,7,3,11,Contender 4.5+,coupeestivale
Les P'tits Loups,4,6,12,Contender 4.5+,coupeestivale
Alerte UV,6,4,13,Contender 4.5+,coupeestivale
Goal Digger,6,4,14,Contender 4.5+,coupeestivale
No clutch,5,4,15,Contender 4.5+,coupeestivale
NON MERCI✌️,3,6,15,Contender 4.5+,coupeestivale
Les vidanges,5,5,17,Contender 4.5+,coupeestivale
Tape dans l'dos,3,5,18,Contender 4.5+,coupeestivale
Juicy Dragons,4,6,19,Contender 4.5+,coupeestivale
Short and Sweet,3,5,20,Contender 4.5+,coupeestivale
Gosselin/Juteau,3,6,21,Contender 4.5+,coupeestivale
RPP district,2,8,22,Contender 4.5+,coupeestivale
D'jo louis,3,7,23,Contender 4.5+,coupeestivale
Les Coccinelles,2,7,24,Contender 4.5+,coupeestivale
Qc Classic King Size,4,6,25,Contender 4.5+,coupeestivale
Fromage Cottage,2,7,26,Contender 4.5+,coupeestivale
Les Chacals,2,7,27,Contender 4.5+,coupeestivale
The 9ers,1,8,28,Contender 4.5+,coupeestivale
Les chevilles molles,0,8,29,Contender 4.5+,coupeestivale
Royalty,7,0,1,Women's Advanced 4.0+,coupeestivale
Marshmallow 🐾 🐧,6,1,2,Women's Advanced 4.0+,coupeestivale
Dancing Queen,5,2,3,Women's Advanced 4.0+,coupeestivale
OSiAlFeCaNaKMg,3,4,4,Women's Advanced 4.0+,coupeestivale
Life is a Highway,5,2,5,Women's Advanced 4.0+,coupeestivale
OVERREACT !!!!!!,2,6,6,Women's Advanced 4.0+,coupeestivale
Go mon Rosier🤛🏻,2,6,7,Women's Advanced 4.0+,coupeestivale
Misto,3,4,7,Women's Advanced 4.0+,coupeestivale
‘90s Hits,2,4,9,Women's Advanced 4.0+,coupeestivale
Pourquoi pas!,0,6,10,Women's Advanced 4.0+,coupeestivale
Spike Bros,8,1,1,Advanced 4.0,coupeestivale
L'équipe de 2,8,1,2,Advanced 4.0,coupeestivale
The biggest losers,5,5,3,Advanced 4.0,coupeestivale
Oscar Morin,6,3,4,Advanced 4.0,coupeestivale
Twisted Two,7,2,5,Advanced 4.0,coupeestivale
Basilic thaï 🌿,5,5,6,Advanced 4.0,coupeestivale
KaukaSmile,6,4,7,Advanced 4.0,coupeestivale
Pas de bras pas de chocolat,4,5,8,Advanced 4.0,coupeestivale
Les agrumes,8,1,9,Advanced 4.0,coupeestivale
The Grape Smashers,7,2,10,Advanced 4.0,coupeestivale
Rafph,4,6,11,Advanced 4.0,coupeestivale
Les shades,4,6,12,Advanced 4.0,coupeestivale
Les colocs éducateurs,5,4,13,Advanced 4.0,coupeestivale
Apex,4,4,14,Advanced 4.0,coupeestivale
Apexways,3,7,15,Advanced 4.0,coupeestivale
Les Gagné,3,5,16,Advanced 4.0,coupeestivale
Foo The Crew,5,3,17,Advanced 4.0,coupeestivale
Goose Bumps,2,6,18,Advanced 4.0,coupeestivale
Les piments,3,5,19,Advanced 4.0,coupeestivale
Les belles japonaises,2,5,19,Advanced 4.0,coupeestivale
Foo The Real Crew,2,6,21,Advanced 4.0,coupeestivale
Dewey Team,1,8,22,Advanced 4.0,coupeestivale
The Sherbinskis,0,8,23,Advanced 4.0,coupeestivale
Spike moé les balls,11,0,1,Intermediate 2.0-3.0,coupeestivale
Grand & Petit,10,1,2,Intermediate 2.0-3.0,coupeestivale
Rocky Valboa,9,1,3,Intermediate 2.0-3.0,coupeestivale
Les chauves,8,3,4,Intermediate 2.0-3.0,coupeestivale
SU'APLAGE,8,2,5,Intermediate 2.0-3.0,coupeestivale
Singes volants,8,3,6,Intermediate 2.0-3.0,coupeestivale
Les frères Gagnon,8,3,7,Intermediate 2.0-3.0,coupeestivale
Les Spike-taculaires,6,5,8,Intermediate 2.0-3.0,coupeestivale
Hot shot,7,4,9,Intermediate 2.0-3.0,coupeestivale
Harvey Specter & Mike Ross,6,4,10,Intermediate 2.0-3.0,coupeestivale
Dr. Heckle and Mr. Spike,7,4,11,Intermediate 2.0-3.0,coupeestivale
les king,6,5,12,Intermediate 2.0-3.0,coupeestivale
Sélection naturelle,6,4,13,Intermediate 2.0-3.0,coupeestivale
Cerebral Smashers,6,3,14,Intermediate 2.0-3.0,coupeestivale
Lendemain de brosse,5,4,14,Intermediate 2.0-3.0,coupeestivale
OG’s,6,4,14,Intermediate 2.0-3.0,coupeestivale
Les Poulets Végés,6,4,17,Intermediate 2.0-3.0,coupeestivale
La belle et la bête,5,6,18,Intermediate 2.0-3.0,coupeestivale
Barres tendres,6,5,19,Intermediate 2.0-3.0,coupeestivale
Les balristas,4,6,20,Intermediate 2.0-3.0,coupeestivale
La Pause,5,6,21,Intermediate 2.0-3.0,coupeestivale
The Buds,4,7,22,Intermediate 2.0-3.0,coupeestivale
Billares,2,8,23,Intermediate 2.0-3.0,coupeestivale
Le 540,3,7,24,Intermediate 2.0-3.0,coupeestivale
Archive All-Stars,5,6,25,Intermediate 2.0-3.0,coupeestivale
Unicornz,4,7,26,Intermediate 2.0-3.0,coupeestivale
Gros Bretzel,4,7,27,Intermediate 2.0-3.0,coupeestivale
Les tites croquettes,2,9,28,Intermediate 2.0-3.0,coupeestivale
Gucci,3,9,29,Intermediate 2.0-3.0,coupeestivale
Los Platanos,2,10,30,Intermediate 2.0-3.0,coupeestivale
Déjà vu,2,9,31,Intermediate 2.0-3.0,coupeestivale
Les Cent-Vins,3,8,32,Intermediate 2.0-3.0,coupeestivale
ST-Cassé,1,7,33,Intermediate 2.0-3.0,coupeestivale
Twin Power,0,7,34,Intermediate 2.0-3.0,coupeestivale
Les recrues,6,0,1,Junior,coupeestivale
Hydrus,3,3,2,Junior,coupeestivale
Les Spikers 2,3,3,3,Junior,coupeestivale
Patriote,3,4,4,Junior,coupeestivale
Notorious B.I.G,0,5,5,Junior,coupeestivale
