Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Cabbage Merchants,LL Cheezin,Round of 32,ers23ct,"[13, 21, 14]","[21, 13, 21]",5.0+ Premier (Open)
Bingu!,Royal Flush,Round of 32,ers23ct,"[24, 21]","[22, 15]",5.0+ Premier (Open)
Slow Jamz,NYC LemonLight,Round of 32,ers23ct,"[21, 18, 21]","[15, 21, 16]",5.0+ Premier (Open)
White Lotus Roundnet,Fockey Jongens,Round of 32,ers23ct,"[24, 21, 21]","[26, 16, 23]",5.0+ Premier (Open)
Just Joshin,Always,Round of 32,ers23ct,"[19, 24, 21]","[21, 22, 15]",5.0+ Premier (Open)
Okay,Old Hope,Round of 32,ers23ct,"[17, 21, 21]","[21, 17, 16]",5.0+ Premier (Open)
Dinomite,Low Expectations,Round of 32,ers23ct,"[21, 21]","[15, 16]",5.0+ Premier (Open)
Parked and wrecked,Sports Mode,Round of 32,ers23ct,"[21, 21]","[10, 19]",5.0+ Premier (Open)
Maichen/Ulrich,Tank Engines,Round of 32,ers23ct,"[21, 21]","[11, 18]",5.0+ Premier (Open)
Body No Worky,Shock Value,Round of 32,ers23ct,"[24, 21]","[22, 12]",5.0+ Premier (Open)
MIDDS,LL Cheezin,Round of 16,ers23ct,"[21, 21]","[18, 16]",5.0+ Premier (Open)
Bingu!,Slow Jamz,Round of 16,ers23ct,"[21, 21]","[14, 15]",5.0+ Premier (Open)
Profit Boost,Fockey Jongens,Round of 16,ers23ct,"[21, 21]","[12, 9]",5.0+ Premier (Open)
Finocchachurch,Just Joshin,Round of 16,ers23ct,"[21, 21]","[16, 12]",5.0+ Premier (Open)
Hilltop,Okay,Round of 16,ers23ct,"[21, 21]","[15, 13]",5.0+ Premier (Open)
Dinomite,Parked and wrecked,Round of 16,ers23ct,"[21, 21]","[9, 18]",5.0+ Premier (Open)
The Prince,Maichen/Ulrich,Round of 16,ers23ct,"[21, 21]","[13, 15]",5.0+ Premier (Open)
Pleasant People,Body No Worky,Round of 16,ers23ct,"[21, 21]","[17, 13]",5.0+ Premier (Open)
MIDDS,Bingu!,Quarter-finals,ers23ct,"[21, 21]","[13, 17]",5.0+ Premier (Open)
Profit Boost,Finocchachurch,Quarter-finals,ers23ct,"[16, 21]","[21, 23]",5.0+ Premier (Open)
Hilltop,Dinomite,Quarter-finals,ers23ct,"[21, 21]","[15, 15]",5.0+ Premier (Open)
The Prince,Pleasant People,Quarter-finals,ers23ct,"[22, 21]","[20, 11]",5.0+ Premier (Open)
MIDDS,Finocchachurch,Semi-finals,ers23ct,"[16, 21, 14]","[21, 14, 21]",5.0+ Premier (Open)
Hilltop,The Prince,Semi-finals,ers23ct,"[22, 16]","[24, 21]",5.0+ Premier (Open)
Finocchachurch,The Prince,Final,ers23ct,"[21, 21]","[11, 17]",5.0+ Premier (Open)
Hilltop,MIDDS,Third Place,ers23ct,[12],[21],5.0+ Premier (Open)
