Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Tiermaschine,AToA,Round of 32,etsparis2023,"[15, 15]","[7, 8]",Mixed Advanced/Intermediate
2stressed2bebest,PIKAMIENTOS,Round of 32,etsparis2023,"[11, 15, 13]","[15, 11, 15]",Mixed Advanced/Intermediate
Hat swap,RR juice gastrico,Round of 32,etsparis2023,"[15, 11, 15]","[11, 15, 10]",Mixed Advanced/Intermediate
Aussie Roos,Red Redonda,Round of 32,etsparis2023,"[12, 15, 15]","[15, 11, 9]",Mixed Advanced/Intermediate
Aloha,Danish Spikamite,Round of 32,etsparis2023,"[15, 15]","[11, 6]",Mixed Advanced/Intermediate
Bananas for Johannes,Zippy Roosters,Round of 32,etsparis2023,"[15, 15]","[13, 11]",Mixed Advanced/Intermediate
Salt and Pepper,Déjà-vu,Round of 32,etsparis2023,"[15, 15]","[9, 12]",Mixed Advanced/Intermediate
Bad salmons,Superb'owl'er,Round of 32,etsparis2023,"[15, 15]","[8, 4]",Mixed Advanced/Intermediate
#THPOE,RCB Scrambled Tofu,Round of 32,etsparis2023,"[15, 12, 18]","[12, 15, 16]",Mixed Advanced/Intermediate
Pinkey Jinkey,"Le Bon, la Britt et le Theunis",Round of 32,etsparis2023,"[12, 12]","[15, 15]",Mixed Advanced/Intermediate
Na-Da,Flying Free,Round of 32,etsparis2023,"[15, 15]","[8, 9]",Mixed Advanced/Intermediate
Levi & Riet,Double A'ce,Round of 32,etsparis2023,"[15, 15]","[7, 10]",Mixed Advanced/Intermediate
Pingu Panther,YoshJa,Round of 32,etsparis2023,"[0, 1, 0]","[1, 0, 1]",Mixed Advanced/Intermediate
Les Loulou,TrashPandas,Round of 32,etsparis2023,"[15, 11, 11]","[12, 15, 15]",Mixed Advanced/Intermediate
SuPeerNora,Breizh truffades,Round of 32,etsparis2023,"[15, 15]","[12, 8]",Mixed Advanced/Intermediate
UniLey,Ditte og Dutte,Round of 32,etsparis2023,"[15, 15]","[7, 7]",Mixed Advanced/Intermediate
Tiermaschine,PIKAMIENTOS,Round of 16,etsparis2023,"[1, 1]","[0, 0]",Mixed Advanced/Intermediate
Hat swap,Aussie Roos,Round of 16,etsparis2023,"[15, 12, 16]","[9, 15, 14]",Mixed Advanced/Intermediate
Aloha,Bananas for Johannes,Round of 16,etsparis2023,"[15, 15]","[8, 9]",Mixed Advanced/Intermediate
Salt and Pepper,Bad salmons,Round of 16,etsparis2023,"[15, 15]","[11, 12]",Mixed Advanced/Intermediate
#THPOE,"Le Bon, la Britt et le Theunis",Round of 16,etsparis2023,"[20, 15, 15]","[21, 11, 13]",Mixed Advanced/Intermediate
Na-Da,Levi & Riet,Round of 16,etsparis2023,"[21, 15]","[20, 12]",Mixed Advanced/Intermediate
YoshJa,TrashPandas,Round of 16,etsparis2023,"[12, 16]","[15, 18]",Mixed Advanced/Intermediate
SuPeerNora,UniLey,Round of 16,etsparis2023,"[12, 19, 15]","[15, 17, 8]",Mixed Advanced/Intermediate
Tiermaschine,Hat swap,Quarter-finals,etsparis2023,"[20, 15, 15]","[21, 12, 13]",Mixed Advanced/Intermediate
Aloha,Salt and Pepper,Quarter-finals,etsparis2023,"[15, 15]","[9, 10]",Mixed Advanced/Intermediate
#THPOE,Na-Da,Quarter-finals,etsparis2023,"[9, 8]","[15, 15]",Mixed Advanced/Intermediate
TrashPandas,SuPeerNora,Quarter-finals,etsparis2023,"[5, 11]","[15, 15]",Mixed Advanced/Intermediate
Tiermaschine,Aloha,Semi-finals,etsparis2023,"[11, 12]","[15, 15]",Mixed Advanced/Intermediate
Na-Da,SuPeerNora,Semi-finals,etsparis2023,"[9, 13]","[15, 15]",Mixed Advanced/Intermediate
Aloha,SuPeerNora,Final,etsparis2023,"[22, 18]","[24, 21]",Mixed Advanced/Intermediate
Na-Da,Tiermaschine,Third Place,etsparis2023,"[1, 1]","[0, 0]",Mixed Advanced/Intermediate
Salt and Pepper,Hat swap,P5: Semi-finals,etsparis2023,"[21, 21]","[16, 16]",Mixed Advanced/Intermediate
TrashPandas,#THPOE,P5: Semi-finals,etsparis2023,"[1, 1]","[0, 0]",Mixed Advanced/Intermediate
Salt and Pepper,TrashPandas,P5: Final,etsparis2023,"[21, 1]","[17, 0]",Mixed Advanced/Intermediate
#THPOE,Hat swap,P5: Final,etsparis2023,"[0, 0]","[1, 1]",Mixed Advanced/Intermediate
Aussie Roos,PIKAMIENTOS,P9: Quarter-finals,etsparis2023,"[15, 15]","[8, 13]",Mixed Advanced/Intermediate
Bad salmons,Bananas for Johannes,P9: Quarter-finals,etsparis2023,"[1, 1]","[0, 0]",Mixed Advanced/Intermediate
Levi & Riet,"Le Bon, la Britt et le Theunis",P9: Quarter-finals,etsparis2023,"[0, 0]","[1, 1]",Mixed Advanced/Intermediate
UniLey,YoshJa,P9: Quarter-finals,etsparis2023,"[15, 15]","[10, 11]",Mixed Advanced/Intermediate
Aussie Roos,Bad salmons,P9: Semi-finals,etsparis2023,"[15, 9, 14]","[12, 15, 16]",Mixed Advanced/Intermediate
