Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Hive Mind,Kevin's Famous Chili - Taylor’s Version,Round of 32,nashvillecup2023,"[21, 21]","[9, 12]",Premier (5.0)
GFD Evasive Maneuvers,Risky Business,Round of 32,nashvillecup2023,"[21, 21]","[15, 13]",Premier (5.0)
Fear Itself,TRA.wav,Round of 32,nashvillecup2023,"[21, 21]","[16, 16]",Premier (5.0)
Autonomous,A Savage 21st,Round of 32,nashvillecup2023,"[17, 18]","[21, 21]",Premier (5.0)
Mermaid Sparkle,Ledbetter/Raman,Round of 32,nashvillecup2023,"[21, 21]","[16, 13]",Premier (5.0)
Skill Issue,DMChilly,Round of 32,nashvillecup2023,"[21, 21]","[14, 15]",Premier (5.0)
WySpike Sweepers,ILL,Round of 32,nashvillecup2023,"[22, 21, 19]","[24, 19, 21]",Premier (5.0)
Absolutely Sozzled,Munch,Round of 32,nashvillecup2023,"[22, 21]","[20, 13]",Premier (5.0)
Asioneer,YMCA,Round of 32,nashvillecup2023,"[21, 21]","[16, 14]",Premier (5.0)
GFD Get Gaped,Flubbin Trash,Round of 32,nashvillecup2023,"[21, 21]","[12, 16]",Premier (5.0)
Sunday Special,Providence,Round of 32,nashvillecup2023,"[21, 21]","[16, 12]",Premier (5.0)
Revised Banquet,Left Twix,Round of 32,nashvillecup2023,"[17, 22]","[21, 24]",Premier (5.0)
Kingdom Come,Hive Mind,Round of 16,nashvillecup2023,"[21, 21]","[12, 12]",Premier (5.0)
GFD Evasive Maneuvers,Fear Itself,Round of 16,nashvillecup2023,"[21, 16, 21]","[16, 21, 19]",Premier (5.0)
Morgan/Mowry,A Savage 21st,Round of 16,nashvillecup2023,"[21, 21]","[18, 13]",Premier (5.0)
Mermaid Sparkle,Skill Issue,Round of 16,nashvillecup2023,"[21, 21]","[16, 18]",Premier (5.0)
Profit Boost,ILL,Round of 16,nashvillecup2023,"[21, 21]","[13, 17]",Premier (5.0)
Absolutely Sozzled,Asioneer,Round of 16,nashvillecup2023,"[21, 21]","[17, 11]",Premier (5.0)
Rogue,GFD Get Gaped,Round of 16,nashvillecup2023,"[21, 21]","[12, 9]",Premier (5.0)
Sunday Special,Left Twix,Round of 16,nashvillecup2023,"[17, 19]","[21, 21]",Premier (5.0)
Kingdom Come,GFD Evasive Maneuvers,Quarter-finals,nashvillecup2023,"[21, 21]","[14, 15]",Premier (5.0)
Morgan/Mowry,Mermaid Sparkle,Quarter-finals,nashvillecup2023,"[17, 21, 21]","[21, 19, 18]",Premier (5.0)
Profit Boost,Absolutely Sozzled,Quarter-finals,nashvillecup2023,"[18, 15]","[21, 21]",Premier (5.0)
Rogue,Left Twix,Quarter-finals,nashvillecup2023,"[21, 21]","[11, 8]",Premier (5.0)
Kingdom Come,Morgan/Mowry,Semi-finals,nashvillecup2023,"[21, 21]","[14, 15]",Premier (5.0)
Absolutely Sozzled,Rogue,Semi-finals,nashvillecup2023,"[14, 16]","[21, 21]",Premier (5.0)
Kingdom Come,Rogue,Final,nashvillecup2023,"[17, 18]","[21, 21]",Premier (5.0)
Absolutely Sozzled,Morgan/Mowry,Third Place,nashvillecup2023,"[26, 21]","[24, 18]",Premier (5.0)
Mermaid Sparkle,GFD Evasive Maneuvers,P5: Semi-finals,nashvillecup2023,"[-1, -1, -1]","[-1, -1, -1]",Premier (5.0)
Left Twix,Profit Boost,P5: Semi-finals,nashvillecup2023,"[-1, -1, -1]","[-1, -1, -1]",Premier (5.0)
Fear Itself,Hive Mind,P9: Quarter-finals,nashvillecup2023,"[-1, -1]","[0, 0]",Premier (5.0)
Skill Issue,A Savage 21st,P9: Quarter-finals,nashvillecup2023,"[20, -1]","[22, 0]",Premier (5.0)
Asioneer,ILL,P9: Quarter-finals,nashvillecup2023,"[16, 1]","[14, 0]",Premier (5.0)
Sunday Special,GFD Get Gaped,P9: Quarter-finals,nashvillecup2023,"[-1, -1]","[0, 0]",Premier (5.0)
Hive Mind,A Savage 21st,P9: Semi-finals,nashvillecup2023,"[-1, -1]","[0, 0]",Premier (5.0)
Asioneer,GFD Get Gaped,P9: Semi-finals,nashvillecup2023,"[0, 0]","[-1, -1]",Premier (5.0)
A Savage 21st,Asioneer,P9: Final,nashvillecup2023,"[21, 0]","[16, -1]",Premier (5.0)
GFD Get Gaped,Hive Mind,P9: Final,nashvillecup2023,"[-1, -1]","[0, 0]",Premier (5.0)
