Team Name,Wins,Losses,Result,Division,Tournament
Bad Combo,7,0,1,Expert 5.0+,sdgrandslam2023
Cigar Boys,7,1,2,Expert 5.0+,sdgrandslam2023
Etienne/Eddy,9,1,3,Expert 5.0+,sdgrandslam2023
Beach Waffle,7,2,4,Expert 5.0+,sdgrandslam2023
Dialed,5,3,5,Expert 5.0+,sdgrandslam2023
Lazy,5,2,5,Expert 5.0+,sdgrandslam2023
Baddest Combo,5,2,5,Expert 5.0+,sdgrandslam2023
PNDubs,6,3,5,Expert 5.0+,sdgrandslam2023
Korn,4,3,9,Expert 5.0+,sdgrandslam2023
Baron and the Krug,4,2,9,Expert 5.0+,sdgrandslam2023
TRP Alpha & Beta,2,4,9,Expert 5.0+,sdgrandslam2023
The Veterans,5,1,9,Expert 5.0+,sdgrandslam2023
Beaver Eaters,4,2,9,Expert 5.0+,sdgrandslam2023
Psych,3,3,9,Expert 5.0+,sdgrandslam2023
Friends of OC,2,4,9,Expert 5.0+,sdgrandslam2023
Fractal Spikes,4,3,9,Expert 5.0+,sdgrandslam2023
Texas Blows,5,4,17,Expert 5.0+,sdgrandslam2023
Autonomous,5,4,18,Expert 5.0+,sdgrandslam2023
American Spikers,3,6,19,Expert 5.0+,sdgrandslam2023
Bricklayers,4,4,19,Expert 5.0+,sdgrandslam2023
Screenagers,4,3,21,Expert 5.0+,sdgrandslam2023
ripcord,1,6,21,Expert 5.0+,sdgrandslam2023
Babbitt/Wynkoop,3,4,21,Expert 5.0+,sdgrandslam2023
Hufko,1,6,21,Expert 5.0+,sdgrandslam2023
LamBo,2,6,25,Expert 5.0+,sdgrandslam2023
The Clean Crew,3,3,25,Expert 5.0+,sdgrandslam2023
CARL Baddie Combo,0,6,25,Expert 5.0+,sdgrandslam2023
High Guys,2,5,25,Expert 5.0+,sdgrandslam2023
Quantum State Koalas,0,7,25,Expert 5.0+,sdgrandslam2023
Placeholder,0,7,25,Expert 5.0+,sdgrandslam2023
Chomar,1,6,25,Expert 5.0+,sdgrandslam2023
Don’t Open the Box,8,0,1,Contender 4.5,sdgrandslam2023
Ho Jiah,7,1,2,Contender 4.5,sdgrandslam2023
Guder Changeup,6,2,3,Contender 4.5,sdgrandslam2023
Big Brown Johnson,5,3,4,Contender 4.5,sdgrandslam2023
SLO Spikes,3,4,5,Contender 4.5,sdgrandslam2023
Setting Ducks,4,2,5,Contender 4.5,sdgrandslam2023
Blue Team,4,2,5,Contender 4.5,sdgrandslam2023
Slow Serves,3,3,5,Contender 4.5,sdgrandslam2023
Chicken Wing,3,3,9,Contender 4.5,sdgrandslam2023
Full Tilt,3,3,9,Contender 4.5,sdgrandslam2023
Wenegade Waiders,2,3,9,Contender 4.5,sdgrandslam2023
Jerry’s disciples,1,5,9,Contender 4.5,sdgrandslam2023
Rough Sets,2,3,9,Contender 4.5,sdgrandslam2023
Gap Kids,3,3,9,Contender 4.5,sdgrandslam2023
Juicy Jams,4,2,9,Contender 4.5,sdgrandslam2023
Just Two Dudes,2,5,9,Contender 4.5,sdgrandslam2023
TheGOATGene,3,4,17,Contender 4.5,sdgrandslam2023
