Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Bavaria meets Texas,LTTL RNDNT,Round of 32,stockholm,"[14, 24]","[21, 26]",Open Gold/Premier
Hokus Beng,Babbel Boys,Round of 32,stockholm,"[9, 0]","[13, 1]",Open Gold/Premier
Setters of Catan,Never Cold🌡️,Round of 32,stockholm,"[14, 17]","[21, 21]",Open Gold/Premier
Pierre Feuille Victor,Cobra Spike,Round of 32,stockholm,"[27, 28]","[25, 26]",Open Gold/Premier
Eisenträger/Siemer,LTTL RNDNT,Round of 16,stockholm,"[21, 21]","[19, 13]",Open Gold/Premier
TWO SWEDES,Machine slayers,Round of 16,stockholm,"[20, 21, 19]","[22, 19, 21]",Open Gold/Premier
Mathieu/Pilon,Babbel Boys,Round of 16,stockholm,"[21, 21]","[14, 12]",Open Gold/Premier
Serve Boomers,Roundnet Orléans,Round of 16,stockholm,"[24, 21, 27]","[26, 18, 25]",Open Gold/Premier
Les Machiines,Never Cold🌡️,Round of 16,stockholm,"[21, 21]","[17, 17]",Open Gold/Premier
Scott/Wout,Perplexing Zwambo,Round of 16,stockholm,"[21, 21]","[11, 15]",Open Gold/Premier
Pump up the Jam,Pierre Feuille Victor,Round of 16,stockholm,"[21, 21]","[18, 15]",Open Gold/Premier
RCG Powerline,nerds in disguise,Round of 16,stockholm,"[17, 26, 21]","[21, 24, 19]",Open Gold/Premier
Eisenträger/Siemer,Machine slayers,Quarter-finals,stockholm,"[21, 21]","[17, 17]",Open Gold/Premier
Mathieu/Pilon,Serve Boomers,Quarter-finals,stockholm,"[21, 21]","[16, 12]",Open Gold/Premier
Les Machiines,Scott/Wout,Quarter-finals,stockholm,"[21, 21]","[14, 17]",Open Gold/Premier
Pump up the Jam,RCG Powerline,Quarter-finals,stockholm,"[19, 16]","[21, 21]",Open Gold/Premier
Eisenträger/Siemer,Mathieu/Pilon,Semi-finals,stockholm,"[21, 21]","[16, 19]",Open Gold/Premier
Les Machiines,RCG Powerline,Semi-finals,stockholm,"[22, 22, 17]","[20, 24, 21]",Open Gold/Premier
Eisenträger/Siemer,RCG Powerline,Final,stockholm,"[21, 21]","[15, 18]",Open Gold/Premier
Les Machiines,Mathieu/Pilon,Third Place,stockholm,"[21, 19, 14]","[16, 21, 21]",Open Gold/Premier
Serve Boomers,Machine slayers,P5: Semi-finals,stockholm,"[25, 21]","[23, 17]",Open Gold/Premier
Pump up the Jam,Scott/Wout,P5: Semi-finals,stockholm,"[21, 1]","[12, 0]",Open Gold/Premier
Serve Boomers,Pump up the Jam,P5: Final,stockholm,"[35, 1]","[34, 0]",Open Gold/Premier
Scott/Wout,Machine slayers,P5: Final,stockholm,"[-1, -1, -1]","[-1, -1, -1]",Open Gold/Premier
TWO SWEDES,LTTL RNDNT,P9: Quarter-finals,stockholm,"[19, 16]","[21, 21]",Open Gold/Premier
Roundnet Orléans,Babbel Boys,P9: Quarter-finals,stockholm,"[15, 15]","[10, 8]",Open Gold/Premier
Perplexing Zwambo,Never Cold🌡️,P9: Quarter-finals,stockholm,"[15, 0]","[21, 1]",Open Gold/Premier
nerds in disguise,Pierre Feuille Victor,P9: Quarter-finals,stockholm,"[21, 1]","[14, 0]",Open Gold/Premier
LTTL RNDNT,Roundnet Orléans,P9: Semi-finals,stockholm,"[18, 21, 14]","[21, 18, 21]",Open Gold/Premier
Never Cold🌡️,nerds in disguise,P9: Semi-finals,stockholm,"[14, 0]","[21, 1]",Open Gold/Premier
Roundnet Orléans,nerds in disguise,P9: Final,stockholm,"[8, 16, 15]","[15, 14, 12]",Open Gold/Premier
Never Cold🌡️,LTTL RNDNT,P9: Final,stockholm,"[15, 15]","[21, 21]",Open Gold/Premier
