Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Cha Cha Slide,Beard/Broekema,Round of 64,thepeopleschampionship,"[0, 0]","[1, 1]",Premier
Tickle Me Elmo,CRO u up?,Round of 64,thepeopleschampionship,"[21, 21]","[17, 12]",Premier
Arledge/Hobart,Munch,Round of 64,thepeopleschampionship,"[15, 21, 18]","[21, 19, 21]",Premier
CRO Double McTwist,Uossss,Round of 64,thepeopleschampionship,"[21, 21]","[16, 19]",Premier
,,Round of 64,thepeopleschampionship,"[1, 1]","[0, 0]",Premier
,,Round of 64,thepeopleschampionship,"[21, 17, 21]","[17, 21, 16]",Premier
,,Round of 64,thepeopleschampionship,"[15, 21, 21]","[21, 18, 16]",Premier
Pneumatic💥,Beard/Broekema,Round of 32,thepeopleschampionship,"[21, 21]","[17, 9]",Premier
Skill Issue,Basketball Purity,Round of 32,thepeopleschampionship,"[23, 14, 21]","[21, 21, 19]",Premier
Blind Spot,Glitch,Round of 32,thepeopleschampionship,"[16, 21, 21]","[21, 19, 18]",Premier
GFD Evasive Maneuvers,CRO Fieldhousers,Round of 32,thepeopleschampionship,"[21, 21]","[11, 19]",Premier
Critical Hit,Tickle Me Elmo,Round of 32,thepeopleschampionship,"[21, 21]","[11, 10]",Premier
GFD Birthday Sets (formerly GET CAKED),Primal,Round of 32,thepeopleschampionship,"[22, 21]","[20, 16]",Premier
Kingdom Come,Munch,Round of 32,thepeopleschampionship,"[21, 21]","[12, 9]",Premier
CRO Sam Sucks,Josh/Nick,Round of 32,thepeopleschampionship,"[21, 21]","[17, 19]",Premier
Rogue,CRO Double McTwist,Round of 32,thepeopleschampionship,"[21, 21]","[8, 7]",Premier
Daddy is always right,FCR BHAD Boys,Round of 32,thepeopleschampionship,"[21, 21]","[16, 12]",Premier
Profit Boost,,Round of 32,thepeopleschampionship,"[21, 21]","[12, 16]",Premier
,,Round of 32,thepeopleschampionship,"[21, 21]","[19, 19]",Premier
,,Round of 32,thepeopleschampionship,"[21, 21]","[11, 11]",Premier
,,Round of 32,thepeopleschampionship,"[1, 1]","[0, 0]",Premier
,,Round of 32,thepeopleschampionship,"[21, 21]","[15, 16]",Premier
,,Round of 32,thepeopleschampionship,"[16, 21, 21]","[21, 16, 18]",Premier
Pneumatic💥,Skill Issue,Round of 16,thepeopleschampionship,"[21, 21]","[12, 15]",Premier
Blind Spot,GFD Evasive Maneuvers,Round of 16,thepeopleschampionship,"[20, 21, 15]","[22, 16, 21]",Premier
