Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Katie/Fred,Adriana/Scott,Round of 32,toulouse2023,"[21, 22]","[18, 20]",Mixed Advanced 4.0+
Van Gogh and Finacial Bro,Late Night Paella,Round of 32,toulouse2023,"[12, 18]","[21, 21]",Mixed Advanced 4.0+
nk powaaline,Gaylipettes,Round of 32,toulouse2023,"[21, 21]","[16, 19]",Mixed Advanced 4.0+
Raccooligans,Flieg Doch!,Round of 32,toulouse2023,"[16, 21, 21]","[21, 15, 16]",Mixed Advanced 4.0+
Copenhammon,Les Loulou,Round of 32,toulouse2023,"[21, 21]","[15, 15]",Mixed Advanced 4.0+
Ronja/Cole,Undercharged Pressure,Round of 32,toulouse2023,"[22, 16, 21]","[20, 21, 19]",Mixed Advanced 4.0+
Na-Da,Franzi/Marcos,Round of 32,toulouse2023,"[19, 19]","[21, 21]",Mixed Advanced 4.0+
it's a 10,The air cuddlebears,Round of 32,toulouse2023,"[21, 21]","[17, 14]",Mixed Advanced 4.0+
fractal,Flip Flop,Round of 32,toulouse2023,"[21, 21]","[13, 12]",Mixed Advanced 4.0+
Abrams / Frietsch Musulin,"Nicht lang schnacken, Kopp in nacken",Round of 32,toulouse2023,"[17, 21, 21]","[21, 19, 16]",Mixed Advanced 4.0+
Pingu Panther,Roundnet Toulyon,Round of 32,toulouse2023,"[17, 21, 19]","[21, 18, 21]",Mixed Advanced 4.0+
Spare,Bad salmons,Round of 32,toulouse2023,"[21, 21]","[17, 15]",Mixed Advanced 4.0+
😄🤡🥸,RR juice gastrico,Round of 32,toulouse2023,"[23, 21]","[21, 19]",Mixed Advanced 4.0+
Alexa/Max,Coup de Tête,Round of 32,toulouse2023,"[21, 19, 21]","[17, 21, 10]",Mixed Advanced 4.0+
Backflick,Double T,Round of 32,toulouse2023,"[21, 21]","[15, 18]",Mixed Advanced 4.0+
Troughton/Mathieu,Extra Dry,Round of 32,toulouse2023,"[21, 21]","[16, 19]",Mixed Advanced 4.0+
Katie/Fred,Late Night Paella,Round of 16,toulouse2023,"[21, 16, 21]","[12, 21, 18]",Mixed Advanced 4.0+
nk powaaline,Raccooligans,Round of 16,toulouse2023,"[23, 21]","[21, 18]",Mixed Advanced 4.0+
Copenhammon,Ronja/Cole,Round of 16,toulouse2023,"[16, 21, 16]","[21, 17, 21]",Mixed Advanced 4.0+
Franzi/Marcos,it's a 10,Round of 16,toulouse2023,"[15, 11]","[21, 21]",Mixed Advanced 4.0+
fractal,Abrams / Frietsch Musulin,Round of 16,toulouse2023,"[21, 21]","[17, 12]",Mixed Advanced 4.0+
Roundnet Toulyon,Spare,Round of 16,toulouse2023,"[17, 26]","[21, 28]",Mixed Advanced 4.0+
😄🤡🥸,Alexa/Max,Round of 16,toulouse2023,"[21, 21]","[16, 15]",Mixed Advanced 4.0+
Backflick,Troughton/Mathieu,Round of 16,toulouse2023,"[21, 17, 18]","[18, 21, 21]",Mixed Advanced 4.0+
Katie/Fred,nk powaaline,Quarter-finals,toulouse2023,"[18, 21, 21]","[21, 15, 14]",Mixed Advanced 4.0+
Ronja/Cole,it's a 10,Quarter-finals,toulouse2023,"[19, 16]","[21, 21]",Mixed Advanced 4.0+
fractal,Spare,Quarter-finals,toulouse2023,"[21, 21]","[12, 18]",Mixed Advanced 4.0+
😄🤡🥸,Troughton/Mathieu,Quarter-finals,toulouse2023,"[21, 21]","[11, 11]",Mixed Advanced 4.0+
Katie/Fred,it's a 10,Semi-finals,toulouse2023,"[21, 12, 19]","[15, 21, 21]",Mixed Advanced 4.0+
fractal,😄🤡🥸,Semi-finals,toulouse2023,"[24, 21]","[22, 17]",Mixed Advanced 4.0+
it's a 10,fractal,Final,toulouse2023,"[21, 18, 21]","[18, 21, 18]",Mixed Advanced 4.0+
😄🤡🥸,Katie/Fred,Third Place,toulouse2023,"[21, 22]","[14, 20]",Mixed Advanced 4.0+
Ronja/Cole,nk powaaline,P5: Semi-finals,toulouse2023,"[0, 0]","[1, 1]",Mixed Advanced 4.0+
Troughton/Mathieu,Spare,P5: Semi-finals,toulouse2023,"[0, 0]","[1, 1]",Mixed Advanced 4.0+
nk powaaline,Spare,P5: Final,toulouse2023,"[-1, -1, -1]","[-1, -1, -1]",Mixed Advanced 4.0+
Troughton/Mathieu,Ronja/Cole,P5: Final,toulouse2023,"[-1, -1, -1]","[-1, -1, -1]",Mixed Advanced 4.0+
Raccooligans,Late Night Paella,P9: Quarter-finals,toulouse2023,"[0, 0]","[1, 1]",Mixed Advanced 4.0+
Franzi/Marcos,Copenhammon,P9: Quarter-finals,toulouse2023,"[21, 21]","[19, 19]",Mixed Advanced 4.0+
Roundnet Toulyon,Abrams / Frietsch Musulin,P9: Quarter-finals,toulouse2023,"[1, 0, 0]","[0, 1, 1]",Mixed Advanced 4.0+
Backflick,Alexa/Max,P9: Quarter-finals,toulouse2023,"[-1, -1, -1]","[-1, -1, -1]",Mixed Advanced 4.0+
Late Night Paella,Franzi/Marcos,P9: Semi-finals,toulouse2023,"[15, 12, 15]","[13, 15, 12]",Mixed Advanced 4.0+
Copenhammon,Raccooligans,P13: Semi-finals,toulouse2023,"[-1, -1, -1]","[-1, -1, -1]",Mixed Advanced 4.0+
Van Gogh and Finacial Bro,Adriana/Scott,P17: Round of 16,toulouse2023,"[18, 0]","[21, 1]",Mixed Advanced 4.0+
Flieg Doch!,Gaylipettes,P17: Round of 16,toulouse2023,"[19, 0]","[21, 1]",Mixed Advanced 4.0+
