Team Name,Wins,Losses,Result,Division,Tournament
Prime Rim,6,3,1,5.0 Premier w/NHZ,2023af
Garrett²,5,4,2,5.0 Premier w/NHZ,2023af
Tall+Dark=Handsome,7,2,3,5.0 Premier w/NHZ,2023af
Defense is Dead(ly),6,3,4,5.0 Premier w/NHZ,2023af
Over-Invested in Defense (Like the USA),5,3,5,5.0 Premier w/NHZ,2023af
Greedy,4,3,6,5.0 Premier w/NHZ,2023af
Valhalla,0,7,6,5.0 Premier w/NHZ,2023af
What's the Chance?,0,8,6,5.0 Premier w/NHZ,2023af
Mini Tramp Medalists,5,3,1,4.5 Elite w/NHZ,2023af
MarshmallMOws,0,0,2,4.5 Elite w/NHZ,2023af
Da bois,5,2,3,4.5 Elite w/NHZ,2023af
Rakes,3,5,4,4.5 Elite w/NHZ,2023af
Bex +1,2,5,5,4.5 Elite w/NHZ,2023af
Mike and spIke,1,6,6,4.5 Elite w/NHZ,2023af
Pizza Pocket Rockets,8,0,1,4.0 Advanced w/NHZ,2023af
Double Fault,6,1,2,4.0 Advanced w/NHZ,2023af
Pando,5,3,3,4.0 Advanced w/NHZ,2023af
Amanda +1,4,4,4,4.0 Advanced w/NHZ,2023af
B squared,4,4,5,4.0 Advanced w/NHZ,2023af
Chef's Beans,5,3,6,4.0 Advanced w/NHZ,2023af
it has pockets?!,3,5,7,4.0 Advanced w/NHZ,2023af
Quarter Blind,3,3,7,4.0 Advanced w/NHZ,2023af
Como Se Juega,2,5,9,4.0 Advanced w/NHZ,2023af
The A-Dawgs,0,7,10,4.0 Advanced w/NHZ,2023af
Something clever,1,6,11,4.0 Advanced w/NHZ,2023af
Yeah That’s Us,8,0,1,3.0 Intermediate,2023af
The Shanks,6,3,2,3.0 Intermediate,2023af
Perfect Consistency,6,3,3,3.0 Intermediate,2023af
Dadday Chall,5,3,4,3.0 Intermediate,2023af
Spike Overflow,7,1,5,3.0 Intermediate,2023af
The Bros,4,5,6,3.0 Intermediate,2023af
Max/Corbin,3,6,7,3.0 Intermediate,2023af
Team Thompson,1,8,8,3.0 Intermediate,2023af
The spins,3,5,9,3.0 Intermediate,2023af
Ballzdropped,4,4,10,3.0 Intermediate,2023af
Mom and Dad,4,4,11,3.0 Intermediate,2023af
Super Smash Brothers In Law,1,3,12,3.0 Intermediate,2023af
TexMex,0,7,13,3.0 Intermediate,2023af
