Team Name,Wins,Losses,Result,Division,Tournament
FAMILY SIZE,4,2,1,4.5 Elite w/NHZ,2023alpine
Prestige Worldwide,3,3,2,4.5 Elite w/NHZ,2023alpine
Baguette Bomb,0,0,3,4.5 Elite w/NHZ,2023alpine
Wave Dash,4,2,4,4.5 Elite w/NHZ,2023alpine
dummy dummy dummy,3,2,5,4.5 Elite w/NHZ,2023alpine
Inconspicuous Cleats,3,2,6,4.5 Elite w/NHZ,2023alpine
Anderson/Cote,1,5,7,4.5 Elite w/NHZ,2023alpine
COOK some SORENder,0,6,8,4.5 Elite w/NHZ,2023alpine
We back,5,1,1,4.0 Competitive w/NHZ,2023alpine
Yeah That’s Us,5,2,2,4.0 Competitive w/NHZ,2023alpine
Balls out,6,1,3,4.0 Competitive w/NHZ,2023alpine
ace down,4,2,4,4.0 Competitive w/NHZ,2023alpine
MC'DS,5,3,5,4.0 Competitive w/NHZ,2023alpine
The monos,3,4,6,4.0 Competitive w/NHZ,2023alpine
Pink eye,4,3,7,4.0 Competitive w/NHZ,2023alpine
Spike-a-delic,3,4,8,4.0 Competitive w/NHZ,2023alpine
"Swami, slippy, slappy...Samsonite!",2,4,9,4.0 Competitive w/NHZ,2023alpine
WIS,3,4,10,4.0 Competitive w/NHZ,2023alpine
The great googly moogilies,2,5,11,4.0 Competitive w/NHZ,2023alpine
Peachy Keen,2,5,12,4.0 Competitive w/NHZ,2023alpine
Feet,0,6,13,4.0 Competitive w/NHZ,2023alpine
Mom and Dad,6,0,1,3.0 Recreational,2023alpine
The Bus Drivers,4,2,2,3.0 Recreational,2023alpine
penes pequeños,4,2,3,3.0 Recreational,2023alpine
Doug,3,3,4,3.0 Recreational,2023alpine
Team Fortnite,2,4,5,3.0 Recreational,2023alpine
Spike Sisters,2,4,6,3.0 Recreational,2023alpine
Nice gyatss,0,5,7,3.0 Recreational,2023alpine
The Wham-Bam-Spike-It-Clan,2,3,7,3.0 Recreational,2023alpine
