Team Name,Wins,Losses,Result,Division,Tournament
BackPaq,8,0,1,5.0 Premier w/NHZ,2023dixie
Xande/Church,6,3,2,5.0 Premier w/NHZ,2023dixie
Chandler is my handler,6,3,3,5.0 Premier w/NHZ,2023dixie
Solly & Trent,4,5,4,5.0 Premier w/NHZ,2023dixie
Southside Spike,3,5,5,5.0 Premier w/NHZ,2023dixie
Reverse Reverse,0,0,6,5.0 Premier w/NHZ,2023dixie
Jake’s from State Farm,1,8,7,5.0 Premier w/NHZ,2023dixie
Dylan/Kirstie/Danny,7,0,1,4.5 Elite w/NHZ,2023dixie
Bushlow,6,1,2,4.5 Elite w/NHZ,2023dixie
The Savage Prince,5,2,3,4.5 Elite w/NHZ,2023dixie
Dizzy,0,0,4,4.5 Elite w/NHZ,2023dixie
Baguette Bomb,0,0,5,4.5 Elite w/NHZ,2023dixie
Egg,2,5,6,4.5 Elite w/NHZ,2023dixie
Take 2nd,4,4,7,4.5 Elite w/NHZ,2023dixie
Elevate,1,3,8,4.5 Elite w/NHZ,2023dixie
Curly Q's,0,0,9,4.5 Elite w/NHZ,2023dixie
Cool as beans,1,5,10,4.5 Elite w/NHZ,2023dixie
Jason MOmoa,0,0,11,4.5 Elite w/NHZ,2023dixie
Wheaties box rejects,8,1,1,4.0 Advanced w/NHZ,2023dixie
Rakes,6,4,2,4.0 Advanced w/NHZ,2023dixie
The Real Slim Shadies,5,5,3,4.0 Advanced w/NHZ,2023dixie
C-ville Bros.,3,7,4,4.0 Advanced w/NHZ,2023dixie
Durf or Nothin,2,6,5,4.0 Advanced w/NHZ,2023dixie
literally stupid,4,4,6,4.0 Advanced w/NHZ,2023dixie
Spike Spies,0,8,6,4.0 Advanced w/NHZ,2023dixie
Clean Combo,8,3,1,3.0 Intermediate,2023dixie
Idaho Boys,6,4,2,3.0 Intermediate,2023dixie
Spikebros,5,4,3,3.0 Intermediate,2023dixie
Bananabros,0,8,4,3.0 Intermediate,2023dixie
