Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Solly & Trent,Southside Spike,Quarter-finals,2023dixie,"[21, 21]","[13, 16]",5.0 Premier w/NHZ
BackPaq,Solly & Trent,Semi-finals,2023dixie,"[21, 21]","[13, 19]",5.0 Premier w/NHZ
Xande/Church,Chandler is my handler,Final,2023dixie,"[21, 27, 21]","[17, 29, 19]",5.0 Premier w/NHZ
Xande/Church,Jake’s from State Farm,1st place,2023dixie,"[21, 21]","[13, 18]",5.0 Premier w/NHZ
The Real Slim Shadies,Durf or Nothin,Quarter-finals,2023dixie,"[21, 21]","[16, 19]",4.0 Advanced w/NHZ
Wheaties box rejects,The Real Slim Shadies,Semi-finals,2023dixie,"[18, 21, 15]","[21, 19, 12]",4.0 Advanced w/NHZ
Rakes,C-ville Bros.,Final,2023dixie,"[21, 21]","[14, 8]",4.0 Advanced w/NHZ
Rakes,Spike Spies,1st place,2023dixie,"[21, 21]","[13, 18]",4.0 Advanced w/NHZ
literally stupid,C-ville Bros.,1st place,2023dixie,"[0, 0]","[5, 5]",4.0 Advanced w/NHZ
literally stupid,Spike Spies,P5: Final,2023dixie,"[-1, -1, -1]","[-1, -1, -1]",4.0 Advanced w/NHZ
literally stupid,Spike Spies,P5: Final,2023dixie,"[-1, -1, -1]","[-1, -1, -1]",4.0 Advanced w/NHZ
