Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Mo Mundy Mo Problems,Egg,Round of 32,2023fts,"[21, 23]","[18, 21]",4.5 Elite w/NHZ
14+21,Rakes,Round of 32,2023fts,"[21, 21]","[13, 13]",4.5 Elite w/NHZ
Traylor Park Boys,Mo Mundy Mo Problems,Round of 16,2023fts,"[21, 21]","[17, 18]",4.5 Elite w/NHZ
This Prince Has Her Hart,Krunkle,Round of 16,2023fts,"[21, 18, 21]","[17, 21, 12]",4.5 Elite w/NHZ
Rice Drop,14+21,Round of 16,2023fts,"[21, 21]","[14, 14]",4.5 Elite w/NHZ
Maximum Effort,The Sweet Life of Stokes and Cody,Round of 16,2023fts,"[15, 17]","[21, 21]",4.5 Elite w/NHZ
Traylor Park Boys,This Prince Has Her Hart,Quarter-finals,2023fts,"[1, 1]","[0, 0]",4.5 Elite w/NHZ
Rice Drop,The Sweet Life of Stokes and Cody,Quarter-finals,2023fts,"[21, 21, 14]","[23, 16, 21]",4.5 Elite w/NHZ
Traylor Park Boys,The Sweet Life of Stokes and Cody,Semi-finals,2023fts,"[21, 21]","[17, 14]",4.5 Elite w/NHZ
Paq’s delinquent children,Disordered,Final,2023fts,"[18, 21, 26]","[21, 16, 24]",4.5 Elite w/NHZ
Paq’s delinquent children,Bushlow,1st place,2023fts,"[21, 21]","[13, 12]",4.5 Elite w/NHZ
Aces only,Disordered,1st place,2023fts,"[22, 17]","[24, 21]",4.5 Elite w/NHZ
Paq’s delinquent children,Matt and Isaac R gud at spIkEbAll,3rd place,2023fts,"[21, 21]","[12, 7]",4.5 Elite w/NHZ
Rice Drop,This Prince Has Her Hart,P5: Semi-finals,2023fts,"[16, 18]","[21, 21]",4.5 Elite w/NHZ
Aces only,Bushlow,P5: Final,2023fts,"[21, 19, 26]","[17, 21, 24]",4.5 Elite w/NHZ
Krunkle,Mo Mundy Mo Problems,P9: Quarter-finals,2023fts,"[21, 21]","[19, 19]",4.5 Elite w/NHZ
Maximum Effort,14+21,P9: Quarter-finals,2023fts,"[17, 21, 19]","[21, 15, 21]",4.5 Elite w/NHZ
Krunkle,14+21,P9: Semi-finals,2023fts,"[22, 1]","[20, 0]",4.5 Elite w/NHZ
Matt and Isaac R gud at spIkEbAll,RRP Monkey Business,P9: Final,2023fts,"[15, 8, 11]","[11, 15, 15]",4.5 Elite w/NHZ
Maximum Effort,Mo Mundy Mo Problems,P13: Semi-finals,2023fts,"[16, 21, 21]","[21, 16, 19]",4.5 Elite w/NHZ
Egg,Rakes,P17: Semi-finals,2023fts,"[21, 19]","[0, 0]",4.5 Elite w/NHZ
Skip to my Lululemon,SHpOooP,P17: Final,2023fts,"[20, 20]","[22, 22]",4.5 Elite w/NHZ
Egg,Rakes,P17: Semi-finals,2023fts,"[21, 19]","[0, 0]",4.5 Elite w/NHZ
Skip to my Lululemon,SHpOooP,P17: Final,2023fts,"[20, 20]","[22, 22]",4.5 Elite w/NHZ
Bongos,Zesty Thangs,Round of 16,2023fts,"[19, 26, 21]","[21, 24, 19]",4.0 Advanced w/NHZ
Spike Tysons,Bongos,Quarter-finals,2023fts,"[21, 21]","[6, 12]",4.0 Advanced w/NHZ
Brennen/Daniel,Bongos,P5: Semi-finals,2023fts,"[18, 21, 14]","[21, 16, 21]",4.0 Advanced w/NHZ
RRP Guilty,Horse Milk,P5: Final,2023fts,"[21, 21]","[17, 11]",4.0 Advanced w/NHZ
Elder/Younkin,GREEEN TEE,Round of 16,2023fts,"[21, 17, 15]","[17, 21, 21]",3.0 Intermediate
Rubber Duckies,GREEEN TEE,Quarter-finals,2023fts,"[21, 21]","[17, 8]",3.0 Intermediate
Knights of the Roundnet,Sanford’s Grandchildren,Quarter-finals,2023fts,"[21, 21]","[17, 18]",3.0 Intermediate
Rubber Duckies,Knights of the Roundnet,Semi-finals,2023fts,"[19, 21, 18]","[21, 18, 21]",3.0 Intermediate
Second Place,21 Bridges,Final,2023fts,"[14, 21, 17]","[21, 16, 21]",3.0 Intermediate
Peachy keen team,Second Place,1st place,2023fts,"[14, 16]","[21, 21]",3.0 Intermediate
21 Bridges,LegendaryShowdown,1st place,2023fts,"[21, 21]","[12, 19]",3.0 Intermediate
Second Place,girlie squad 💅🏼,3rd place,2023fts,"[21, 22]","[13, 20]",3.0 Intermediate
Sanford’s Grandchildren,GREEEN TEE,P5: Semi-finals,2023fts,"[21, 21]","[18, 15]",3.0 Intermediate
LegendaryShowdown,Peachy keen team,P5: Final,2023fts,"[12, 18]","[21, 21]",3.0 Intermediate
