Team Name,Wins,Losses,Result,Division,Tournament
Name team,7,0,1,4.0 Competitive w/NHZ,2023herriman
Mo Mundy Mo Problems,4,3,2,4.0 Competitive w/NHZ,2023herriman
Young Dynasty,0,0,3,4.0 Competitive w/NHZ,2023herriman
Revenge of the Seth,4,3,4,4.0 Competitive w/NHZ,2023herriman
The Stoke,2,5,5,4.0 Competitive w/NHZ,2023herriman
Let em Cook!,6,1,5,4.0 Competitive w/NHZ,2023herriman
Fire & Ice,0,0,7,4.0 Competitive w/NHZ,2023herriman
Foot Faults,4,3,7,4.0 Competitive w/NHZ,2023herriman
Chef’s Rockstar,3,3,9,4.0 Competitive w/NHZ,2023herriman
R-City Runners,3,3,9,4.0 Competitive w/NHZ,2023herriman
Pocket Aces,3,5,11,4.0 Competitive w/NHZ,2023herriman
StarBoys,2,5,12,4.0 Competitive w/NHZ,2023herriman
pink tacos,1,5,13,4.0 Competitive w/NHZ,2023herriman
Gravity Spikers,5,1,1,3.0 Recreational,2023herriman
T-Birds track coaches,3,4,2,3.0 Recreational,2023herriman
Binary Boyz,4,3,3,3.0 Recreational,2023herriman
BVB bros,4,2,4,3.0 Recreational,2023herriman
T-swift gang,1,1,5,3.0 Recreational,2023herriman
The Vets,0,6,6,3.0 Recreational,2023herriman
