Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Spike Brothers,dummy dummy dummy,Round of 16,2023lindon,[25],[23],4.5 Elite w/NHZ
Cote D'Ivoire,Spike Brothers,Quarter-finals,2023lindon,[18],[21],4.5 Elite w/NHZ
JustWright,Momentum,Quarter-finals,2023lindon,[13],[21],4.5 Elite w/NHZ
Spike Brothers,Momentum,Semi-finals,2023lindon,[21],[18],4.5 Elite w/NHZ
What Hertz the MOst 2.0,Spikers Synonymous,Final,2023lindon,[18],[21],4.5 Elite w/NHZ
What Hertz the MOst 2.0,Drippin' the Drops,1st place,2023lindon,[21],[15],4.5 Elite w/NHZ
Spikers Synonymous,Schwayyy,1st place,2023lindon,[21],[16],4.5 Elite w/NHZ
Brad/Seth,Drippin' the Drops,3rd place,2023lindon,[16],[21],4.5 Elite w/NHZ
Schwayyy,Enigma,3rd place,2023lindon,[21],[14],4.5 Elite w/NHZ
JustWright,Cote D'Ivoire,P5: Semi-finals,2023lindon,[22],[20],4.5 Elite w/NHZ
Schwayyy,Drippin' the Drops,P5: Final,2023lindon,[21],[18],4.5 Elite w/NHZ
Brad/Seth,Enigma,P9: Final,2023lindon,[15],[12],4.5 Elite w/NHZ
Brad/Seth,Enigma,P9: Final,2023lindon,[15],[12],4.5 Elite w/NHZ
Some Feller’s Cote,The specialists,Quarter-finals,2023lindon,[21],[17],4.0 Advanced w/NHZ
The Outer Rim,Some Feller’s Cote,Semi-finals,2023lindon,[18],[21],4.0 Advanced w/NHZ
Peachy Keen,Noice,Final,2023lindon,[13],[21],4.0 Advanced w/NHZ
Peachy Keen,GoldSmiths,1st place,2023lindon,[21],[17],4.0 Advanced w/NHZ
Platypus Bazooka,Noice,1st place,2023lindon,[10],[21],4.0 Advanced w/NHZ
Platypus Bazooka,GoldSmiths,P5: Final,2023lindon,[21],[16],4.0 Advanced w/NHZ
Platypus Bazooka,GoldSmiths,P5: Final,2023lindon,[21],[16],4.0 Advanced w/NHZ
Spike Tyson,Tacos,Round of 16,2023lindon,[11],[21],3.0 Recreational
Not today satan,Tacos,Quarter-finals,2023lindon,[21],[9],3.0 Recreational
Guess Work,Wubba Lubba Dub Dub,Quarter-finals,2023lindon,[21],[12],3.0 Recreational
Not today satan,Guess Work,Semi-finals,2023lindon,[19],[21],3.0 Recreational
B. Beavers,Carter Boys,Final,2023lindon,[21],[16],3.0 Recreational
B. Beavers,Round 3,1st place,2023lindon,[21],[11],3.0 Recreational
Team Fortnite,Carter Boys,1st place,2023lindon,[14],[21],3.0 Recreational
Round 3,Mexicanas,3rd place,2023lindon,[21],[5],3.0 Recreational
Wubba Lubba Dub Dub,Tacos,P5: Semi-finals,2023lindon,[2],[1],3.0 Recreational
Team Fortnite,Round 3,P5: Final,2023lindon,[15],[21],3.0 Recreational
