Team Name,Wins,Losses,Result,Division,Tournament
beep boop,8,0,0,4.0-4.5 Competitive,2023msu
Emeth Popeject,5,4,0,4.0-4.5 Competitive,2023msu
Lights Out,5,4,0,4.0-4.5 Competitive,2023msu
Lumin Ballers,0,6,0,4.0-4.5 Competitive,2023msu
Taramisu,2,6,0,4.0-4.5 Competitive,2023msu
Thomp Gonz,7,2,0,4.0-4.5 Competitive,2023msu
Wunsch Meat 2: Revenge of the Meat,6,3,0,4.0-4.5 Competitive,2023msu
yeah buddies,0,8,0,4.0-4.5 Competitive,2023msu
Arapahoe Ave,5,2,0,2.0-3.0 Recreational,2023msu
Butt Sniffers,4,4,0,2.0-3.0 Recreational,2023msu
Chaserz,8,0,0,2.0-3.0 Recreational,2023msu
Emilphie,4,5,0,2.0-3.0 Recreational,2023msu
Jake Paulers,6,1,0,2.0-3.0 Recreational,2023msu
Los Pollos Hermanos,4,3,0,2.0-3.0 Recreational,2023msu
Moose knuckles,0,7,0,2.0-3.0 Recreational,2023msu
Shake and Sizzle,1,6,0,2.0-3.0 Recreational,2023msu
Spike-ologist,2,5,0,2.0-3.0 Recreational,2023msu
Teasers,5,3,0,2.0-3.0 Recreational,2023msu
Teton Tramps,2,5,0,2.0-3.0 Recreational,2023msu
