Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Wunsch Meat 2: Revenge of the Meat,Taramisu,Quarter-finals,2023msu,"[21, 21]","[18, 19]",4.0-4.5 Competitive
beep boop,Wunsch Meat 2: Revenge of the Meat,Semi-finals,2023msu,"[21, 21]","[18, 17]",4.0-4.5 Competitive
Thomp Gonz,Emeth Popeject,Final,2023msu,"[14, 21, 21]","[21, 17, 17]",4.0-4.5 Competitive
Thomp Gonz,yeah buddies,1st place,2023msu,"[21, 21]","[14, 19]",4.0-4.5 Competitive
Emeth Popeject,Lights Out,1st place,2023msu,"[21, 21]","[18, 17]",4.0-4.5 Competitive
Lights Out,yeah buddies,P5: Final,2023msu,"[21, 21]","[19, 16]",4.0-4.5 Competitive
Lights Out,yeah buddies,P5: Final,2023msu,"[21, 21]","[19, 16]",4.0-4.5 Competitive
Spike-ologist,Teton Tramps,Round of 16,2023msu,"[21, 21]","[18, 12]",2.0-3.0 Recreational
Chaserz,Spike-ologist,Quarter-finals,2023msu,"[21, 21]","[16, 14]",2.0-3.0 Recreational
Arapahoe Ave,Butt Sniffers,Quarter-finals,2023msu,"[21, 12, 19]","[15, 21, 21]",2.0-3.0 Recreational
Chaserz,Butt Sniffers,Semi-finals,2023msu,"[21, 8, 21]","[8, 21, 19]",2.0-3.0 Recreational
Jake Paulers,Teasers,Final,2023msu,"[14, 21, 21]","[21, 18, 15]",2.0-3.0 Recreational
Jake Paulers,Emilphie,1st place,2023msu,"[21, 21]","[14, 9]",2.0-3.0 Recreational
Los Pollos Hermanos,Teasers,1st place,2023msu,"[11, 10]","[21, 21]",2.0-3.0 Recreational
Emilphie,Moose knuckles,3rd place,2023msu,"[0, 0]","[-1, -1]",2.0-3.0 Recreational
Teasers,Shake and Sizzle,3rd place,2023msu,"[21, 21]","[12, 13]",2.0-3.0 Recreational
Arapahoe Ave,Spike-ologist,P5: Semi-finals,2023msu,"[21, 21]","[14, 11]",2.0-3.0 Recreational
Los Pollos Hermanos,Emilphie,P5: Final,2023msu,"[19, 19]","[21, 21]",2.0-3.0 Recreational
Moose knuckles,Shake and Sizzle,P9: Final,2023msu,"[19, 19]","[21, 21]",2.0-3.0 Recreational
Moose knuckles,Shake and Sizzle,P9: Final,2023msu,"[19, 19]","[21, 21]",2.0-3.0 Recreational
