Team Name,Wins,Losses,Result,Division,Tournament
Disordered,8,0,1,4.5 Elite w/NHZ,2023rexburg
Good Guys,5,3,2,4.5 Elite w/NHZ,2023rexburg
Tart,7,1,3,4.5 Elite w/NHZ,2023rexburg
Wasians,5,3,4,4.5 Elite w/NHZ,2023rexburg
Smooth Brain,6,3,5,4.5 Elite w/NHZ,2023rexburg
Punschy,2,7,6,4.5 Elite w/NHZ,2023rexburg
Great Left’s,3,5,7,4.5 Elite w/NHZ,2023rexburg
The Best Fortnite Duo at OMS,3,5,7,4.5 Elite w/NHZ,2023rexburg
Cobra Kai,3,4,9,4.5 Elite w/NHZ,2023rexburg
Matas/Krulish,1,5,10,4.5 Elite w/NHZ,2023rexburg
No Cap,3,3,10,4.5 Elite w/NHZ,2023rexburg
Clean Combo,0,7,10,4.5 Elite w/NHZ,2023rexburg
Ain't no way,7,0,1,4.0 Advanced w/NHZ,2023rexburg
Ice Spike,5,2,2,4.0 Advanced w/NHZ,2023rexburg
Premier Balls,5,2,3,4.0 Advanced w/NHZ,2023rexburg
Buc-ee's Boys,3,5,4,4.0 Advanced w/NHZ,2023rexburg
Retirement Spikers,4,2,5,4.0 Advanced w/NHZ,2023rexburg
Underwood/Calandrella,3,2,6,4.0 Advanced w/NHZ,2023rexburg
Late comers,2,4,6,4.0 Advanced w/NHZ,2023rexburg
Itsy Bitsy Spikers,2,4,6,4.0 Advanced w/NHZ,2023rexburg
Cole+Rylie,1,5,9,4.0 Advanced w/NHZ,2023rexburg
Strickler/Morley,0,6,10,4.0 Advanced w/NHZ,2023rexburg
Ball Busters,7,3,1,3.0 Intermediate,2023rexburg
Super Smash Brothers,8,2,2,3.0 Intermediate,2023rexburg
Parental Advisory,9,1,3,3.0 Intermediate,2023rexburg
Miller/Brenengen,7,2,4,3.0 Intermediate,2023rexburg
Spike Heads,8,2,5,3.0 Intermediate,2023rexburg
Spikealogical warefare,6,2,6,3.0 Intermediate,2023rexburg
Johnson/Rector,5,4,7,3.0 Intermediate,2023rexburg
Bazzle/Erickson,6,3,7,3.0 Intermediate,2023rexburg
No Name,8,1,9,3.0 Intermediate,2023rexburg
Spike Tyson,5,4,10,3.0 Intermediate,2023rexburg
Osborn/Stricker,5,4,11,3.0 Intermediate,2023rexburg
The knights,3,5,11,3.0 Intermediate,2023rexburg
reeses puffs,7,3,13,3.0 Intermediate,2023rexburg
Schroeer/Johnson,6,4,14,3.0 Intermediate,2023rexburg
PB&J,4,5,15,3.0 Intermediate,2023rexburg
Andersen/Palm,4,5,15,3.0 Intermediate,2023rexburg
Uyechi/Grebe,5,4,17,3.0 Intermediate,2023rexburg
Elder/Kelly,4,5,18,3.0 Intermediate,2023rexburg
Terraciano/Davidson,4,5,19,3.0 Intermediate,2023rexburg
Knauert/Gritzmaker,3,5,20,3.0 Intermediate,2023rexburg
Moretz/Gibson,4,6,21,3.0 Intermediate,2023rexburg
First serve,3,7,22,3.0 Intermediate,2023rexburg
Taytay,2,7,23,3.0 Intermediate,2023rexburg
Black and Tan,4,5,23,3.0 Intermediate,2023rexburg
The cleaning crew,3,7,25,3.0 Intermediate,2023rexburg
No name2,1,8,26,3.0 Intermediate,2023rexburg
Scipioni/Garcia,0,8,27,3.0 Intermediate,2023rexburg
Gordon/Holguin,1,7,27,3.0 Intermediate,2023rexburg
Dean/Tibbles,0,8,29,3.0 Intermediate,2023rexburg
