Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
The Best Fortnite Duo at OMS,Cobra Kai,Round of 16,2023rexburg,"[21, 21]","[15, 18]",4.5 Elite w/NHZ
Smooth Brain,Clean Combo,Round of 16,2023rexburg,"[21, 21]","[15, 19]",4.5 Elite w/NHZ
Tart,The Best Fortnite Duo at OMS,Quarter-finals,2023rexburg,"[21, 21]","[15, 11]",4.5 Elite w/NHZ
Good Guys,Smooth Brain,Quarter-finals,2023rexburg,"[21, 21]","[15, 17]",4.5 Elite w/NHZ
Tart,Good Guys,Semi-finals,2023rexburg,"[21, 18, 17]","[18, 21, 21]",4.5 Elite w/NHZ
Disordered,Wasians,Final,2023rexburg,"[21, 21]","[16, 12]",4.5 Elite w/NHZ
Disordered,Great Left’s,1st place,2023rexburg,"[23, 21]","[21, 8]",4.5 Elite w/NHZ
Wasians,Punschy,1st place,2023rexburg,"[21, 21]","[17, 12]",4.5 Elite w/NHZ
Great Left’s,Matas/Krulish,3rd place,2023rexburg,"[21, 14, 21]","[14, 21, 14]",4.5 Elite w/NHZ
No Cap,Punschy,3rd place,2023rexburg,"[16, 21, 19]","[21, 14, 21]",4.5 Elite w/NHZ
Smooth Brain,The Best Fortnite Duo at OMS,P5: Semi-finals,2023rexburg,"[21, 23, 21]","[19, 25, 18]",4.5 Elite w/NHZ
Punschy,Great Left’s,P5: Final,2023rexburg,"[1, 1]","[0, 0]",4.5 Elite w/NHZ
Cobra Kai,Clean Combo,P9: Semi-finals,2023rexburg,"[21, 21]","[18, 18]",4.5 Elite w/NHZ
Matas/Krulish,No Cap,P9: Final,2023rexburg,"[-1, -1, -1]","[-1, -1, -1]",4.5 Elite w/NHZ
Cobra Kai,Clean Combo,P9: Semi-finals,2023rexburg,"[21, 21]","[18, 18]",4.5 Elite w/NHZ
Matas/Krulish,No Cap,P9: Final,2023rexburg,"[-1, -1, -1]","[-1, -1, -1]",4.5 Elite w/NHZ
Late comers,Cole+Rylie,Round of 16,2023rexburg,"[21, 21]","[12, 16]",4.0 Advanced w/NHZ
Ain't no way,Late comers,Quarter-finals,2023rexburg,"[21, 21]","[16, 18]",4.0 Advanced w/NHZ
Premier Balls,Underwood/Calandrella,Quarter-finals,2023rexburg,"[21, 23, 21]","[11, 25, 19]",4.0 Advanced w/NHZ
Ain't no way,Premier Balls,Semi-finals,2023rexburg,"[21, 25]","[16, 23]",4.0 Advanced w/NHZ
Buc-ee's Boys,Ice Spike,Final,2023rexburg,"[0, 0]","[1, 1]",4.0 Advanced w/NHZ
