Team Name,Wins,Losses,Result,Division,Tournament
The English Setters,3,0,1,Elite,2023sandy
Broke Back Mountain,2,1,2,Elite,2023sandy
dummy dummy dummy,2,1,3,Elite,2023sandy
Good with Anything,1,2,4,Elite,2023sandy
Feller? I barely know her!,2,1,5,Elite,2023sandy
Short Shorts,1,2,6,Elite,2023sandy
Koko Danny,0,2,7,Elite,2023sandy
New Marshalls in Town,0,2,7,Elite,2023sandy
serving looks 👀,5,3,1,4.0 Advanced w/NHZ,2023sandy
Yankees,5,4,2,4.0 Advanced w/NHZ,2023sandy
The Strikers,5,3,3,4.0 Advanced w/NHZ,2023sandy
The brothas,4,4,4,4.0 Advanced w/NHZ,2023sandy
Slamma Jamma,2,1,5,4.0 Advanced w/NHZ,2023sandy
Shark Bait,3,5,5,4.0 Advanced w/NHZ,2023sandy
Peachy keen team,3,5,7,4.0 Advanced w/NHZ,2023sandy
The duckaneers,1,7,7,4.0 Advanced w/NHZ,2023sandy
Founding Spikers,2,1,9,4.0 Advanced w/NHZ,2023sandy
The Dragons,2,2,10,4.0 Advanced w/NHZ,2023sandy
Team Package,0,2,11,4.0 Advanced w/NHZ,2023sandy
Trippin Balls,0,7,11,4.0 Advanced w/NHZ,2023sandy
Team India,0,2,13,4.0 Advanced w/NHZ,2023sandy
Founding Spikers,5,1,0,3.0 Recreational,2023sandy
Slamma Jamma,3,3,0,3.0 Recreational,2023sandy
Team India,0,6,0,3.0 Recreational,2023sandy
Team Package,4,2,0,3.0 Recreational,2023sandy
