Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
The English Setters,New Marshalls in Town,Quarter-finals,2023sandy,"[21, 21]","[18, 8]",Elite
Short Shorts,dummy dummy dummy,Quarter-finals,2023sandy,"[18, 23]","[21, 25]",Elite
The English Setters,dummy dummy dummy,Semi-finals,2023sandy,"[21, 21]","[12, 19]",Elite
Good with Anything,Broke Back Mountain,Final,2023sandy,"[18, 19]","[21, 21]",Elite
Good with Anything,Feller? I barely know her!,1st place,2023sandy,"[17, 21, 21]","[21, 16, 19]",Elite
Broke Back Mountain,Koko Danny,1st place,2023sandy,"[16, 21, 21]","[21, 17, 19]",Elite
Short Shorts,New Marshalls in Town,P5: Semi-finals,2023sandy,"[18, 21, 22]","[21, 17, 20]",Elite
Koko Danny,Feller? I barely know her!,P5: Final,2023sandy,"[18, 15, 11]","[21, 13, 15]",Elite
Short Shorts,New Marshalls in Town,P5: Semi-finals,2023sandy,"[18, 21, 22]","[21, 17, 20]",Elite
Koko Danny,Feller? I barely know her!,P5: Final,2023sandy,"[18, 15, 11]","[21, 13, 15]",Elite
Trippin Balls,The duckaneers,Round of 16,2023sandy,"[15, 14]","[21, 21]",4.0 Advanced w/NHZ
Yankees,Team India,Round of 16,2023sandy,"[21, 21]","[4, 5]",4.0 Advanced w/NHZ
The Dragons,Slamma Jamma,Round of 16,2023sandy,"[17, 21, 14]","[21, 18, 21]",4.0 Advanced w/NHZ
The Strikers,The duckaneers,Quarter-finals,2023sandy,"[21, 20, 21]","[19, 22, 17]",4.0 Advanced w/NHZ
Yankees,Slamma Jamma,Quarter-finals,2023sandy,"[21, 21]","[16, 13]",4.0 Advanced w/NHZ
The Strikers,Yankees,Semi-finals,2023sandy,"[15, 24]","[21, 26]",4.0 Advanced w/NHZ
The brothas,serving looks 👀,Final,2023sandy,"[13, 21, 19]","[21, 15, 21]",4.0 Advanced w/NHZ
The brothas,Shark Bait,1st place,2023sandy,"[21, 22]","[15, 20]",4.0 Advanced w/NHZ
serving looks 👀,Peachy keen team,1st place,2023sandy,"[21, 21]","[17, 17]",4.0 Advanced w/NHZ
Shark Bait,Founding Spikers,3rd place,2023sandy,"[14, 21, 21]","[21, 15, 18]",4.0 Advanced w/NHZ
Peachy keen team,Team Package,3rd place,2023sandy,"[21, 15, 21]","[15, 21, 16]",4.0 Advanced w/NHZ
Slamma Jamma,The duckaneers,P5: Semi-finals,2023sandy,"[21, 12, 15]","[12, 15, 11]",4.0 Advanced w/NHZ
Peachy keen team,Shark Bait,P5: Final,2023sandy,"[15, 17]","[21, 21]",4.0 Advanced w/NHZ
The Dragons,Team India,P9: Quarter-finals,2023sandy,"[21, 21]","[7, 12]",4.0 Advanced w/NHZ
Trippin Balls,The Dragons,P9: Semi-finals,2023sandy,"[0, 0]","[5, 5]",4.0 Advanced w/NHZ
Founding Spikers,Team Package,P9: Final,2023sandy,"[21, 21]","[15, 15]",4.0 Advanced w/NHZ
