Team Name,Wins,Losses,Result,Division,Tournament
Big Red Dead Redemption,6,2,1,4.5 Elite w/NHZ,2023spike-night
good.,6,2,2,4.5 Elite w/NHZ,2023spike-night
Drip Drop,6,2,3,4.5 Elite w/NHZ,2023spike-night
Knee Serves Only,4,4,4,4.5 Elite w/NHZ,2023spike-night
Elevate,3,5,5,4.5 Elite w/NHZ,2023spike-night
The Lost Boys,6,2,6,4.5 Elite w/NHZ,2023spike-night
Arm Problems,6,2,7,4.5 Elite w/NHZ,2023spike-night
DK Banana Slamma,0,0,8,4.5 Elite w/NHZ,2023spike-night
Feller/Page,6,2,9,4.5 Elite w/NHZ,2023spike-night
Seth Level Midnight,5,4,10,4.5 Elite w/NHZ,2023spike-night
Past my Bedtime,3,6,11,4.5 Elite w/NHZ,2023spike-night
Double Fault,3,6,12,4.5 Elite w/NHZ,2023spike-night
Unfair Advantage,2,5,13,4.5 Elite w/NHZ,2023spike-night
L&L’s Hawaiian food,1,5,14,4.5 Elite w/NHZ,2023spike-night
Father son,1,5,15,4.5 Elite w/NHZ,2023spike-night
Traffic Jams,0,8,16,4.5 Elite w/NHZ,2023spike-night
dummy dummy dummy,9,0,1,4.0 Advanced w/NHZ,2023spike-night
Sibling Supremacy,7,2,2,4.0 Advanced w/NHZ,2023spike-night
Out of Pocket,8,2,3,4.0 Advanced w/NHZ,2023spike-night
noah on two,6,3,4,4.0 Advanced w/NHZ,2023spike-night
NET-FLICKS,7,3,5,4.0 Advanced w/NHZ,2023spike-night
Chef's Beans,5,5,6,4.0 Advanced w/NHZ,2023spike-night
giggle gang,5,5,7,4.0 Advanced w/NHZ,2023spike-night
Como Se Juega,3,7,8,4.0 Advanced w/NHZ,2023spike-night
Trademarked ™,5,4,9,4.0 Advanced w/NHZ,2023spike-night
Spike-a-delic,3,6,10,4.0 Advanced w/NHZ,2023spike-night
Spicy Spikers,3,5,11,4.0 Advanced w/NHZ,2023spike-night
Peachy keen team,2,7,11,4.0 Advanced w/NHZ,2023spike-night
Gabe's Replacement,0,8,13,4.0 Advanced w/NHZ,2023spike-night
ÖDMJUK,7,1,1,3.0 Intermediate,2023spike-night
The snack that smiles back,6,3,2,3.0 Intermediate,2023spike-night
K Strong,7,1,3,3.0 Intermediate,2023spike-night
Monkey never cramps,5,3,4,3.0 Intermediate,2023spike-night
Predators,5,2,5,3.0 Intermediate,2023spike-night
Spiker Gang,4,2,6,3.0 Intermediate,2023spike-night
Spike Sisterhood,3,4,6,3.0 Intermediate,2023spike-night
Yee haw,3,5,6,3.0 Intermediate,2023spike-night
soggy cardboard,1,5,9,3.0 Intermediate,2023spike-night
Katara and sokka,1,5,10,3.0 Intermediate,2023spike-night
What’s up Denny’s,0,6,10,3.0 Intermediate,2023spike-night
