Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
good.,Traffic Jams,Round of 16,2023spike-night,"[21, 21]","[8, 9]",4.5 Elite w/NHZ
Feller/Page,Traffic Jams,P9: Quarter-finals,2023spike-night,"[21, 21]","[6, 12]",4.5 Elite w/NHZ
Past my Bedtime,Unfair Advantage,P9: Quarter-finals,2023spike-night,"[24, 23]","[22, 21]",4.5 Elite w/NHZ
Feller/Page,Past my Bedtime,P9: Semi-finals,2023spike-night,"[24, 21]","[22, 11]",4.5 Elite w/NHZ
Seth Level Midnight,Double Fault,P9: Final,2023spike-night,"[17, 21, 21]","[21, 18, 19]",4.5 Elite w/NHZ
Seth Level Midnight,Father son,9th place,2023spike-night,"[21, 21]","[18, 11]",4.5 Elite w/NHZ
Double Fault,L&L’s Hawaiian food,9th place,2023spike-night,"[21, 21]","[16, 18]",4.5 Elite w/NHZ
Unfair Advantage,Traffic Jams,P13: Semi-finals,2023spike-night,"[21, 21]","[13, 14]",4.5 Elite w/NHZ
L&L’s Hawaiian food,Father son,P13: Final,2023spike-night,"[-1, -1, -1]","[-1, -1, -1]",4.5 Elite w/NHZ
Unfair Advantage,Traffic Jams,P13: Semi-finals,2023spike-night,"[21, 21]","[13, 14]",4.5 Elite w/NHZ
L&L’s Hawaiian food,Father son,P13: Final,2023spike-night,"[-1, -1, -1]","[-1, -1, -1]",4.5 Elite w/NHZ
giggle gang,Trademarked ™,Round of 16,2023spike-night,"[21, 19, 23]","[17, 21, 21]",4.0 Advanced w/NHZ
Out of Pocket,Gabe's Replacement,Round of 16,2023spike-night,"[21, 18, 21]","[11, 21, 13]",4.0 Advanced w/NHZ
NET-FLICKS,Peachy keen team,Round of 16,2023spike-night,"[21, 21]","[13, 14]",4.0 Advanced w/NHZ
dummy dummy dummy,giggle gang,Quarter-finals,2023spike-night,"[21, 21]","[15, 16]",4.0 Advanced w/NHZ
Out of Pocket,NET-FLICKS,Quarter-finals,2023spike-night,"[21, 21]","[17, 19]",4.0 Advanced w/NHZ
dummy dummy dummy,Out of Pocket,Semi-finals,2023spike-night,"[21, 21]","[12, 16]",4.0 Advanced w/NHZ
Sibling Supremacy,noah on two,Final,2023spike-night,"[21, 18, 21]","[18, 21, 13]",4.0 Advanced w/NHZ
Sibling Supremacy,Chef's Beans,1st place,2023spike-night,"[21, 20, 21]","[18, 22, 13]",4.0 Advanced w/NHZ
noah on two,Como Se Juega,1st place,2023spike-night,"[21, 21]","[16, 14]",4.0 Advanced w/NHZ
Chef's Beans,Spike-a-delic,3rd place,2023spike-night,"[21, 21]","[16, 17]",4.0 Advanced w/NHZ
Spicy Spikers,Como Se Juega,3rd place,2023spike-night,"[21, 18, 19]","[16, 21, 21]",4.0 Advanced w/NHZ
NET-FLICKS,giggle gang,P5: Semi-finals,2023spike-night,"[21, 21]","[16, 15]",4.0 Advanced w/NHZ
Como Se Juega,Chef's Beans,P5: Final,2023spike-night,"[21, 18, 13]","[18, 21, 21]",4.0 Advanced w/NHZ
Peachy keen team,Gabe's Replacement,P9: Quarter-finals,2023spike-night,"[16, 21, 21]","[21, 13, 13]",4.0 Advanced w/NHZ
Trademarked ™,Peachy keen team,P9: Semi-finals,2023spike-night,"[21, 21]","[15, 17]",4.0 Advanced w/NHZ
Spike-a-delic,Spicy Spikers,P9: Final,2023spike-night,"[1, 1]","[0, 0]",4.0 Advanced w/NHZ
Yee haw,soggy cardboard,Round of 16,2023spike-night,"[25, 18, 15]","[23, 21, 5]",3.0 Intermediate
K Strong,Yee haw,Quarter-finals,2023spike-night,"[21, 21]","[14, 15]",3.0 Intermediate
Predators,ÖDMJUK,Quarter-finals,2023spike-night,"[28, 19]","[30, 21]",3.0 Intermediate
K Strong,ÖDMJUK,Semi-finals,2023spike-night,"[24, 15, 16]","[22, 21, 21]",3.0 Intermediate
Monkey never cramps,The snack that smiles back,Final,2023spike-night,"[19, 16]","[21, 21]",3.0 Intermediate
Monkey never cramps,Spike Sisterhood,1st place,2023spike-night,"[21, 21]","[12, 18]",3.0 Intermediate
Spiker Gang,The snack that smiles back,1st place,2023spike-night,"[20, 13]","[22, 21]",3.0 Intermediate
Spike Sisterhood,Katara and sokka,3rd place,2023spike-night,"[1, 1]","[0, 0]",3.0 Intermediate
The snack that smiles back,What’s up Denny’s,3rd place,2023spike-night,"[21, 16, 27]","[16, 21, 25]",3.0 Intermediate
Predators,Yee haw,P5: Semi-finals,2023spike-night,"[5, 5]","[0, 0]",3.0 Intermediate
Spiker Gang,Spike Sisterhood,P5: Final,2023spike-night,"[-1, -1, -1]","[-1, -1, -1]",3.0 Intermediate
Katara and sokka,What’s up Denny’s,P9: Final,2023spike-night,"[-1, -1, -1]","[-1, -1, -1]",3.0 Intermediate
Katara and sokka,What’s up Denny’s,P9: Final,2023spike-night,"[-1, -1, -1]","[-1, -1, -1]",3.0 Intermediate
