Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
The Best Fortnite Duo at OMS,Infinite Roundnet,Round of 32,2023springspike,"[21, 19, 15]","[16, 21, 13]",4.5 Elite w/NHZ
Chandler is my handler,The Best Fortnite Duo at OMS,Round of 16,2023springspike,"[21, 21]","[9, 12]",4.5 Elite w/NHZ
Threat Level Midnight,Lurp Lords,Round of 16,2023springspike,"[21, 19, 16]","[14, 21, 21]",4.5 Elite w/NHZ
Net Worth,Cool as beans,Round of 16,2023springspike,"[15, 15]","[10, 10]",4.5 Elite w/NHZ
Net worth,Turkey Bowl Champs,Round of 16,2023springspike,"[15, 12]","[21, 21]",4.5 Elite w/NHZ
Chandler is my handler,Lurp Lords,Quarter-finals,2023springspike,"[21, 21]","[17, 15]",4.5 Elite w/NHZ
Net Worth,Turkey Bowl Champs,Quarter-finals,2023springspike,"[21, 21]","[11, 14]",4.5 Elite w/NHZ
Chandler is my handler,Net Worth,Semi-finals,2023springspike,"[21, 21]","[17, 15]",4.5 Elite w/NHZ
Turkey Bowl Champs,Lurp Lords,P5: Semi-finals,2023springspike,"[0, 0]","[1, 1]",4.5 Elite w/NHZ
Fellers with (and without) Beards,The English Setters,P5: Final,2023springspike,"[-1, -1, -1]","[-1, -1, -1]",4.5 Elite w/NHZ
Threat Level Midnight,The Best Fortnite Duo at OMS,P9: Quarter-finals,2023springspike,"[21, 21]","[14, 18]",4.5 Elite w/NHZ
Net worth,Cool as beans,P9: Quarter-finals,2023springspike,"[21, 21]","[18, 19]",4.5 Elite w/NHZ
Threat Level Midnight,Net worth,P9: Semi-finals,2023springspike,"[21, 21]","[14, 17]",4.5 Elite w/NHZ
Spaghetti-Os,Ryder Riva Wannabes,P9: Final,2023springspike,"[16, 17]","[21, 21]",4.5 Elite w/NHZ
Ace of Spikes,Spaghetti-Os,9th place,2023springspike,"[17, 16]","[21, 21]",4.5 Elite w/NHZ
Ryder Riva Wannabes,Daniel/Preston,9th place,2023springspike,"[21, 19, 15]","[19, 21, 12]",4.5 Elite w/NHZ
Cool as beans,The Best Fortnite Duo at OMS,P13: Semi-finals,2023springspike,"[21, 21]","[9, 11]",4.5 Elite w/NHZ
Daniel/Preston,Ace of Spikes,P13: Final,2023springspike,"[0, 0]","[1, 1]",4.5 Elite w/NHZ
Space Junkies,Peachy keen team,Round of 16,2023springspike,"[21, 19, 21]","[14, 21, 17]",4.0 Advanced w/NHZ
The Best Fortnite Duo at OMS,Space Junkies,Quarter-finals,2023springspike,"[0, 0]","[1, 1]",4.0 Advanced w/NHZ
Clean Combo,Big and Small,Quarter-finals,2023springspike,"[21, 21]","[14, 17]",4.0 Advanced w/NHZ
Space Junkies,Clean Combo,Semi-finals,2023springspike,"[11, 19]","[21, 21]",4.0 Advanced w/NHZ
21 Bridges,Jaxon and Bryson,Final,2023springspike,"[14, 21, 18]","[21, 17, 21]",4.0 Advanced w/NHZ
Traffic Jams,21 Bridges,1st place,2023springspike,"[17, 21, 21]","[21, 17, 23]",4.0 Advanced w/NHZ
Jaxon and Bryson,R-City Runners,1st place,2023springspike,"[21, 25]","[15, 23]",4.0 Advanced w/NHZ
21 Bridges,Bex / Stephen,3rd place,2023springspike,"[21, 23]","[8, 21]",4.0 Advanced w/NHZ
Big and Small,The Best Fortnite Duo at OMS,P5: Semi-finals,2023springspike,"[1, 1]","[0, 0]",4.0 Advanced w/NHZ
R-City Runners,Traffic Jams,P5: Final,2023springspike,"[14, 12]","[21, 21]",4.0 Advanced w/NHZ
Boggleadites,Topper g’s,Round of 16,2023springspike,"[21, 18, 21]","[14, 21, 10]",3.0 Intermediate
The Primes,Boggleadites,Quarter-finals,2023springspike,"[21, 21]","[12, 13]",3.0 Intermediate
Channelview champs,#nodinks,Quarter-finals,2023springspike,"[21, 21]","[16, 15]",3.0 Intermediate
The Primes,Channelview champs,Semi-finals,2023springspike,"[21, 16, 21]","[15, 21, 13]",3.0 Intermediate
Average but Savage bros,Giggle Gang,Final,2023springspike,"[21, 25]","[19, 24]",3.0 Intermediate
Average but Savage bros,Spiked Punch,1st place,2023springspike,"[16, 21, 21]","[21, 14, 19]",3.0 Intermediate
Giggle Gang,Blue team,1st place,2023springspike,"[21, 22]","[12, 20]",3.0 Intermediate
Spiked Punch,Final Form?,3rd place,2023springspike,"[21, 21]","[4, 6]",3.0 Intermediate
#nodinks,Boggleadites,P5: Semi-finals,2023springspike,"[15, 21, 21]","[21, 10, 14]",3.0 Intermediate
Blue team,Spiked Punch,P5: Final,2023springspike,"[13, 20]","[21, 22]",3.0 Intermediate
