Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Smash bros,Benos,Quarter-finals,2023springville,"[21, 21]","[14, 14]",4.0 Competitive w/NHZ
Wacky Wonders,Smash bros,Semi-finals,2023springville,"[21, 21]","[8, 12]",4.0 Competitive w/NHZ
Team Kipper 😎,Chef's Beans,Final,2023springville,"[17, 21, 5]","[21, 19, 15]",4.0 Competitive w/NHZ
Chef's Beans,Worlds Okayest,1st place,2023springville,"[21, 21]","[12, 10]",4.0 Competitive w/NHZ
LegendaryShowdown,T-Birds track coaches,Round of 16,2023springville,"[25, 1]","[22, 0]",3.0 Recreational
Founding Spikers,Itsy bitsy spikers,Round of 16,2023springville,"[21, 1]","[17, 0]",3.0 Recreational
Spiked Punch,golden spike,Round of 16,2023springville,"[21, 1]","[18, 0]",3.0 Recreational
Bearded dragons,LegendaryShowdown,Quarter-finals,2023springville,"[15, 15, 11]","[17, 11, 15]",3.0 Recreational
Founding Spikers,Spiked Punch,Quarter-finals,2023springville,"[15, 15]","[11, 6]",3.0 Recreational
LegendaryShowdown,Founding Spikers,Semi-finals,2023springville,"[9, 9]","[15, 15]",3.0 Recreational
Your mum,Diabudddies,Final,2023springville,"[10, 15, 13]","[15, 11, 15]",3.0 Recreational
Your mum,The Empire Spikes Back,1st place,2023springville,"[15, 15]","[9, 7]",3.0 Recreational
Diabudddies,Brendy,1st place,2023springville,"[15, 17]","[9, 15]",3.0 Recreational
Your mum,Net Ninjas,3rd place,2023springville,"[21, 1]","[7, 0]",3.0 Recreational
The Hitmen,The Empire Spikes Back,3rd place,2023springville,"[16, 0]","[21, 1]",3.0 Recreational
Diabudddies,SweatNet,3rd place,2023springville,"[21, 1]","[6, 0]",3.0 Recreational
Brendy,survivors,3rd place,2023springville,"[21, 1]","[10, 0]",3.0 Recreational
Spiked Punch,Bearded dragons,P5: Semi-finals,2023springville,"[12, 0]","[15, 1]",3.0 Recreational
Brendy,The Empire Spikes Back,P5: Final,2023springville,"[0, 0]","[5, 5]",3.0 Recreational
golden spike,Itsy bitsy spikers,P9: Quarter-finals,2023springville,"[12, 15, 13]","[15, 10, 15]",3.0 Recreational
T-Birds track coaches,Itsy bitsy spikers,P9: Semi-finals,2023springville,"[11, 15, 15]","[15, 11, 8]",3.0 Recreational
The Hitmen,survivors,P9: Final,2023springville,"[15, 15]","[8, 12]",3.0 Recreational
The Hitmen,Net Ninjas,9th place,2023springville,"[15, 15]","[8, 6]",3.0 Recreational
survivors,SweatNet,9th place,2023springville,"[13, 15, 15]","[15, 12, 12]",3.0 Recreational
SweatNet,Net Ninjas,P13: Final,2023springville,"[5, 5]","[0, 0]",3.0 Recreational
SweatNet,Net Ninjas,P13: Final,2023springville,"[5, 5]","[0, 0]",3.0 Recreational
