Team Name,Wins,Losses,Result,Division,Tournament
Guachos,6,1,1,5.0 Premier w/NHZ,2023squads
Your Bad,6,2,2,5.0 Premier w/NHZ,2023squads
Dialed,5,2,3,5.0 Premier w/NHZ,2023squads
"Depression, Cheez-Its, and Cargo Shorts",5,3,4,5.0 Premier w/NHZ,2023squads
AZR PBR COB,4,4,5,5.0 Premier w/NHZ,2023squads
Coneheads,4,3,6,5.0 Premier w/NHZ,2023squads
Hot Monkey Pt IV: Monkeys in Goblin mode,1,5,6,5.0 Premier w/NHZ,2023squads
Shiver MP,3,3,6,5.0 Premier w/NHZ,2023squads
Give Me Back My Rib,1,4,9,5.0 Premier w/NHZ,2023squads
Rice Mola,2,4,10,5.0 Premier w/NHZ,2023squads
Back in My Day,0,6,10,5.0 Premier w/NHZ,2023squads
Aidan Mackey is cuter,7,0,1,4.5 Contender w/NHZ,2023squads
0 and 4 in pool,5,2,2,4.5 Contender w/NHZ,2023squads
Aidan Mackey is cute,4,4,3,4.5 Contender w/NHZ,2023squads
Wild West Roundnet,4,4,4,4.5 Contender w/NHZ,2023squads
David's and Goliath,4,3,5,4.5 Contender w/NHZ,2023squads
Elektos,5,2,5,4.5 Contender w/NHZ,2023squads
TheGOATGene,6,2,7,4.5 Contender w/NHZ,2023squads
Slammo Dropouts,3,6,8,4.5 Contender w/NHZ,2023squads
Tegel/Howard,1,5,9,4.5 Contender w/NHZ,2023squads
All You Can Eat,1,6,9,4.5 Contender w/NHZ,2023squads
Supercalifragilisticexpialidocious,0,6,11,4.5 Contender w/NHZ,2023squads
S Squared,8,0,1,3.0-4.0 Divisions,2023squads
Smash Bros,7,2,2,3.0-4.0 Divisions,2023squads
OVCN duo,5,4,3,3.0-4.0 Divisions,2023squads
Ball Busters,5,4,4,3.0-4.0 Divisions,2023squads
Chugga chugga,3,5,5,3.0-4.0 Divisions,2023squads
That's What She Set,0,8,6,3.0-4.0 Divisions,2023squads
Small but Mighty,2,7,7,3.0-4.0 Divisions,2023squads
Arizona,0,0,0,Sunday: 10-person Squads,2023squads
Arizona B Squad,0,0,0,Sunday: 10-person Squads,2023squads
California Mens State Team,0,0,0,Sunday: 10-person Squads,2023squads
