Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
We’re JUST-IN the MOment,Spencer/Seth,Round of 16,2023summer-spike,"[22, 17]","[24, 21]",4.5 Elite w/NHZ
Grant/Church,Lo-Jo,Round of 16,2023summer-spike,"[21, 21]","[11, 19]",4.5 Elite w/NHZ
Royal Flush,Spencer/Seth,Quarter-finals,2023summer-spike,"[21, 21]","[10, 15]",4.5 Elite w/NHZ
Tamanger My Banger,Grant/Church,Quarter-finals,2023summer-spike,"[16, 20]","[21, 22]",4.5 Elite w/NHZ
Royal Flush,Grant/Church,Semi-finals,2023summer-spike,"[21, 21]","[18, 17]",4.5 Elite w/NHZ
D&B supply,You Won’t Guard Us On 2,Final,2023summer-spike,"[16, 11]","[21, 21]",4.5 Elite w/NHZ
D&B supply,Chincoln Woodcott HhEeRrTtLlEeRr,1st place,2023summer-spike,"[22, 25, 21]","[24, 23, 10]",4.5 Elite w/NHZ
You Won’t Guard Us On 2,Bushlow,1st place,2023summer-spike,"[17, 21, 21]","[21, 19, 19]",4.5 Elite w/NHZ
Chincoln Woodcott HhEeRrTtLlEeRr,Sharknado,3rd place,2023summer-spike,"[21, 21]","[14, 17]",4.5 Elite w/NHZ
Bushlow,Soren Wright,3rd place,2023summer-spike,"[21, 21]","[16, 17]",4.5 Elite w/NHZ
Tamanger My Banger,Spencer/Seth,P5: Semi-finals,2023summer-spike,"[15, 15]","[9, 10]",4.5 Elite w/NHZ
Bushlow,Chincoln Woodcott HhEeRrTtLlEeRr,P5: Final,2023summer-spike,"[21, 1]","[14, 0]",4.5 Elite w/NHZ
We’re JUST-IN the MOment,Lo-Jo,P9: Semi-finals,2023summer-spike,"[21, 16, 21]","[9, 21, 8]",4.5 Elite w/NHZ
Sharknado,Soren Wright,P9: Final,2023summer-spike,"[21, 21]","[19, 15]",4.5 Elite w/NHZ
We’re JUST-IN the MOment,Lo-Jo,P9: Semi-finals,2023summer-spike,"[21, 16, 21]","[9, 21, 8]",4.5 Elite w/NHZ
Sharknado,Soren Wright,P9: Final,2023summer-spike,"[21, 21]","[19, 15]",4.5 Elite w/NHZ
Buy High Sell Low,What's for Dessert?,Round of 16,2023summer-spike,"[21, 21, 14]","[16, 23, 21]",4.0 Advanced w/NHZ
The Real Slim Shadies,Giggle Gang,Round of 16,2023summer-spike,"[21, 15, 21]","[14, 21, 18]",4.0 Advanced w/NHZ
Gabe Stop Hitting On 2!,Peachy Keen,Round of 16,2023summer-spike,"[21, 18, 21]","[19, 21, 19]",4.0 Advanced w/NHZ
Net Worth,What's for Dessert?,Quarter-finals,2023summer-spike,"[22, 21]","[20, 17]",4.0 Advanced w/NHZ
The Real Slim Shadies,Gabe Stop Hitting On 2!,Quarter-finals,2023summer-spike,"[21, 21]","[15, 17]",4.0 Advanced w/NHZ
Net Worth,The Real Slim Shadies,Semi-finals,2023summer-spike,"[17, 16]","[21, 21]",4.0 Advanced w/NHZ
Lost Boys,Yankees,Final,2023summer-spike,"[22, 21]","[20, 17]",4.0 Advanced w/NHZ
Lost Boys,Bus Drivers,1st place,2023summer-spike,"[21, 21]","[13, 15]",4.0 Advanced w/NHZ
Yankees,"Noah way, Jose!",1st place,2023summer-spike,"[21, 21]","[18, 14]",4.0 Advanced w/NHZ
Bus Drivers,Eggs and Bananas,3rd place,2023summer-spike,"[18, 21, 25]","[21, 19, 23]",4.0 Advanced w/NHZ
Yankees,Monkey never cramps,3rd place,2023summer-spike,"[21, 21]","[11, 18]",4.0 Advanced w/NHZ
"Noah way, Jose!",PS Beard,3rd place,2023summer-spike,"[21, 21]","[12, 17]",4.0 Advanced w/NHZ
Gabe Stop Hitting On 2!,What's for Dessert?,P5: Semi-finals,2023summer-spike,"[21, 18, 16]","[16, 21, 21]",4.0 Advanced w/NHZ
"Noah way, Jose!",Bus Drivers,P5: Final,2023summer-spike,"[21, 21]","[17, 16]",4.0 Advanced w/NHZ
Peachy Keen,Giggle Gang,P9: Quarter-finals,2023summer-spike,"[17, 0]","[21, 1]",4.0 Advanced w/NHZ
Buy High Sell Low,Giggle Gang,P9: Semi-finals,2023summer-spike,"[23, 19]","[25, 21]",4.0 Advanced w/NHZ
Eggs and Bananas,PS Beard,P9: Final,2023summer-spike,"[0, 0]","[5, 5]",4.0 Advanced w/NHZ
PS Beard,Monkey never cramps,9th place,2023summer-spike,"[21, 21]","[15, 19]",4.0 Advanced w/NHZ
The Diamond Dawgs,Parker Bros,Round of 16,2023summer-spike,"[21, 17, 21]","[16, 21, 23]",3.0 Intermediate
I'd Hit That,Parker Bros,Quarter-finals,2023summer-spike,"[21, 21]","[10, 14]",3.0 Intermediate
Preckenzie,VV1,Quarter-finals,2023summer-spike,"[21, 21, 21]","[23, 15, 14]",3.0 Intermediate
I'd Hit That,Preckenzie,Semi-finals,2023summer-spike,"[29, 19]","[31, 21]",3.0 Intermediate
BOOYAH,Pig,Final,2023summer-spike,"[29, 11, 12]","[27, 21, 21]",3.0 Intermediate
BOOYAH,Round 3,1st place,2023summer-spike,"[21, 21]","[13, 14]",3.0 Intermediate
Pig,The rizzlers,1st place,2023summer-spike,"[21, 21]","[14, 14]",3.0 Intermediate
VV1,Parker Bros,P5: Semi-finals,2023summer-spike,"[21, 21]","[17, 18]",3.0 Intermediate
The rizzlers,Round 3,P5: Final,2023summer-spike,"[21, 17, 21]","[17, 21, 19]",3.0 Intermediate
