Team Name,Wins,Losses,Result,Division,Tournament
You wish you were this dark,9,1,1,4.5 Elite w/NHZ,2023tville
"Depression, Cheez-Its, and Cargo Shorts",7,3,2,4.5 Elite w/NHZ,2023tville
Moose Chops,7,3,3,4.5 Elite w/NHZ,2023tville
Folklore,4,6,4,4.5 Elite w/NHZ,2023tville
non responsive,8,1,5,4.5 Elite w/NHZ,2023tville
Inconspicuous Cleats,4,6,6,4.5 Elite w/NHZ,2023tville
Drip Drop,3,6,7,4.5 Elite w/NHZ,2023tville
Link&Kirby,3,6,8,4.5 Elite w/NHZ,2023tville
Yock Factor,7,1,9,4.5 Elite w/NHZ,2023tville
Threat Level Midnight,5,3,10,4.5 Elite w/NHZ,2023tville
"RECEIVE, BELIEVE, ACHIEVE",3,5,11,4.5 Elite w/NHZ,2023tville
Procrastinating is Bad,0,0,12,4.5 Elite w/NHZ,2023tville
Infinite Roundnet,4,6,13,4.5 Elite w/NHZ,2023tville
Ready to Play,3,5,14,4.5 Elite w/NHZ,2023tville
Lurp Lords,4,4,15,4.5 Elite w/NHZ,2023tville
Father son,2,7,15,4.5 Elite w/NHZ,2023tville
Kill the Pope,1,5,17,4.5 Elite w/NHZ,2023tville
Seth/Daniel,0,5,17,4.5 Elite w/NHZ,2023tville
Page/Haight,8,0,1,4.0 Advanced w/NHZ,2023tville
Toasty,6,2,2,4.0 Advanced w/NHZ,2023tville
Rim Jobs,7,2,3,4.0 Advanced w/NHZ,2023tville
Double Fault,6,4,4,4.0 Advanced w/NHZ,2023tville
Strawberry Smoothie,6,3,5,4.0 Advanced w/NHZ,2023tville
R.O.U.S.s,7,3,6,4.0 Advanced w/NHZ,2023tville
88Kings,4,5,7,4.0 Advanced w/NHZ,2023tville
Spiked Punch,3,5,7,4.0 Advanced w/NHZ,2023tville
Hot Potatoes,3,5,9,4.0 Advanced w/NHZ,2023tville
R-City Runners,2,7,10,4.0 Advanced w/NHZ,2023tville
Smash Bros,1,7,11,4.0 Advanced w/NHZ,2023tville
Spicy Meatball Sub,3,5,11,4.0 Advanced w/NHZ,2023tville
Last Place,0,8,13,4.0 Advanced w/NHZ,2023tville
Space Junkies,7,0,1,3.0 Intermediate,2023tville
PianoMan,6,2,2,3.0 Intermediate,2023tville
Average but Savage bros,6,2,3,3.0 Intermediate,2023tville
Peachy keen team,4,3,4,3.0 Intermediate,2023tville
Space Balls,6,3,5,3.0 Intermediate,2023tville
The duckaneers,4,4,6,3.0 Intermediate,2023tville
impulse control,2,6,7,3.0 Intermediate,2023tville
Boggleadites,4,4,8,3.0 Intermediate,2023tville
Mailbox 📫📬,2,5,9,3.0 Intermediate,2023tville
third spikes a charm,1,6,10,3.0 Intermediate,2023tville
Diabudddies,0,7,11,3.0 Intermediate,2023tville
