Team Name,Wins,Losses,Result,Division,Tournament
Duncan and Aidan,7,1,1,Open 4.5+,ers23alb
fRiEd RiZzTiSM,7,1,2,Open 4.5+,ers23alb
Meatballs,7,1,3,Open 4.5+,ers23alb
Joel Fan Club,5,3,4,Open 4.5+,ers23alb
Second Servings,6,3,5,Open 4.5+,ers23alb
Premerekats,4,5,6,Open 4.5+,ers23alb
GTCOMS,1,7,7,Open 4.5+,ers23alb
GOD DID,2,6,7,Open 4.5+,ers23alb
Freemandola,2,4,9,Open 4.5+,ers23alb
Power and Finesse,0,6,9,Open 4.5+,ers23alb
Taco Benders,1,5,9,Open 4.5+,ers23alb
Fresh Cuts,3,3,9,Open 4.5+,ers23alb
Shanghai Sharks,11,0,1,Open 3.5-4.0 (Advanced),ers23alb
M&S,9,2,2,Open 3.5-4.0 (Advanced),ers23alb
Ball Slappers,6,5,3,Open 3.5-4.0 (Advanced),ers23alb
Aadi Lahiri,7,4,4,Open 3.5-4.0 (Advanced),ers23alb
Daniel Krupp Fan 🅱️lub 💯,4,6,5,Open 3.5-4.0 (Advanced),ers23alb
Twin Towers,5,4,6,Open 3.5-4.0 (Advanced),ers23alb
Deep Pockets,1,9,6,Open 3.5-4.0 (Advanced),ers23alb
Veggietales,2,8,6,Open 3.5-4.0 (Advanced),ers23alb
Win Direction,1,8,9,Open 3.5-4.0 (Advanced),ers23alb
Dogs Out,10,1,1,Open 2.0-3.0 (Intermediate/Beginner),ers23alb
Windshield Refurbishment,8,3,2,Open 2.0-3.0 (Intermediate/Beginner),ers23alb
Brewster Backhands,8,3,3,Open 2.0-3.0 (Intermediate/Beginner),ers23alb
Sets addicts,7,4,4,Open 2.0-3.0 (Intermediate/Beginner),ers23alb
We want a Smoothie Gift Card,3,6,5,Open 2.0-3.0 (Intermediate/Beginner),ers23alb
JASB,2,7,5,Open 2.0-3.0 (Intermediate/Beginner),ers23alb
Jewish and Confused,5,4,5,Open 2.0-3.0 (Intermediate/Beginner),ers23alb
Hazard Analysis,2,8,5,Open 2.0-3.0 (Intermediate/Beginner),ers23alb
Bilip without the B,0,9,9,Open 2.0-3.0 (Intermediate/Beginner),ers23alb
