Team Name,Wins,Losses,Result,Division,Tournament
Jersey Boyz,8,0,1,Open 4.5+,ers23bos
FastJamSlowJam,7,1,2,Open 4.5+,ers23bos
Slow Jamz,8,1,3,Open 4.5+,ers23bos
Daly Cup of Jo,5,3,4,Open 4.5+,ers23bos
Nelson / Lowe,4,3,5,Open 4.5+,ers23bos
Falling Guys,6,2,5,Open 4.5+,ers23bos
White Lotus Roundnet,6,2,5,Open 4.5+,ers23bos
Ducked Up,6,2,5,Open 4.5+,ers23bos
Lower expectations,6,2,9,Open 4.5+,ers23bos
Out spin the pocket,6,4,10,Open 4.5+,ers23bos
Nice Guys,4,4,11,Open 4.5+,ers23bos
Can't believe it's not butter,4,5,11,Open 4.5+,ers23bos
General Tso’s Chicken,3,4,13,Open 4.5+,ers23bos
Jav a Stella Day,4,3,13,Open 4.5+,ers23bos
PBR ELBROS,4,3,13,Open 4.5+,ers23bos
Beef Supreme,5,3,13,Open 4.5+,ers23bos
Fresh Cuts,2,4,17,Open 4.5+,ers23bos
GTCOMS,2,5,17,Open 4.5+,ers23bos
Jam Ranch,1,5,17,Open 4.5+,ers23bos
BigLam,1,5,17,Open 4.5+,ers23bos
Spoink Ball,1,4,17,Open 4.5+,ers23bos
Pocket Watching,1,5,17,Open 4.5+,ers23bos
Hot 'n Ready,0,6,17,Open 4.5+,ers23bos
Borderline Misconduct,2,4,24,Open 4.5+,ers23bos
CEOs of Spikeball,1,6,24,Open 4.5+,ers23bos
Chiva Hermanos,0,6,26,Open 4.5+,ers23bos
ZK Spikes,1,6,26,Open 4.5+,ers23bos
Bad Sets- Siena,5,1,1,Women's 3.0+,ers23bos
Tots,5,1,2,Women's 3.0+,ers23bos
Mindmeld,5,1,3,Women's 3.0+,ers23bos
Delemma,2,4,4,Women's 3.0+,ers23bos
Kalau / Lourna,4,2,5,Women's 3.0+,ers23bos
Winner? I hardly know 'er,2,4,6,Women's 3.0+,ers23bos
Abbey / Nolen Belle,1,5,7,Women's 3.0+,ers23bos
Team TBD,0,6,8,Women's 3.0+,ers23bos
Two of a Kind,7,0,1,Open 3.5-4.0,ers23bos
Rim Breakers,5,2,2,Open 3.5-4.0,ers23bos
Men's Rimnastics Team,6,2,3,Open 3.5-4.0,ers23bos
The Slipper Still Fits,3,5,4,Open 3.5-4.0,ers23bos
CRA Skill Clinton,4,2,5,Open 3.5-4.0,ers23bos
Los locos del Boston,2,4,5,Open 3.5-4.0,ers23bos
Johnson McGees,4,2,5,Open 3.5-4.0,ers23bos
Chicopee bombers,3,2,5,Open 3.5-4.0,ers23bos
Plotkin/Levine,2,3,9,Open 3.5-4.0,ers23bos
The ones who knock,3,1,9,Open 3.5-4.0,ers23bos
CRA Willie Dustice,1,3,9,Open 3.5-4.0,ers23bos
Warpath,4,1,9,Open 3.5-4.0,ers23bos
CRA Hogs Hogs Hogs,1,4,9,Open 3.5-4.0,ers23bos
asians,1,3,9,Open 3.5-4.0,ers23bos
Ace Nation,2,3,9,Open 3.5-4.0,ers23bos
Flu Season,2,4,9,Open 3.5-4.0,ers23bos
CRA | THE DOG OF THE SOUTH,0,4,17,Open 3.5-4.0,ers23bos
Win Direction,0,5,17,Open 3.5-4.0,ers23bos
