Team Name,Wins,Losses,Result,Division,Tournament
Amplified Gains,8,1,1,Open 4.5+,ers23roc
Absolutely Torqued,8,1,2,Open 4.5+,ers23roc
Tweak Sauce,5,4,3,Open 4.5+,ers23roc
Tea Time,6,3,4,Open 4.5+,ers23roc
Basic White Boys,2,5,5,Open 4.5+,ers23roc
Front Pocket Rockets,0,7,5,Open 4.5+,ers23roc
Shmanuvemints,3,4,5,Open 4.5+,ers23roc
V/F United,0,7,5,Open 4.5+,ers23roc
Albany’s Asylum,3,5,0,Open 3.5-4.0,ers23roc
Argenna/MacLean,8,0,0,Open 3.5-4.0,ers23roc
Big Peckers,0,8,0,Open 3.5-4.0,ers23roc
OnThe.Net,5,3,0,Open 3.5-4.0,ers23roc
