Team Name,Wins,Losses,Result,Division,Tournament
The Buff Bandits,7,0,1,Open 4.5+,ers23uconn
fRiEd RiZzTiSm,6,2,2,Open 4.5+,ers23uconn
White Lotus Roundnet,6,2,3,Open 4.5+,ers23uconn
Samuel Sucks,6,2,4,Open 4.5+,ers23uconn
Out spin the pocket,5,3,5,Open 4.5+,ers23uconn
Bros on Their Toes,4,4,6,Open 4.5+,ers23uconn
PBR ELBROS,5,2,7,Open 4.5+,ers23uconn
China Moon,4,3,7,Open 4.5+,ers23uconn
Mik and Mart,4,4,9,Open 4.5+,ers23uconn
Borderline Misconduct,2,6,10,Open 4.5+,ers23uconn
Electric Sense,3,5,11,Open 4.5+,ers23uconn
Hamblet/Gao,2,5,12,Open 4.5+,ers23uconn
David and Goliath,3,5,13,Open 4.5+,ers23uconn
Chiva Hermanos,0,7,14,Open 4.5+,ers23uconn
Radical rimjob,0,7,15,Open 4.5+,ers23uconn
