Team Name,Wins,Losses,Result,Division,Tournament
#1 blonde haters,6,4,0,Open 3.0 (Intermediate),fra23-major1
[HRN] SPIKE WAZOWSKI,2,8,0,Open 3.0 (Intermediate),fra23-major1
ball,3,7,0,Open 3.0 (Intermediate),fra23-major1
Barry Bee,4,6,0,Open 3.0 (Intermediate),fra23-major1
Cubilete,6,4,0,Open 3.0 (Intermediate),fra23-major1
Cuddle Sluts,7,3,0,Open 3.0 (Intermediate),fra23-major1
Pull and Pray,2,8,0,Open 3.0 (Intermediate),fra23-major1
salute emoji,10,0,0,Open 3.0 (Intermediate),fra23-major1
[HRN] Bust a Net,6,4,0,Open 4.5 (Contender),fra23-major1
Ace in our Veins,5,5,0,Open 4.5 (Contender),fra23-major1
blue ballz,1,9,0,Open 4.5 (Contender),fra23-major1
Doomfist,3,7,0,Open 4.5 (Contender),fra23-major1
Hell's Kitchen,7,3,0,Open 4.5 (Contender),fra23-major1
Lechuga,5,5,0,Open 4.5 (Contender),fra23-major1
Rim sniffers,4,6,0,Open 4.5 (Contender),fra23-major1
Spikes in Paradise,9,1,0,Open 4.5 (Contender),fra23-major1
2004 Toyota Corolla,5,3,0,Open 5.0 (Expert),fra23-major1
Dad and Daddy,4,4,0,Open 5.0 (Expert),fra23-major1
Dom & Daws,8,0,0,Open 5.0 (Expert),fra23-major1
Double-Time Swing,2,6,0,Open 5.0 (Expert),fra23-major1
Elysium,5,3,0,Open 5.0 (Expert),fra23-major1
Fwango.SPAM,3,6,0,Open 5.0 (Expert),fra23-major1
Get Cut Get Butt,7,1,0,Open 5.0 (Expert),fra23-major1
Honorable Mention,4,5,0,Open 5.0 (Expert),fra23-major1
I can't believe its not Margarine!,2,5,0,Open 5.0 (Expert),fra23-major1
Mash Potatoes,3,4,0,Open 5.0 (Expert),fra23-major1
Morgan/Angeletti,2,6,0,Open 5.0 (Expert),fra23-major1
Net Gains,3,5,0,Open 5.0 (Expert),fra23-major1
Quality Control,8,1,0,Open 5.0 (Expert),fra23-major1
Spike Tyson,1,7,0,Open 5.0 (Expert),fra23-major1
Tidal Wave,7,2,0,Open 5.0 (Expert),fra23-major1
Werner Bros. Entertainment,1,7,0,Open 5.0 (Expert),fra23-major1
