Team Name,Wins,Losses,Result,Division,Tournament
Karah's Massive Deanis,7,0,1,Sunday Coed Advanced,2023sandiego
FOR FREMONT!,5,2,2,Sunday Coed Advanced,2023sandiego
Nelson / Lowe,5,2,3,Sunday Coed Advanced,2023sandiego
Each It,5,2,4,Sunday Coed Advanced,2023sandiego
Laid Out With My Braid Out,3,3,5,Sunday Coed Advanced,2023sandiego
No Lucks Given,2,3,6,Sunday Coed Advanced,2023sandiego
fly-day chinatown,2,4,6,Sunday Coed Advanced,2023sandiego
Mushroom Pluckers,2,5,6,Sunday Coed Advanced,2023sandiego
Green Dots,0,5,9,Sunday Coed Advanced,2023sandiego
Playing with Dic,0,5,9,Sunday Coed Advanced,2023sandiego
Jabroni Salad,9,0,1,4.5+ Expert w/NHZ,2023sandiego
docker run,7,2,2,4.5+ Expert w/NHZ,2023sandiego
Shaw & Ran,7,2,3,4.5+ Expert w/NHZ,2023sandiego
SIUUUUUUUUUUUUUUUUU,7,2,4,4.5+ Expert w/NHZ,2023sandiego
Fringe Premier Curveball,3,4,5,4.5+ Expert w/NHZ,2023sandiego
Ice Wall,4,3,5,4.5+ Expert w/NHZ,2023sandiego
Stay Brown,5,2,5,4.5+ Expert w/NHZ,2023sandiego
Team Backpack,4,3,5,4.5+ Expert w/NHZ,2023sandiego
That’s wide man,2,5,9,4.5+ Expert w/NHZ,2023sandiego
Treesap Dog,4,2,9,4.5+ Expert w/NHZ,2023sandiego
Grief Bacon,1,5,9,4.5+ Expert w/NHZ,2023sandiego
CARL Baddie Combo,3,3,9,4.5+ Expert w/NHZ,2023sandiego
The Burgers,1,6,9,4.5+ Expert w/NHZ,2023sandiego
Sleeper Builds,2,4,9,4.5+ Expert w/NHZ,2023sandiego
Lemon Blueberry Pizza,1,6,9,4.5+ Expert w/NHZ,2023sandiego
huang/frag,2,5,16,4.5+ Expert w/NHZ,2023sandiego
Paul Smeenus,1,5,17,4.5+ Expert w/NHZ,2023sandiego
How I Set Your Mother,1,5,17,4.5+ Expert w/NHZ,2023sandiego
Spike Tyson,8,1,1,4.0 Advanced w/NHZ,2023sandiego
We’re Hueb,8,2,2,4.0 Advanced w/NHZ,2023sandiego
Waka Waka,8,2,3,4.0 Advanced w/NHZ,2023sandiego
Star Spangled Beaver,7,2,4,4.0 Advanced w/NHZ,2023sandiego
Dog Food,5,3,5,4.0 Advanced w/NHZ,2023sandiego
Aces R Us,3,5,5,4.0 Advanced w/NHZ,2023sandiego
Fire & Ice,5,3,5,4.0 Advanced w/NHZ,2023sandiego
Black and ElleLowe,4,4,5,4.0 Advanced w/NHZ,2023sandiego
Registered Sets Offenders,3,4,9,4.0 Advanced w/NHZ,2023sandiego
California’s Finest,2,5,9,4.0 Advanced w/NHZ,2023sandiego
krABBY PATty,1,6,9,4.0 Advanced w/NHZ,2023sandiego
SetOnMyFace,0,7,9,4.0 Advanced w/NHZ,2023sandiego
Set addicts,1,6,9,4.0 Advanced w/NHZ,2023sandiego
We hit on two,1,6,9,4.0 Advanced w/NHZ,2023sandiego
"Cálmese Pa, Cálmese ✋🏻",9,0,1,2.0-3.0,2023sandiego
subarashi,6,4,2,2.0-3.0,2023sandiego
Monkeebois,8,2,3,2.0-3.0,2023sandiego
Rizzly Bears,4,5,4,2.0-3.0,2023sandiego
The X’s,7,1,5,2.0-3.0,2023sandiego
SPIKEBOL 4 MILPAS,2,7,6,2.0-3.0,2023sandiego
sage and max,4,6,6,2.0-3.0,2023sandiego
Spit on it before you Spike it,4,3,6,2.0-3.0,2023sandiego
LSKD,3,5,9,2.0-3.0,2023sandiego
"Splish, Please",3,5,9,2.0-3.0,2023sandiego
Hamilton St Spikers,1,6,11,2.0-3.0,2023sandiego
Curry with a side of rice,4,4,11,2.0-3.0,2023sandiego
The Jedi Spikesabers,0,7,13,2.0-3.0,2023sandiego
Abby Cham,0,0,0,Free Agents,2023sandiego
Coed Advanced,0,0,0,Free Agents,2023sandiego
Kenny Luong,0,0,0,Free Agents,2023sandiego
Kristle Bulleman,0,0,0,Free Agents,2023sandiego
Maddy Morehouse,0,0,0,Free Agents,2023sandiego
Rafi Expert,0,0,0,Free Agents,2023sandiego
